Question	A student wants to cut a piece of string for a class activity. The length of the string is measured BEST in which units?	question
Answer	Centimeters	answer
0	centimeters ( cm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 250.0	gold
1	a centimeter is a kind of unit of measurement	nongold
2	a centimeter is used for measuring short lengths; short distances	nongold
3	a meter is a kind of unit for measuring distance; measuring length	nongold
4	meters;centimeters;kilometers are used to describe distance; describe length	nongold
5	millimeters ( mm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 100.0	nongold
6	cutting a material usually requires measuring length	nongold
7	length is a part of size	nongold
8	meters ( m ) are a  metric; SI unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
9	a string is usually short in length with values between 2.0 and 1000 cm	gold
10	a string is usually small in diameter	nongold
11	a string is a kind of object	nongold
12	a meter stick is used to measure distance; height; length	nongold
13	length is a measure of distance from one end of an object to the other end of that object	nongold
14	a piece of something is a kind of object	nongold
15	long means great in length	nongold
16	a meter stick is a kind of tool for measuring length; measuring distance	nongold
17	a student is a kind of human	nongold
18	cutting means changing the object from a whole into smaller pieces	nongold
19	kilometers ( km ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 50000000.0	nongold
20	action means activity	nongold
21	a piece of an object is smaller in size than the whole object	nongold
22	measuring requires reading a measurement	nongold
23	best means most positive	nongold
24	length is a property of the shape of an object	nongold
25	distance moved; distance travelled is a measure of how far an object moves	nongold
26	thickness is  a measure of how thick an object  is	nongold
27	cutting requires rigid tools	nongold
28	a human is a kind of animal	nongold
29	diameter is a measure of length through the center of a circle	nongold
30	an part of an object is smaller than the entire object	nongold
31	height is a measure of length from the top of an object to the bottom of an object	nongold
32	a gram  is a kind of unit for measuring mass	nongold
33	a measure of time is a length of time	nongold
34	instrument means tool	nongold
35	determining often requires measuring; observing	nongold
36	a living thing is a kind of object	nongold
37	calculation means measurement	nongold
38	width is a property of size; shape and includes ordered values of narrow; wide	nongold
39	objects are made of materials; substances; matter	nongold
40	to belong to a class means to be a kind of something	nongold
41	thin means small in width	nongold
42	grams ( g ) are a  metric unit used for measuring mass; weight generally used for values between 1.0 and 2000.0	nongold
43	experimentation requires measuring	nongold
44	a tool is a kind of object	nongold
45	thickness is a property of an object and includes ordered  values of thin; thick	nongold
46	property is similar to measurement	nongold
47	a nail is a kind of object	nongold
48	cutting an object requires mechanical force	nongold
49	shorter means decreased length	nongold
50	an animal is a kind of living thing	nongold
51	measuring is used for describing an object	nongold
52	height is a property of the size of an object	nongold
53	longest means greatest in length	nongold
54	person is synonymous with human	nongold
55	kilograms ( kg ) are a  metric; SI unit used for measuring mass; weight generally used for values between 1.0 and 50000000.0	nongold
56	unit is similar to part	nongold
57	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
58	an insect usually has a small size	nongold
59	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
60	a hand is a kind of object	nongold
61	measuring sometimes requires  recording; learning an amount	nongold
62	an object is made of its parts	nongold
63	a piece is a part of a whole	nongold
64	a measurement is a kind of data	nongold
65	better means good	nongold
66	a stick is a kind of object	nongold
67	adding is a kind of activity	nongold
68	mass is a measure of the amount of matter in an object	nongold
69	milliliters is a kind of unit for measuring volume of liquids	nongold
70	the volume of an object can be used to describe  the size of that object	nongold
71	to measure means to calculate	nongold
72	hardness is a property of a material; an object and includes ordered values of malleable; rigid	nongold
73	a surface is a part of an object	nongold
74	plucking; strumming a string can cause that string to vibrate	nongold
75	density is a measure of mass of an object over volume; divided by volume	nongold
76	as the thickness of something; of an object increases , the resistance to damage of that object; of that something will increase	nongold
77	a source of something emits; produces; generates; provides that something	nongold
78	if an object is made of something then the parts of that object are made of that something	nongold
79	milliliters ( mL ) is a metric unit used for measuring volume generally used for values between 1.0 and 1000.0	nongold
80	exercise is a kind of physical activity	nongold
81	class is a measure of how a rock is formed	nongold
82	an instrument is a piece of equipment	nongold
83	shorter means smaller; less in  height	nongold
84	a musical instrument is a kind of object	nongold
85	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
86	as the thickness of an object increases , the resistance to tearing; to breaking will increase	nongold
87	wider means greater in width	nongold
88	an ounce is a kind of unit for measuring mass	nongold
89	inch ( in ) is a imperial unit used for measuring length; distance	nongold
90	classifying means grouping objects; materials by their properties	nongold
91	texture is a property of  surfaces; materials; objects and includes ordered  values of smooth; rough	nongold
92	a kilogram is a kind of unit for measuring mass	nongold
93	square meter ( m^2 ) is a metric unit used for measuring area	nongold
94	affected means changed	nongold
95	a function is an activity	nongold
96	speed is a measure of how fast an object is moving	nongold
97	a  tape measure is used to measure length; distance	nongold
98	reproducing is a kind of activity	nongold
99	reading is a kind of activity	nongold
