Question	A tropical rain forest contains many tall trees. Smaller plants with large leaves grow at the base of the tall trees. The large leaves are most likely an adaptation of the plant due to which condition?	question
Answer	lack of sunlight	answer
0	large leaves are a kind of adaptation for absorbing sunlight	gold
1	a leaf performs photosynthesis; gas exchange	nongold
2	a leaf is small in size	nongold
3	to lack means to not have	nongold
4	a forest contains  lots of plants; trees	nongold
5	condition is a property of an environment	nongold
6	a tree requires sunlight to grow	nongold
7	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	gold
8	a leaf is a kind of plant	nongold
9	a leaf is a part of a tree	nongold
10	a  plant requires sunlight to  grow	gold
11	a rain forest is a kind of forest	nongold
12	a leaf is a part of a  green plant	nongold
13	a  plant requires sunlight for photosynthesis	gold
14	lack is similar to low; little	gold
15	a forest is a kind of environment	nongold
16	an adaptation is a kind of characteristic	nongold
17	a leaf absorbs sunlight to perform photosynthesis	nongold
18	a plants; living things require water for survival; to grow	nongold
19	a plant is a kind of living thing	gold
20	when a plant grows , the size of; number of the leaves of that plant may increase	nongold
21	adapting is when a living thing responds to a change in an environment	nongold
22	adaptations are used for survival	nongold
23	an adaptation is an adaptive feature	nongold
24	a plant; living thing requires nutrients to grow	nongold
25	a plant requires photosynthesis to grow; survive	nongold
26	a tree is a kind of living thing	nongold
27	sunlight means solar energy	nongold
28	due to means caused by	nongold
29	an adaptation is a kind of change	nongold
30	a lack of something that a living thing requires prevents the survival of that living thing	nongold
31	a leaf is a kind of object	nongold
32	a tree is a kind of plant	nongold
33	condition means the state of the property	nongold
34	smaller means less; lower in size	nongold
35	changes in an environment cause animals; plants to adapt to survive	nongold
36	a plant is a kind of organism	nongold
37	vegetation means plants	nongold
38	a forest is a kind of ecosystem	nongold
39	rainfall means precipitation	nongold
40	large canopies; trees block sunlight from reaching the ground	gold
41	the condition of parts of an organism are acquired characteristics	nongold
42	a plant; living thing requires food for survival	nongold
43	growth means size;number;value;strength increases	nongold
44	small is the opposite of large	nongold
45	sunlight is a kind of solar energy	nongold
46	many means high in number	nongold
47	if something does not contain something else then that something lacks that something else	nongold
48	as the amount of rain increases in an environment , available sunlight will decrease in that environment	nongold
49	contains means located in	nongold
50	to depend on; to rely on; to need means to require	nongold
51	an increase is the opposite of a decrease	gold
52	the sun is a source of light; light energy called sunlight	nongold
53	adaptation is when an organism develops a trait over time for survival	nongold
54	sunlight is a kind of light	nongold
55	a plant requires a specific climate to grow and survive	nongold
56	lack of moisture in the air causes low amounts of rainfall	nongold
57	often is similar to likely	nongold
58	larger means greater; higher; more; increase in size	nongold
59	less is similar to decrease	nongold
60	to lower means to decrease	gold
61	fewer means lower; less in number	nongold
62	a tropical environment usually has warm temperatures	nongold
63	precipitation is when water falls from the sky	nongold
64	tall is  a dominant trait in plants	nongold
65	a large canopy usually is a part of an adult tree	nongold
66	an ecosystem contains a large community of; large numbers of living organisms	nongold
67	tall means great in height	nongold
68	as the size of a leaf increases , the amount of  sunlight absorbed by that leaf will increase	nongold
69	an environment means an area	nongold
70	all living things grow	nongold
71	living in an environment causes an organism to adapt to that environment	nongold
72	low is similar to decrease	nongold
73	to reduce means to decrease	nongold
74	the sun is a source of radiation; heat called sunlight	nongold
75	a living thing is a kind of object	nongold
76	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
77	rain is a kind of precipitation	nongold
78	made of is similar to contains	nongold
79	rainforests contain many species	nongold
80	tropical environments usually have  warm temperatures	nongold
81	if a plant is planted; growing somewhere then that plant is located there	nongold
82	if a living thing requires something then that something has a positive impact on that living thing	nongold
83	the sun is the source of solar energy called sunlight	nongold
84	animals adapt to their environment	nongold
85	high is similar to increase	nongold
86	plants are a part of the environment	nongold
87	adapt is similar to evolve	nongold
88	well-suited is similar to adapted	nongold
89	larger; bigger is the opposite of smaller	nongold
90	a lot means large in amount; quantity	nongold
91	to contain means to have inside	nongold
92	to impact means to affect	nongold
93	too much water can cause a plant to not grow	nongold
94	a decrease is a kind of change	nongold
95	temperature is a kind of condition	nongold
96	An example of an environment is a forest; a river; a grassland; an ocean	nongold
97	an animal is a kind of living thing	nongold
98	less means a reduced amount	nongold
99	a part of a living thing is a natural structure	nongold
