Question	The sound, light, and heat that a firecracker produces are originally stored as which type of energy?	question
Answer	chemical energy	answer
0	a firecracker converts chemical energy into sound energy and light energy and heat energy	gold
1	a type is synonymous with a kind	gold
2	a source of something emits; produces; generates; provides that something	nongold
3	form means kind	nongold
4	combustion means fire converts chemical energy into light energy and heat energy	nongold
5	classifying is when one sorts something by kind; type	nongold
6	chemical energy is a kind of energy	gold
7	if something converts one kind of energy into other kinds of energy then that something originally stores that energy as the first kind of energy	gold
8	a type of something is a kind of property of that something	nongold
9	sound is a kind of energy	nongold
10	generate means produce	nongold
11	heat is a kind of energy	nongold
12	heat means heat energy	nongold
13	sound means sound energy	nongold
14	variety means different kinds; different types	nongold
15	temperature is a measure of heat energy	nongold
16	sound is a kind of sound energy	nongold
17	light is a kind of energy	nongold
18	light is a kind of energy	nongold
19	food is a kind of chemical energy	nongold
20	light means light energy	nongold
21	objects contain chemical energy	nongold
22	producing is similar to discharging	nongold
23	when two objects are touched; are contacted; move against each other , sound is produced	nongold
24	a living thing is a kind of object	nongold
25	to produce means to provide	nongold
26	heating means adding heat	nongold
27	fire causes burning	nongold
28	different types of matter have different chemical properties	nongold
29	to combust means to catch fire	nongold
30	emit means produce	nongold
31	converting is similar to producing	gold
32	fire is a kind of chemical reaction	nongold
33	noise means sound	nongold
34	carbohydrates store chemical energy	nongold
35	objects are made of materials; substances; matter	nongold
36	fire gives off light; heat; smoke	nongold
37	all elements are a kind of pure substance	nongold
38	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
39	producing is similar to causing	nongold
40	a kind of something is an example of that something	nongold
41	material means substance	nongold
42	a device is a kind of object	nongold
43	a battery contains chemical energy	nongold
44	category means kind	nongold
45	intense sound energy can move objects	nongold
46	make means produce	nongold
47	producing is similar to releasing	nongold
48	to store means to hold	nongold
49	producing is a kind of function	nongold
50	sound is produced when mechanical energy is transformed into sound energy	nongold
51	a producer is a kind of living thing	nongold
52	produce is similar to release	nongold
53	if something generates energy for something else then that something powers that something else	nongold
54	loud means high in sound energy;sound intensity	nongold
55	to be used for something means to be required by that something	nongold
56	different substances usually have different amount of chemical energy	nongold
57	to be formed by is similar to being produced by	nongold
58	electrical energy is a kind of energy	nongold
59	metal is a thermal; thermal energy conductor	nongold
60	chemicals means substances	nongold
61	fuel contains chemical energy	nongold
62	producing is a kind of process	nongold
63	keeping is similar to storing	nongold
64	An example of  preparing is storing something for use later	nongold
65	an animal is a kind of living thing	nongold
66	air is a vehicle for sound	nongold
67	answering questions requires information	nongold
68	an element is a kind of material	nongold
69	a kind of something is classified as that something	nongold
70	substances are made of matter	nongold
71	substances have chemical properties	nongold
72	an element is a kind of  substance	nongold
73	particles in objects are a kind of matter	nongold
74	contain is similar to store	nongold
75	an object; material; substance comes from that object or material's source	nongold
76	hydrogen contains chemical energy	nongold
77	An example of combustion is explosion	nongold
78	substances are made of elements	nongold
79	if an object is made of a material then that object has the properties of that material	nongold
80	combustion is a kind of chemical change	nongold
81	if something causes an increase in something else then that something produces that something else	nongold
82	the function of something is what that something  is used to do	nongold
83	if something is made of something; a material then that something contains that something; that material	nongold
84	products are formed; are produced; are created	nongold
85	vibrating matter can produce sound	nongold
86	to generate means to form	nongold
87	a chemical reaction producing a lot of gas and heat in a short time causes an explosion	nongold
88	combustibility is a kind of  chemical property	nongold
89	production is similar to making	nongold
90	metal is a kind of material	nongold
91	to produce means to create	nongold
92	when an animal moves , chemical energy is converted to mechanical energy	nongold
93	a stove generates heat for cooking usually	nongold
94	if something causes a process then that something is required for that process	nongold
95	to provide something means to be the source of that something	nongold
96	potential energy means stored energy	nongold
97	a burner is a kind of object; surface	nongold
98	if something is a raw material in a process then that something is required for that process	nongold
99	carbohydrates are used for storing;transporting energy	nongold
