Question	Grooves running down the sides of a riverbank are most likely caused by	question
Answer	rainwater.	answer
0	a riverbank is made of soil	gold
1	rainwater is a kind of water	gold
2	soil loss causes grooves in soil	gold
3	rain is a kind of water	nongold
4	a river is a kind of flowing body of water	nongold
5	rain causes erosion	nongold
6	a stream is a kind of body of water	nongold
7	rain is a source of water	nongold
8	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
9	raining is when rain falls from clouds to the Earth;ground as a liquid	nongold
10	rain is a kind of precipitation	nongold
11	a riverbed is a part of a river	nongold
12	erosion causes a river to become deeper and wider	nongold
13	runoff is a kind of water	nongold
14	soil erosion is when wind; moving water; gravity move soil from fields; environments	nongold
15	precipitation is when water falls from the sky	nongold
16	rainfall means precipitation	nongold
17	to wash away is a kind of movement by moving water	nongold
18	a body of water is a source of water	nongold
19	wind and rain; storms cause erosion	nongold
20	a river is a kind of channel for water	nongold
21	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
22	a body of water is a kind of environment	nongold
23	storms;rain cause bodies of water to increase amount of water they contain	nongold
24	a body of water contains water	nongold
25	water is a part of an environment	nongold
26	rainfall is the amount of rain an area receives	nongold
27	when a river floods , that river deposits soil; sediment in flood plains	nongold
28	water is a kind of substance	nongold
29	being exposed to wind; water; animals; heat can cause erosion of soil; of rocks	nongold
30	weathering; erosion usually occurs over a period of many years	nongold
31	water  flows down a slope	nongold
32	an area receiving rain means rain falling in that area	nongold
33	precipitation is when rain;snow;hail fall from clouds to the Earth;ground	nongold
34	low means down	nongold
35	rainfall means the amount of precipitation	nongold
36	flowing is a kind of motion	nongold
37	ground water is a kind of water	nongold
38	the bottom is the lowest part of something	nongold
39	erosion is a kind of process	nongold
40	moisture means liquid; liquid water	nongold
41	rain; snow falls	nongold
42	precipitation is a kind of natural occurrence; cause	nongold
43	acidic rainwater contains acid	nongold
44	surfaces sometimes cause objects to break	nongold
45	sinkholes; caves are formed by precipitation; infiltration	nongold
46	rainstorm means rain storm	nongold
47	water is a kind of liquid at room temperature	nongold
48	weathering is a kind of erosion	nongold
49	downhill means down	nongold
50	flooding is a kind of change	nongold
51	often is similar to likely	nongold
52	due to means caused by	nongold
53	something that contains water is similar to a body of water	nongold
54	a surface is a part of an object	nongold
55	soil and sediment deposited by a river are usually high; rich in nutrients	nongold
56	to reduce means to decrease	nongold
57	erosion is a kind of change	nongold
58	erosion usually causes harm to the environment	nongold
59	the slope of the land causes a river to flow in a particular direction	nongold
60	washing out means being moved from  by water	nongold
61	attracting a stream of water can cause water to bend	nongold
62	soil erosion is a kind of slow; natural process	nongold
63	to be formed by is similar to being produced by	nongold
64	downward means down	nongold
65	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
66	erosion of soil has a  negative impact on the environment; soil quality	nongold
67	water is a kind of object	nongold
68	harming something has a  negative impact on; effect on that something	nongold
69	a landslide is when water; gravity rapidly moves rocks; soil downhill especially after a rain storm	nongold
70	to be a source of something means to cause that something	nongold
71	pumping water means removing water	nongold
72	break down means change from a whole into pieces	nongold
73	damage has a negative impact on a thing	nongold
74	to lower means to decrease	nongold
75	to split means to break down	nongold
76	to give is similar to to cause	nongold
77	thickness is  a measure of how thick an object  is	nongold
78	weathering is a kind of process	nongold
79	a type is synonymous with a kind	nongold
80	width is a property of size; shape and includes ordered values of narrow; wide	nongold
81	sometimes weathering smooths; rounds rocks	nongold
82	runoff is when cropland water enters; runs off into bodies of water	nongold
83	form means kind	nongold
84	low is similar to decrease	nongold
85	length is a measure of distance from one end of an object to the other end of that object	nongold
86	under water means covered by water; in water	nongold
87	measures of length; measures of distance are used to measure the amount of rainfall	nongold
88	wind carries; transports sand; dirt from one place to another place	nongold
89	running is a kind of movement	nongold
90	to cause means to make	nongold
91	flowing is similar to pouring	nongold
92	to happen means to occur	nongold
93	heavy rains cause flooding	nongold
94	to give off means to be the source of	nongold
95	water causes the most soil and rock erosion	nongold
96	groundwater is a kind of water	nongold
97	to break down means to break into smaller pieces	nongold
98	extreme means very high in value	nongold
99	damage means harm	nongold
