Question	Which of the following devices relies on electromagnetic radiation in the radio wave region of the spectrum for operation?	question
Answer	cellular telephone	answer
0	a cellular telephone requires electromagnetic radiation in the radio wave region of the spectrum for operation	gold
1	radio wave is a kind of electromagnetic wave	nongold
2	electromagnetic spectrum is bands; ranges of frequencies of light waves	nongold
3	electromagnetic radiation is arranged in the electromagnetic spectrum by wavelength; frequency	nongold
4	electromagnetic radiation means electromagnetic energy	nongold
5	a telephone is a kind of electrical device for communication	gold
6	to depend on; to rely on; to need means to require	gold
7	the cellular telephone was invented in 1973	nongold
8	a radio is a kind of electrical device	nongold
9	electromagnetic wave is a kind of  wave	nongold
10	radio signal is a kind of radio wave	nongold
11	a telephone is a kind of technology	nongold
12	instrument means device	nongold
13	light is a kind of electromagnetic radiation	nongold
14	electromagnetic radiation distorts the frequency of the radio waves	nongold
15	a telephone is a kind of tool	nongold
16	telephones are used for communication by two people by transmitting sound	nongold
17	radio transmitter emits radio waves	nongold
18	a device requires energy to operate	nongold
19	device means tool	nongold
20	a radio is used for communication	nongold
21	a radio is a kind of tool	nongold
22	a range of a spectrum means a part of a spectrum	nongold
23	a telephone is used for communication by humans over long distances	nongold
24	electromagnetic energy travels as electromagnetic waves	nongold
25	to be used for something means to be required by that something	nongold
26	the radio receives radio waves	nongold
27	microwave is a kind of electromagnetic wave	nongold
28	a telephone contians an encoder	nongold
29	radio station broadcasting is a source of radio waves	nongold
30	light is a kind of wave	nongold
31	infrared wave is a kind of  electromagnetic wave	nongold
32	a portable radio is a kind of radio	nongold
33	electric devices require electrical energy to function	nongold
34	networks are used for transmitting signals by televisions; the Internet around the world	nongold
35	the function of something is what that something  is used to do	nongold
36	microwave is a part of the electromagnetic spectrum	nongold
37	wavelength is a property of wave	nongold
38	an instrument is a piece of equipment	nongold
39	answering questions requires information	nongold
40	all waves transfer; transmit energy from one place to another	nongold
41	the encoders in the telephone convert sound energy into electrical energy	nongold
42	visible light is a part of the electromagnetic spectrum	nongold
43	In a communication system a radio station tower has the role of transmitter	nongold
44	a radio converts electrical energy into vibrations; sound energy	nongold
45	a radio contains a speaker	nongold
46	operating electrical appliances requires electricity	nongold
47	a device is a kind of object	nongold
48	a battery-operated device is a kind of electrical device	nongold
49	a source of something emits; produces; generates; provides that something	nongold
50	frequency is a property of a wave; a particel of light; an event	nongold
51	if something performs a task then that task is that something's function	nongold
52	high frequency means above 8000 hertz in  frequency	nongold
53	radio waves spread in all directions	nongold
54	if something requires something else then that something requires a source of that something else	nongold
55	electrical signals are made of electrical energy	nongold
56	a region is a kind of location	nongold
57	electrical devices convert from electrical energy; electricity into other forms of energy	nongold
58	a region is similar to an environment	nongold
59	technology is similar to tool	nongold
60	ionizing radiation is a kind of electromagnetic wave	nongold
61	electromagnetic energy is a kind of energy	nongold
62	can be means able to be	nongold
63	instrument means tool	nongold
64	a wave is a kind of object	nongold
65	region is similar to range	nongold
66	radiation is when electromagnetic waves transfers heat and light energy	nongold
67	to use means to utilize	nongold
68	ringing is a kind of action	nongold
69	if something is a raw material in a process then that something is required for that process	nongold
70	if something causes a process then that something is required for that process	nongold
71	to provide something means to be the source of that something	nongold
72	light rays means light	nongold
73	something is used for that something's purpose	nongold
74	converting is similar to producing	nongold
75	light means light energy	nongold
76	radiation is a kind of process	nongold
77	a mechanism is a kind of system that performs a function	nongold
78	requiring something means needing that something	nongold
79	if two things perform the same function then those two things are similar	nongold
80	to create means to make	nongold
81	requiring is similar to needing help	nongold
82	where something  comes from is a source of that something	nongold
83	a process is a kind of event	nongold
84	converting is similar to generating	nongold
85	electricity is used as an energy source by electrical devices	nongold
86	to produce means to create	nongold
87	waves can travel through matter	nongold
88	sound wave with frequency range in 20-20000 hertz  can be heard by human	nongold
89	electricity means electrical energy	nongold
90	closing an electric circuit causes an electrical device to function	nongold
91	electrical energy is a kind of energy	nongold
92	sound wave is a kind of wave	nongold
93	generate means produce	nongold
94	to be dependent on something means to depend on that something	nongold
95	a machine is a kind of  device	nongold
96	to generate means to create	nongold
97	the radio converts radio waves into mechanical waves in the speaker	nongold
98	if something transfers something else then that something is a source of something else	nongold
99	visible  light is the smallest range within the electromagnetic spectrum	nongold
