Question	Sugar is composed of carbon, hydrogen, and oxygen. Sugar is an example of which of the following?	question
Answer	a compound	answer
0	sugar is made of carbon, hydrogen, oxygen	gold
1	composed of means made of	gold
2	a chemical compound is a kind of compound	nongold
3	sugar is a kind of pure substance	nongold
4	a kind of something is an example of that something	nongold
5	a compound is a kind of substance	nongold
6	compound is a kind of chemical	nongold
7	organic compounds contain hydrogen	nongold
8	water is made of hydrogen and oxygen	nongold
9	composition means the (materials, substances) of which something is composed	nongold
10	to be made of something means to be formed of that something	nongold
11	to be made of means to consist of	nongold
12	a compound is made of two or more elements that have been chemically combined	gold
13	made up of means contains; made of	nongold
14	sugar is a kind of solid	nongold
15	carbohydrates are made of sugars	nongold
16	An example of a chemical property is the elements a compound is made of	nongold
17	sugar is a kind of food	nongold
18	glucose is a kind of substance	nongold
19	a hydrocarbon molecule is made of hydrogen and carbon by being chemically combined	nongold
20	carbon; hydrogen; nitrogen; oxygen are the most common elements in organic compounds	nongold
21	made of is similar to contains	nongold
22	organic compounds mainly are made of carbon; hydrogen; oxygen; nitrogen	nongold
23	oxygen is a part of many organic molecules	nongold
24	a compound can be chemically separated into the elements that it is made of	nongold
25	sugar dissolves in water when they are combined	nongold
26	oxygen  is a kind of element	gold
27	chemical compounds contain chemical bonds between atoms; between elements	nongold
28	carbon is a kind of element	gold
29	all elements are a kind of pure substance	nongold
30	hydrogen is a kind of element	gold
31	water is a kind of compound	nongold
32	substances are made of elements	nongold
33	substances are made of molecules	nongold
34	a molecule is made of atoms chemically combined; bonded	nongold
35	sugar is a kind of  simple carbohydrate	nongold
36	combining; mixing two substances chemically causes chemical reactions	nongold
37	oxygen gas is made of only  oxygen element	nongold
38	if something is a part of something else then that something else contains that something	nongold
39	the bonds of chemical compounds contain chemical energy	nongold
40	a pure substance is made of only one kind of atom; molecule	nongold
41	chemical bonds are formed by chemically combining elements; atoms; molecules	nongold
42	substances have chemical properties	nongold
43	chemical reactions cause new substances; different substances to form	nongold
44	both means two	nongold
45	chemical composition is a kind of property	nongold
46	In the solution sugar water , the solute is sugar	nongold
47	organic compounds are made of carbon chains with other elements attached to it	nongold
48	carbohydrates are made of glucose molecules bonding together	nongold
49	the chemistry of something is similar to what that something is made of	nongold
50	to be formed by is similar to being produced by	nongold
51	table sugar is a kind of sugar	nongold
52	hydrogen contains chemical energy	nongold
53	an element is made of one kind of atoms	nongold
54	many types of molecules can be formed by carbon with covalent bonds	nongold
55	an atom is a kind of object	nongold
56	an  element is a kind of atom	nongold
57	nitrogen is a kind of element	nongold
58	a carbohydrate is a kind of compound	nongold
59	composition is a property of an object; matter	nongold
60	a molecule is the smallest particle; unit that has the properties of a compound	nongold
61	a molecule of water is made of 2 hydrogen atoms and 1 oxygen atom	nongold
62	a compound is a kind of material	nongold
63	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
64	living things are made of organic molecules	nongold
65	oxygen is a kind of gas at room temperature	nongold
66	if something is made of something; a material then that something contains that something; that material	nongold
67	matter; materials; substances are made of atoms; particles	nongold
68	if something is a source of something else then that something usually contains that something else	nongold
69	an atom is the smallest particle; unit that has the properties of an element	nongold
70	food contains carbohydrates	nongold
71	N means nitrogen	nongold
72	the  chemical symbol for oxygen is O	nongold
73	ATP is formed by the breakdown of molecules of glucose	nongold
74	to contain something means to have that something	nongold
75	food is a kind of substance	nongold
76	a source of something emits; produces; generates; provides that something	nongold
77	organisms are made of organic compounds	nongold
78	hydrogen is a kind of gas at room temperature	nongold
79	can be means able to be	nongold
80	the basic unit of matter is atom	nongold
81	products are formed; are produced; are created	nongold
82	methane is a kind of compound	nongold
83	oxygenated means having oxygen	nongold
84	an atom is exceptionally small in size	nongold
85	oxygen; selenium; sulfur; tellurium; polonium is located in group 16; oxygen family on the periodic table	nongold
86	plants are a source of oxygen through photosynthesis	nongold
87	if something is made of something else , then that something else will be the component of that something	nongold
88	ammonia is made of nitrogen and hydrogen	nongold
89	photosynthesis is a source of oxygen	nongold
90	chemical reactions cause chemical change	nongold
91	substances contain chemical bond energy	nongold
92	a molecule is a kind of object	nongold
93	sugar is made of sugar crystals	nongold
94	including means containing	nongold
95	material composition is a kind of chemical property	nongold
96	water contains dissolved oxygen	nongold
97	atom cannot be divided into smaller substances	nongold
98	if something is made of something else then the formation of that something requires that something else	nongold
99	if something absorbs something else then that something will contain that something else	nongold
