Question	Which model best illustrates the wave property that enables scientists to explore Earth's interior using seismic waves?	question
Answer	shining a light through a prism	answer
0	a prism is a kind of object	nongold
1	a prism is a kind of tool for refracting light	nongold
2	a prism is used for refracting light	gold
3	a prism refracts light	nongold
4	a prism is made of glass	nongold
5	to shine means to emit light	gold
6	sunlight shining means sunlight is provided	nongold
7	the refraction of seismic wave can be  used to interpret  the interior of structure of earth	gold
8	a scientist is a kind of human	nongold
9	earthquake causes seismic waves	nongold
10	light is a kind of wave	gold
11	an earthquake wave is a kind of wave	nongold
12	an earthquake is a kind of natural; geological event	nongold
13	a wave is a kind of object	nongold
14	sunlight is a kind of light	nongold
15	a vehicle for something allows; enables that something to occur	nongold
16	earthquake  is a kind of vibration  of the ground	nongold
17	scientists make observations	nongold
18	Earth is a kind of planet	nongold
19	frequency is a property of a wave; a particel of light; an event	nongold
20	a type of something is a kind of property of that something	nongold
21	an earthquake usually occurs over a period of 10 to 30 seconds	nongold
22	to enable means to allow	nongold
23	sunlight can shine through a window	nongold
24	transmitance is when a wave goes through; transmits through a surface and travels in the  same direction relative to the angle of incidence	nongold
25	if an object is translucent , then some light will shine through that object	nongold
26	a seismograph is a kind of tool for measuring the size of an earthquake	nongold
27	structure is a property of an object; a material; a substance	nongold
28	earthquakes are most common along tectonic plate boundaries	nongold
29	to illuminate means to light up	nongold
30	a seismograph is used to measure the earthquake waves	nongold
31	instrument means tool	nongold
32	can be means able to be	nongold
33	inventing a tool allows; enables that tool to be used	nongold
34	refraction is when a wave goes through; transmits through; passes through a surface; a material; an object and travels in a different direction relative to the angle of incidence	nongold
35	viewing means observing light	nongold
36	an object has properties	nongold
37	if a technology that is used to study something is still being developed then that something can not be discovered; studied	nongold
38	waves travel outward from the source	nongold
39	light waves travel as transverse waves	nongold
40	researcher is a kind of scientist	nongold
41	helping means something can be done; completed more easily; better	nongold
42	a seismograph is used for measuring the size of an earthquake	nongold
43	to enable is to help	nongold
44	to be used for something means to be required by that something	nongold
45	if an object is transparent , then light will shine through that object without scattering	nongold
46	Earth is made of rock	nongold
47	electromagnetic wave is a kind of  wave	nongold
48	best means most positive	nongold
49	light is a kind of electromagnetic radiation	nongold
50	discovering something usually requires seeing that something	nongold
51	a wave is formed by the vibration of the source spreading around from the source	nongold
52	the properties of something are used for describing that something	nongold
53	a tool is a kind of object	nongold
54	the ground is part of the Earth	nongold
55	reflection is when light is reflected from one object; one place to  another object; another place	nongold
56	shiny things; objects reflect light	nongold
57	an earthquake changes Earth's surface quickly	nongold
58	a structure of something is synonymous with a part of that something	nongold
59	reflecting light; sound is the opposite of absorbing light; sound	nongold
60	form means kind	nongold
61	sunlight produces heat	nongold
62	high is similar to increase	nongold
63	studying is similar to investigating	nongold
64	to enable is similar to cause	nongold
65	to reflect light means to scatter light	nongold
66	electromagnetic wave is not a mechanical wave	nongold
67	ocean wave is a kind of wave	nongold
68	a property of something is a feature of that something	nongold
69	technology is used for application of science	nongold
70	a seismometer is used to measure the strength or magnitude of an earthquake	nongold
71	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
72	the function of something is what that something  is used to do	nongold
73	sunlight is a kind of solar energy	nongold
74	tectonic plates being pushed together causes earthquakes	nongold
75	a source of something emits; produces; generates; provides that something	nongold
76	a vibration is similar to a wave	nongold
77	media; medium means the material something travel through	nongold
78	UV light is a kind of light	nongold
79	a rock is a kind of object	nongold
80	a physicist is a kind of scientist	nongold
81	to discover means to find	nongold
82	answering questions requires information	nongold
83	device means tool	nongold
84	events occur at a specific place; at a specific time; with a specific frequency	nongold
85	to discover means to make a discovery	nongold
86	visible light is a kind of  light	nongold
87	scientific discoveries sometimes require specific technologies	nongold
88	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
89	light means light energy	nongold
90	no light shines through an opaque object	nongold
91	a type is synonymous with a kind	nongold
92	instrument means device	nongold
93	motion is when moves an object; something to a direction	nongold
94	what something needs is a property of that something	nongold
95	bright means a lot of light	nongold
96	waves can travel through matter	nongold
97	affected means changed	nongold
98	a structure is a kind of feature	nongold
99	to add means to increase	nongold
