Question	A research team wanted to produce a smaller variety of German shepherd dogs. They mated the smallest dogs from different litters for several generations. This is an example of which concept?	question
Answer	selective breeding	answer
0	selective breeding is when an organism receives selective genetic traits from its parents by human design	gold
1	reproduction produces; produce offspring	nongold
2	selective breeding decreases genetic diversity	nongold
3	offspring are a part of a generation	gold
4	selective means of selection	nongold
5	variety means different kinds; different types	nongold
6	to reproduce means to have; to produce offspring	nongold
7	reproduction increases the number; population of a living thing	nongold
8	to breed is similar to to reproduce	nongold
9	inheriting is when an inherited characteristic is copied; is passed from parent to offspring by genetics;DNA	gold
10	a dog is a kind of animal	gold
11	parents produce offspring	nongold
12	offspring receive genes from their parents through inheritence; DNA; sexual reproduction	nongold
13	inherited characteristics can change over several generations	nongold
14	parents are a part of a generation	gold
15	a kind of something is an example of that something	nongold
16	a research team is made of humans	gold
17	variety is similar to diversity	nongold
18	natural selection occurs over a period of 1 to many generations; centuries which is considered a  very long time to a human	nongold
19	an animal needs to attract a mate to reproduce	gold
20	larger means greater; higher; more; increase in size	nongold
21	small is the opposite of large	nongold
22	trait is synonymous with characteristic	gold
23	larger; bigger is the opposite of smaller	nongold
24	to attract females; males means to attract mates	nongold
25	an animal is a kind of living thing	nongold
26	an organism is a living thing	nongold
27	living things can all reproduce	nongold
28	the size of an organism is an inherited characteristic	gold
29	smaller means less; lower in size	gold
30	children; young is synonymous with offspring	nongold
31	an animal is a kind of organism	gold
32	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
33	an animal is a member of an animal species	nongold
34	a living thing is a kind of object	nongold
35	variation means variety	nongold
36	reproduction is a kind of process	nongold
37	mammals is a kind of class	nongold
38	if an organism passes on its traits then future generations will have those traits	nongold
39	an part of an object is smaller than the entire object	nongold
40	decreasing is similar to becoming smaller	nongold
41	offspring receives half of the genes from each parent	nongold
42	an increase is the opposite of a decrease	nongold
43	coloration is used to find a mate by some animals	nongold
44	a mother births offspring	nongold
45	reproduction is when an organism passes genetic information from itself to its offspring	nongold
46	a type is synonymous with a kind	nongold
47	a producer is a kind of living thing	nongold
48	Germany is located in the northern hemisphere	nongold
49	different organisms reproduce differently	nongold
50	to change means to become different	nongold
51	fur is usually part of a mammal	nongold
52	to be used for something means to be required by that something	nongold
53	asexual reproduction is when a single parent passes inherited traits to offspring	nongold
54	a puppy is a young; baby dog	nongold
55	genetic variation in offspring has a positive impact on an organism's; offspring's survival; health; ability to reproduce	nongold
56	producing is a kind of process	nongold
57	largest means greatest in size	nongold
58	development is similar to production	nongold
59	fewer means lower; less in number	nongold
60	to produce means to result in	nongold
61	genes are able to determine the inherited characteristics of a living thing	nongold
62	sexual reproduction is a source of genetic variation; naturally occurring variation in offspring; in a species	nongold
63	fur is often part of an animal	nongold
64	the majority of is similar to largest	nongold
65	selection means choosing	nongold
66	if something causes an increase in something else then that something produces that something else	nongold
67	a mammal is a kind of animal	nongold
68	high is similar to increase	nongold
69	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
70	trait means property	nongold
71	the color of; coloration of fur is an inherited characteristic	nongold
72	species is an inherited characteristic	nongold
73	reproductive behavior is an inherited characteristic	nongold
74	Natural selection is when organisms with beneficial traits survive competition to  reproduce and pass their beneficial traits onto their offispring; the successive generation	nongold
75	genes is a vehicle for passing inherited characteristics from parent to offspring	nongold
76	different is the opposite of the same	nongold
77	production is similar to making	nongold
78	an asexually produced offspring is genetically identical to its parent	nongold
79	research is used for learning	nongold
80	a dog weighs, on average 32 kg	nongold
81	an inherited characteristic is a kind of characteristic	nongold
82	sexual reproduction produces offspring with genetic material from both parents; cells with genetic material from both parent cells	gold
83	killing a living thing decreases the number; population size of that living thing	nongold
84	to produce means to provide	nongold
85	emit means produce	nongold
86	as the number of offspring an animal has increases , the number of offspring that survive will increase	nongold
87	unique  is the opposite of diverse	nongold
88	make means produce	nongold
89	a source of something emits; produces; generates; provides that something	nongold
90	to produce means to create	nongold
91	coloration means a thing's color	nongold
92	the number of body parts of an organism is an inherited characteristic	nongold
93	less is the opposite of more	nongold
94	converting is similar to producing	nongold
95	attract a mate means find a mate	nongold
96	how many means what number	nongold
97	genetic; hereditary means of genes; heredity	nongold
98	producing is similar to causing	nongold
99	little means small	nongold
