Question	Burt used a spoon to stir soup that was cooking on his stove. Which spoon will stay the coolest while he stirs?	question
Answer	a wooden spoon	answer
0	if a spoon; an object is used to stir a liquid; mixture then that spoon; that object is touching that liquid; that mixture	gold
1	keeping means staying	nongold
2	a spoon sometimes is made of metal	nongold
3	soup is a kind of food	gold
4	heating means adding heat	nongold
5	keeping cool means not increasing temperature	nongold
6	cooling;colder means removing;reducing;decreasing heat;temperature	gold
7	a spoon is a kind of object	gold
8	soup is a kind of liquid	gold
9	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
10	adding heat means increasing temperature	nongold
11	a stove is used for cooking by generating heat	gold
12	a stove generates heat for cooking usually	nongold
13	a human is a kind of animal	nongold
14	heat means heat energy	gold
15	an animal is a kind of living thing	nongold
16	temperature is a measure of heat energy	nongold
17	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	gold
18	cooling means temperature decreases	nongold
19	cool means cold	nongold
20	heat means temperature increases	nongold
21	stirring is a kind of first-	nongold
22	heating is the opposite of cooling	nongold
23	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	gold
24	a plastic spoon is made of plastic	nongold
25	a burner is a part of a  stove	nongold
26	warm; becoming warm means heat is added	nongold
27	metal is a thermal; thermal energy conductor	nongold
28	a cow is a kind of animal	nongold
29	a living thing is a kind of object	nongold
30	stirring is when something moves an object in a circular motion for mixing	nongold
31	warm up means increase temperature	nongold
32	staying means not changing	nongold
33	absorbing sunlight causes objects to heat	nongold
34	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
35	cooking food requires adding heat energy to the food	nongold
36	warm means medium heat energy; temperature	nongold
37	warmer means greater; higher in temperature; warmth	nongold
38	a hot; warm something is a source of heat	nongold
39	to add means to increase	nongold
40	a utensil is used for eating	nongold
41	food is a kind of object	nongold
42	staying cool has a positive impact on a human's comfort	nongold
43	an oven is a source of heat	nongold
44	if food is cooked then heat energy is added to that food	gold
45	warm is the opposite of cool	nongold
46	cookware is used for cooking	nongold
47	a pan;frying pan;pot is used for cooking food by heating food in it on a stove	nongold
48	heat energy is synonymous with thermal energy	gold
49	high is similar to increase	nongold
50	person is synonymous with human	nongold
51	if an object is placed in a substance; in a location that is colder then that object will cool to the same temperature of that substance; of that location	nongold
52	a person is a kind of animal	nongold
53	friction causes the temperature of an object to increase	nongold
54	objects are made of materials; substances; matter	nongold
55	hot means high in heat energy; temperature	nongold
56	to lower means to decrease	nongold
57	being  on something; placed in something; placed over something means touching  that something	nongold
58	to remain means to stay where it is	nongold
59	staying cool is the opposite of becoming hot	gold
60	fire causes burning	nongold
61	if a container contains something then that container touches that something	nongold
62	low is similar to decrease	nongold
63	food is a kind of substance	nongold
64	to reduce means to decrease	nongold
65	a vegetable is a kind of food	nongold
66	an electric stove changes electrical energy into heat energy	nongold
67	a dog is a kind of animal	nongold
68	to serve as means to be used as	nongold
69	if one surface; one substance; one object touches something then one is exposed to that something	gold
70	a hot substance is a source of heat	nongold
71	heat energy  can be used to heat up  an object	nongold
72	a burner is a kind of object; surface	nongold
73	if an object is made of a material then that object has the properties of that material	gold
74	a stove is a kind of machine	nongold
75	food is what an animal eats	nongold
76	an animal requires warmth for survival	nongold
77	fire transfers heat through waves	nongold
78	a container is a kind of object	nongold
79	water is an thermal; thermal energy conductor	nongold
80	to remain means to stay the same	nongold
81	baking is when a human makes food by adding heat	nongold
82	warm means warm temperature	nongold
83	a hot plate is a source of heat	nongold
84	friction converts mechanical energy into heat energy	nongold
85	if heat is absorbed from a source then that heat source will cool	nongold
86	if heat is added to a substance then that substance absorbs that heat	nongold
87	increase means more	nongold
88	heating elements are usually a part of an oven	nongold
89	an increase is the opposite of a decrease	nongold
90	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
91	heat means the transfer of thermal energy	nongold
92	a container contains objects; material; substances	nongold
93	if an object is touching a warmer object , then the  cooler  object will increase in temperature until two objects reach the same temperature	nongold
94	cold means low in temperature	nongold
95	frying food is a kind of cooking	nongold
96	a vegetable is a kind of plant	nongold
97	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
98	to be used for something means to be required by that something	nongold
99	a source of heat can be used to heat something	nongold
