Question	The length of a year is equivalent to the time it takes for one	question
Answer	revolution of Earth around the Sun	answer
0	a complete revolution of the Earth around the sun takes 1; one year; solar year; Earth year	gold
1	a revolution occurs when something revolves around something else	nongold
2	the Earth revolves around the sun	nongold
3	a revolution of the moon around the Earth takes 1; one month	nongold
4	Earth's revolution is a kind of cycle	nongold
5	length of time means period of time	nongold
6	years are a kind of unit for measuring time	gold
7	a measure of time is a length of time	nongold
8	how long something takes is a kind of measurement of time	nongold
9	meters;centimeters;kilometers are used to describe distance; describe length	nongold
10	Earth is a kind of planet	nongold
11	years ( y ) are a  metric unit used for measuring time generally used for values between 1.0 and 14000000000.0	nongold
12	a meter is a kind of unit for measuring distance; measuring length	nongold
13	meters ( m ) are a  metric; SI unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
14	light years ( ly ) are a  astronomy unit used for measuring length; distance generally used for values between 1.0 and 27000000000.0	nongold
15	the Sun is a kind of star	nongold
16	a planet's distance from the star causes the length of a planetary year	nongold
17	a Rotation of the Earth on Earth's axis; itself takes 1; one day	nongold
18	longest means greatest in length	nongold
19	the Earth rotates on its axis	nongold
20	1 year is equal to 365 days	nongold
21	kilometers ( km ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 50000000.0	nongold
22	days are a kind of unit for measuring time	nongold
23	months ( m ) are a  metric unit used for measuring time generally used for values between 1.0 and 24.0	nongold
24	period is similar to amount of time	nongold
25	a star is a kind of celestial object; celestial body	nongold
26	months are a kind of unit for measuring time	nongold
27	decades are a kind of unit for measuring time	nongold
28	a planet is a kind of celestial object; body	nongold
29	light year is a measure of the distance light travels in one year	nongold
30	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
31	as the distance of a planet from the star  it orbits increases , the length of a planetary year on that planet will increase	nongold
32	days ( d ) are a  metric unit used for measuring time generally used for values between 1.0 and 365.0	nongold
33	to a human a time period of 1000 years or more years is considered very long	nongold
34	seconds are a kind of unit for measuring time	nongold
35	centimeters ( cm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 250.0	nongold
36	1 year is equal to 12 months	nongold
37	Neptune has the longest solar year; planetary year in the solar system	nongold
38	long means great in length	nongold
39	the sun is a kind of yellow dwarf	nongold
40	a motion is a kind of event; action	nongold
41	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
42	minutes are a kind of unit for measuring time	nongold
43	month is a kind of period of time	nongold
44	the sun is a source of light; light energy called sunlight	nongold
45	revolving is a kind of motion	nongold
46	a unit for measuring time is a kind of time interval	nongold
47	seconds ( s; sec ) are a  metric unit used for measuring time generally used for values between 1.0 and 300.0	nongold
48	a light-year is used for describing long distances	nongold
49	an increase is a kind of change	nongold
50	1 month is equal to 28-31 days	nongold
51	miles ( mi ) are a  imperial unit used for measuring length; distance generally used for values between 1.0 and 50000000.0	nongold
52	the day time is part of one day	nongold
53	miles are a kind of unit for measuring distance	nongold
54	shortest means least; smallest in length	nongold
55	annual means once per year	nongold
56	a celestial body travelling around another celestial body means that celestial body completes a cycle around that other celestial body	nongold
57	astronomy is the study of celestial (objects, bodies)	nongold
58	the Earth revolving around the Sun causes the seasons to change; to occur on its axis	nongold
59	Earth rotating on its axis occurs once per day	nongold
60	turning is a kind of motion	nongold
61	rotation is a kind of motion	nongold
62	hours are a kind of unit for measuring time	nongold
63	the sun  is the source of energy for physical cycles on Earth	nongold
64	the sun is the source of solar energy called sunlight	nongold
65	length is a part of size	nongold
66	Earth's angle of tilt causes the length of day and night to vary	nongold
67	revolving is a kind of action	nongold
68	seconds are used to measure time	nongold
69	the sun is the strongest source of gravity in the solar system	nongold
70	high is similar to increase	nongold
71	sunlight means solar energy	nongold
72	revolve once means to complete a revolution	nongold
73	Tuesday is a kind of  time	nongold
74	to create means to make	nongold
75	shorter means decreased length	nongold
76	sunlight is a kind of light	nongold
77	the sun is a source of radiation; heat called sunlight	nongold
78	yearly means every year	nongold
79	rotate means turn	nongold
80	sunlight is a kind of solar energy	nongold
81	an event is a kind of action	nongold
82	a source of something emits; produces; generates; provides that something	nongold
83	setting is a kind of motion	nongold
84	increase means more	nongold
85	to shorten means to make shorter	nongold
86	unit is similar to part	nongold
87	shortest means the least amount of time	nongold
88	to produce means to create	nongold
89	instantaneously means short in time	nongold
90	decimeters ( dm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 10.0	nongold
91	the Earth being tilted on its axis causes one side of the Earth; one hemisphere to receive less energy from the Sun than the other side	nongold
92	hours ( hr ) are a  metric unit used for measuring time generally used for values between 0.25 and 72.0	nongold
93	the sun is made of hydrogen and helium	nongold
94	a change is a kind of event	nongold
95	the sun rises in the east	nongold
96	astronomical unit is a measure of distance between Earth and the Sun	nongold
97	length is a property of the shape of an object	nongold
98	the Sun is the  star that is closest to Earth	nongold
99	the sun sets in the west	nongold
