Question	Which of these describes a property of all matter?	question
Answer	All matter is made of atoms.	answer
0	matter; materials; substances are made of atoms; particles	gold
1	atoms are made of particles	nongold
2	state of matter is a kind of physical property	nongold
3	an atom is a kind of object	nongold
4	the properties of something are used for describing that something	nongold
5	made up of means contains; made of	nongold
6	an atom is the smallest particle; unit that has the properties of an element	nongold
7	an atom is made of protons; neutrons; electrons	nongold
8	a molecule is made of atoms chemically combined; bonded	nongold
9	a physical property is a kind of property	nongold
10	structure is a property of an object; a material; a substance	nongold
11	composed of means made of	gold
12	substances are made of matter	nongold
13	a pure substance is made of only one kind of atom; molecule	nongold
14	an element is made of one kind of atoms	nongold
15	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
16	objects are made of materials; substances; matter	nongold
17	particles in objects are a kind of matter	nongold
18	all elements are a kind of pure substance	nongold
19	an  element is a kind of atom	nongold
20	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
21	a  chemical property is a kind of  property	nongold
22	made of is similar to contains	nongold
23	materials are made of matter	nongold
24	compressibility is a property of  matter and includes ordered values of compressible; not compressible	nongold
25	state of matter at room temperature is a kind of physical property	nongold
26	combustibility is a kind of  chemical property	nongold
27	substances are made of elements	nongold
28	an object has properties	nongold
29	atom cannot be divided into smaller substances	nongold
30	a chemical property is the opposite of a physical property	nongold
31	chemical composition is a kind of property	nongold
32	to be characterized by  a property means to have that property	nongold
33	the basic unit of matter is atom	nongold
34	matter is made of molecules	nongold
35	material composition is a kind of chemical property	nongold
36	electron configuration is a property of elements	nongold
37	a particle is a kind of object	nongold
38	if something is made of something else then that something can be broken down into that something else	nongold
39	characteristic means property	nongold
40	measuring is used for describing an object	nongold
41	mass; weight is an extensive property	nongold
42	the  property of something is the same for the things of same kind	nongold
43	to be made of something means to be formed of that something	nongold
44	mass is a kind of physical property	nongold
45	if something is made of something; a material then that something contains that something; that material	nongold
46	flammability is a kind of chemical property	nongold
47	nonmetal means nonmetals	nongold
48	conductivity is a kind of physical property	nongold
49	a living thing is a kind of object	nongold
50	An example of a chemical property is how a material reacts chemically	nongold
51	a property is similar to a factor	nongold
52	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
53	to be made of means to consist of	nongold
54	state of matter means physical state	nongold
55	what something needs is a property of that something	nongold
56	physical state means state of matter	nongold
57	a property is a kind of information	nongold
58	a bonding property is a kind of chemical property	nongold
59	the effects of something is a property of that something	nongold
60	if something is made of something else , then that something else will be the component of that something	nongold
61	a molecule is a kind of particle	nongold
62	an object is made of its parts	nongold
63	atomic number is a property of elements	nongold
64	substances have chemical properties	nongold
65	the properties of something can be used to identify; used to describe that something	nongold
66	made of is similar to is built from	nongold
67	charge is a property of an object; a material; a substance and includes ordered values of negatively-charged; neutral; positively-charged	nongold
68	can be means able to be	nongold
69	similarity means the same property	nongold
70	catenation is a property of atoms	nongold
71	weight is a kind of property	nongold
72	material means substance	nongold
73	reaction to light is a kind of chemical property	nongold
74	density is a kind of physical property	nongold
75	composition is a property of an object; matter	gold
76	form means kind	nongold
77	state means form	nongold
78	a structure of something is synonymous with a part of that something	nongold
79	what an object is made of is a kind of characteristic	nongold
80	condition means the state of the property	nongold
81	An example of a chemical property is the elements a compound is made of	nongold
82	mass; weight is a property of matter; objects; materials	nongold
83	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
84	answering questions requires information	nongold
85	aspect is similar to property	nongold
86	boiling point is a kind of physical  property	nongold
87	if an object is made of something then the parts of that object are made of that something	nongold
88	a component of something means a part of that something	nongold
89	interatomic means existing or acting between atoms	nongold
90	substances are made of molecules	nongold
91	what something is made of is a property of the organization or that something	nongold
92	durability is a kind of property	nongold
93	a proton is a part of an atom; an element	nongold
94	all the other means the rest of	nongold
95	an element is a kind of  substance	nongold
96	a nonmetal is a kind of element	nongold
97	a type of something is a kind of property of that something	nongold
98	heat means heat energy	nongold
99	magnetism is a kind of physical property	nongold
