Question	A student used two long wires to connect a lightbulb to a battery. The student noticed that as soon as the circuit was complete, a nearby compass started to point in a direction other than north. The compass pointed in a different direction because it was reacting to the	question
Answer	magnetic field produced by the electric current.	answer
0	Earth's magnetic field causes compasses to point North	gold
1	electric currents produce magnetic fields	gold
2	a compass is used for determining direction	nongold
3	north; northward is a kind of direction	nongold
4	a compass is a kind of tool for determining direction by pointing north	nongold
5	completing a circuit causes electricity; electric current to flow  through that circuit	nongold
6	when the needle of a compass lines up with Earth's magnetic poles , the needle points north	nongold
7	south; southward is a kind of direction	nongold
8	natural magnetism is used for pointing north by a compass	nongold
9	a source of something emits; produces; generates; provides that something	nongold
10	current means electric current	nongold
11	a complete electrical circuit is a source of  electrical energy	nongold
12	a compass is a kind of object	nongold
13	toward is a kind of direction	nongold
14	a student is a kind of human	nongold
15	a battery is a source of electrical energy; electricity	nongold
16	north is the opposite of south	nongold
17	electrical current means electrical energy	nongold
18	the floating arrow on a compass always points towards the north	nongold
19	a compass's needle lines up with Earth's magnetic poles	nongold
20	electromagnets generate magnetic fields	nongold
21	an electric circuit is a vehicle for moving electrical energy from the source to  the electrical device	nongold
22	light bulb means lightbulb	nongold
23	a battery is a kind of object	nongold
24	a battery-operated device is a kind of electrical device	nongold
25	motion is when moves an object; something to a direction	nongold
26	a  battery  is a kind of electrical power source	nongold
27	magnetism is a property of materials; objects and includes ordered values of nonmagnetic; magnetic	nongold
28	electricity means electrical energy	nongold
29	an electromagnet is a kind of electric magnet	nongold
30	producing is similar to causing	nongold
31	a light bulb is a kind of electrical device	nongold
32	generate means produce	nongold
33	powering an electrical device with a battery requires a path for electricity to flow through a closed circuit	nongold
34	an electromagnet is a kind of device	nongold
35	a circuit is a kind of electrical component	nongold
36	when an electrical circuit is working properly , electrical current runs through that circuit; the wires in that circuit	gold
37	a device is a kind of object	nongold
38	batteries can be used to power electrical devices	nongold
39	down is a kind of direction	nongold
40	if something causes an increase in something else then that something produces that something else	nongold
41	to change means to become different	nongold
42	electric devices require electrical energy to function	nongold
43	passing a magnet through a closed loop of wire generates an electric current	nongold
44	electrical current running through a wire causes that wire to heat up; to become warm	nongold
45	away is a kind of direction	nongold
46	light means light energy	nongold
47	to give off means to be the source of	nongold
48	a compass is used to navigate oceans; seas	nongold
49	an electrical charge can attract objects to other objects	nongold
50	light is a kind of electromagnetic radiation	nongold
51	upward is a kind of direction	nongold
52	battery-powered is similar to battery-operated	nongold
53	a human is a kind of animal	nongold
54	a velocity is a measure of a speed in a direction	nongold
55	magnetic energy is a kind of energy	nongold
56	moving a coil of wire in the magnetic field generates electrical current	nongold
57	a living thing is a kind of object	nongold
58	magnetism is a kind of energy	nongold
59	to slow; to slow down decreases speed	nongold
60	magnetism can cause objects to repel each other	nongold
61	where something  comes from is a source of that something	nongold
62	to be formed by is similar to being produced by	nongold
63	opposite is a kind of different	nongold
64	a battery converts chemical energy into electrical energy for powering electrical devices	nongold
65	to add means to increase	nongold
66	instrument means device	nongold
67	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
68	electromagnetic energy is a kind of energy	nongold
69	the function of something is what that something  is used to do	nongold
70	an electromagnet contains a wire; cylindrical ferrous metal	nongold
71	a resistor is used to control the amount of current in the electric circuit	nongold
72	variable means able to change	nongold
73	an insulator is the opposite of a conductor	nongold
74	electromagnets can be powered by electricity	nongold
75	an increase is a kind of change	nongold
76	if something moves then that something is in a different location	nongold
77	high is similar to increase	nongold
78	if something comes from something else then that something else is a source of that something	nongold
79	an object; material; substance comes from that object or material's source	nongold
80	metal is an  electrical; electrical energy conductor	nongold
81	downward is a kind of direction	nongold
82	a field is a kind of environment	nongold
83	a magnet attracts magnetic metals; ferromagnetic metals through magnetism	nongold
84	creating a simple circuit requires a wire; battery	nongold
85	a magnet contains a north pole; south pole	nongold
86	electrical impulses are a kind of electrical energy	nongold
87	closing an electric circuit causes an electrical device to function	nongold
88	an instrument is a piece of equipment	nongold
89	different is the opposite of the same	nongold
90	if something is powered by something else then that something requires a source of that something else	nongold
91	a wire is a part of an electrical circuit for conducting electricity	nongold
92	to illuminate means to light up	nongold
93	a reaction is a kind of process	nongold
94	a magnet is a kind of object	nongold
95	to turn means to change	nongold
96	emit means produce	nongold
97	to generate means to form	nongold
98	electricity is made of moving charges; moving charged particles	nongold
99	increase means more	nongold
