Question	What is a source of food and growth for a mushroom?	question
Answer	rotting organisms	answer
0	a mushroom is a kind of living thing	nongold
1	a mushroom is a kind of fungus	gold
2	a plant; living thing requires nutrients to grow	gold
3	a fungus is a kind of living thing	gold
4	an animal; living thing requires nutrients for survival	nongold
5	a plant; living thing requires food for survival	nongold
6	a source of something emits; produces; generates; provides that something	nongold
7	an organism is a living thing	nongold
8	a fungus is a kind of organism	nongold
9	a food contains nutrients for living things	gold
10	decomposition is when a decomposer recycles; returns nutrients; nitrogen from dead organisms to the soil by eating those dead organisms	nongold
11	an animal is a kind of living thing	nongold
12	decay has a negative impact on a thing	nongold
13	dead organisms rot	gold
14	dead organisms decay	nongold
15	to decompose means to decay	nongold
16	an animal is a kind of organism	nongold
17	if something requires something else then that something requires a source of that something else	nongold
18	a plant is a kind of living thing	nongold
19	all living things grow	nongold
20	decomposition is when a decomposer breaks down dead organisms	gold
21	living things eat their food source	nongold
22	an animal needs to eat food for nutrients	nongold
23	mold is a kind of fungus	nongold
24	bacteria; molds; yeast cause food to spoil	nongold
25	a plant is a kind of organism	nongold
26	to provide something means to be the source of that something	nongold
27	dead plants means dead plant material	nongold
28	killing means harming something causing death	nongold
29	if a living thing requires something then that something has a positive impact on that living thing	nongold
30	if an organism eats something then that something is a source of frood to that organism	nongold
31	if a living thing dies then that living thing is dead	nongold
32	to be used for something means to be required by that something	nongold
33	a plant requires photosynthesis to grow; survive	nongold
34	an object; material; substance comes from that object or material's source	nongold
35	life means living things	nongold
36	decomposition increases the  amount of nutrients; nitrogen in the soil	nongold
37	decomposition is a kind of process	nongold
38	a living thing is a kind of object	nongold
39	food is what an animal eats	nongold
40	fungi absorb nutrients from decaying tissue	nongold
41	remains mean parts of a dead organism	nongold
42	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
43	dead organisms are a source of disease	nongold
44	growth is a kind of process	nongold
45	remains is similar to dead organisms	nongold
46	death means to die	nongold
47	if something comes from something else then that something else is a source of that something	nongold
48	an organism is a source of organic matter	nongold
49	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
50	decomposition  increases amount of organic matter in soil	nongold
51	where something  comes from is a source of that something	nongold
52	dead organisms are a kind of waste	nongold
53	if a plant dies then that plant will not produce food	nongold
54	a fungus is a kind of eukaryote	nongold
55	to depend on; to rely on; to need means to require	nongold
56	organisms mean life	nongold
57	organisms are a part of an environment	nongold
58	harming an organism can cause that organism to die	nongold
59	growth means size;number;value;strength increases	nongold
60	a supply of something is a source of that something	nongold
61	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
62	if something causes a process then that something is required for that process	nongold
63	burning a living thing usually causes harm to that living thing	nongold
64	an organism is made of organic matter	nongold
65	a plants; living things require water for survival; to grow	nongold
66	to eat means to consume food	nongold
67	nonliving; non-living; die is the opposite of living; alive; live	nongold
68	an organism requires energy for growth; repair	nongold
69	destroying something causes harm to that something	nongold
70	growing is a kind of process	nongold
71	a source of something increases the amount of that something	nongold
72	to digest means to break down food	nongold
73	answering questions requires information	nongold
74	to be a source of something means to cause that something	nongold
75	harming something has a  negative impact on; effect on that something	nongold
76	food is a kind of substance	nongold
77	forming is similar to growing	nongold
78	crumble means break down	nongold
79	growth is a kind of change	nongold
80	to be formed by is similar to being produced by	nongold
81	if an organism makes food for itself then that organism does not need to eat other organisms	nongold
82	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
83	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
84	if something is required for a process then that something positively impacts that process	nongold
85	vegetation means plants	nongold
86	developing means growing	nongold
87	if something is made of something; a material then that something contains that something; that material	nongold
88	once-living means dead	nongold
89	dying is the opposite of living; surviving	nongold
90	a source of something supplies that something	nongold
91	material means substance	nongold
92	loss is similar to removal	nongold
93	an paramecium is a kind of organism	nongold
94	killing means changing a living thing from alive to dead by harming	nongold
95	remove means decrease	nongold
96	plant and animal matter means organic matter	nongold
97	food contains carbohydrates	nongold
98	requiring something means needing that something	nongold
99	high is similar to increase	nongold
