Question	Heavy rains cause flooding in a valley. Which animals would most likely thrive?	question
Answer	otters	answer
0	heavy rains cause flooding	gold
1	rainfall means precipitation	nongold
2	an otter is a kind of aquatic animal	gold
3	an aquatic animal; aquatic plant requires great amounts of water to survive; thrive	gold
4	rain is a kind of precipitation	nongold
5	rain is a kind of water	nongold
6	a valley is formed by a river flowing	nongold
7	when a body of water receives more water than it can hold , a flood occurs	gold
8	flooding decreases the availability of food	nongold
9	an animal is a kind of living thing	nongold
10	storms;rain cause bodies of water to increase amount of water they contain	nongold
11	an animal; living thing requires nutrients for survival	nongold
12	rainy means often raining	nongold
13	flooding is a kind of change	nongold
14	aquatic animal means water animal	nongold
15	valley is located between mountains; hills	nongold
16	valley is a kind of location	nongold
17	rain is a source of water	nongold
18	an aquatic animal is a kind of animal	nongold
19	rainfall means the amount of precipitation	nongold
20	animals; living things require water for survival	nongold
21	an animal is a kind of organism	nongold
22	aquatic animals; plants live in bodies of water	gold
23	precipitation is when water falls from the sky	nongold
24	rain causes erosion	nongold
25	precipitation is a kind of natural occurrence; cause	nongold
26	when a river floods , that river deposits soil; sediment in flood plains	nongold
27	an organism is a living thing	nongold
28	a canyon is a very deep valley	nongold
29	rainstorm means rain storm	nongold
30	if an animal cannot fly; climb then that animal will be more affected by a flood	nongold
31	a river is a kind of flowing body of water	nongold
32	precipitation is when rain;snow;hail fall from clouds to the Earth;ground	nongold
33	an animal requires a habitat for survival	nongold
34	a plant; living thing requires food for survival	nongold
35	an environment means an area	nongold
36	rainfall is the amount of rain an area receives	nongold
37	runoff is a kind of water	nongold
38	an environment is similar to an ecosystem	nongold
39	rain; snow falls	nongold
40	amount of water in a body of water increases by storms; rain; glaciers melting; snow melting; ice melting	nongold
41	precipitation is a kind of weather	nongold
42	flood plains are located near rivers	nongold
43	as the amount of rainfall increases in an area , the amount of available water in that area will increase	nongold
44	life means living things	nongold
45	often is similar to likely	nongold
46	a body of water is a kind of environment	nongold
47	water is a part of an environment	nongold
48	to lower means to decrease	nongold
49	organisms are a part of an environment	nongold
50	a rain forest is a kind of forest	nongold
51	as water increases in an environment , the population of aquatic animals will increase	nongold
52	raining is when rain falls from clouds to the Earth;ground as a liquid	nongold
53	harming an animal species causes that animal's population to decrease	nongold
54	humans changing ecosystems;environments usually has a  negative impact on an ecosystem; organisms living in an ecosystem	nongold
55	as elevation of a place decreases , how much a flood will affect that place will increases	nongold
56	an animal is a member of an animal species	nongold
57	if a living thing requires something then that something has a positive impact on that living thing	nongold
58	wind and rain; storms cause erosion	nongold
59	carnivores; omnivores; herbivores are a kind of animal	nongold
60	a plant is a kind of living thing	nongold
61	a plant is a kind of organism	nongold
62	a population is made of one type of organism in an area	nongold
63	a human is a kind of animal	nongold
64	to reduce means to decrease	nongold
65	an area receiving rain means rain falling in that area	nongold
66	a living thing is a kind of object	nongold
67	rainy is a kind of weather	nongold
68	an ecosystem contains a large community of; large numbers of living organisms	nongold
69	An example of an environment is a forest; a river; a grassland; an ocean	nongold
70	high is similar to increase	nongold
71	an ecosystem is a kind of habitat	nongold
72	a canyon is a kind of place	nongold
73	survive means live	nongold
74	survive means live	nongold
75	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
76	habitat is similar to environment	nongold
77	animals; living things live and feed in their habitats; near their habitats	nongold
78	a stream is a kind of body of water	nongold
79	a mammal is a kind of animal	nongold
80	an increase is the opposite of a decrease	nongold
81	runoff is when cropland water enters; runs off into bodies of water	nongold
82	changes in an environment cause animals; plants to adapt to survive	nongold
83	precipitation is a property of weather	nongold
84	precipitation is a kind of  natural process	nongold
85	an environment is a kind of place	nongold
86	increase means more	nongold
87	vegetation means plants	nongold
88	a plant requires a habitat for survival	nongold
89	nonliving; non-living; die is the opposite of living; alive; live	nongold
90	a plants; living things require water for survival; to grow	nongold
91	death means to die	nongold
92	answering questions requires information	nongold
93	loss means reduction	nongold
94	low pressure systems cause precipitation	nongold
95	a region is similar to an environment	nongold
96	a canyon forming occurs over a period of millions of years	nongold
97	valley quail are a kind of quail	nongold
98	predators; carnivores; omnivores eat other animals	nongold
99	a forest is a kind of environment	nongold
