Question	Many birds fly south for the winter. This adaptation is called	question
Answer	migration	answer
0	An example of migration is birds flying south in the winter	gold
1	migration is when animals move themselves from a cooler climate to a warmer climate for the winter	gold
2	migration is a kind of adaptation	gold
3	An example of an adaptation is moving fast	nongold
4	an adaptation is a kind of change	nongold
5	flying is a kind of motion through air; space	gold
6	an adaptation is a kind of characteristic	nongold
7	migration is a kind of behavior	nongold
8	An example of migration is moving to a warmer climate in the winter	nongold
9	south; southward is a kind of direction	gold
10	adapting is when a living thing responds to a change in an environment	nongold
11	an adaptation is an adaptive feature	nongold
12	summer is a kind of season	nongold
13	adaptations are used for survival	nongold
14	flying is a kind of locomotion	nongold
15	travel means to move	nongold
16	motion is when moves an object; something to a direction	gold
17	winter is a kind of season	nongold
18	north; northward is a kind of direction	nongold
19	migration is when animals move to different locations in an annual cycle	gold
20	winter is a part of the year	nongold
21	motion; movement means moving; to move	nongold
22	an adaptation  is  a change in a population over successive generations that  helps  individuals organisms in that population to  survive; reproduce	nongold
23	An example of an adaptation for flight in birds is feathers; wings; hollow bones	nongold
24	Physical adaptation; structural adaptation is a physical  change in a population over successive generations that  helps individual organisms in that population to  survive; reproduce	nongold
25	a bird is a kind of animal	gold
26	adult birds usually fly	nongold
27	moving is similar to travelling	nongold
28	adaptation is when an organism develops a trait over time for survival	nongold
29	returning is a kind of movement	nongold
30	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
31	a motion is a kind of event; action	nongold
32	arrival is a kind of movement	nongold
33	a bird is a kind of living thing	nongold
34	every summer  is a kind of period of time	nongold
35	summer is when a hemisphere is tilted towards the sun	nongold
36	nest building is a kind of adaptation	nongold
37	winter is when a hemisphere is tilted away from the sun	nongold
38	winter means environmental; outdoor temperature decreases	nongold
39	well-suited is similar to adapted	nongold
40	Behavioral adaptation is a behavioral change in a population over successive generations that  helps individual organisms in that population to  survive; reproduce	nongold
41	summer has hot temperatures; weather	nongold
42	an animal requires warmth for survival	nongold
43	movement is a kind of change	nongold
44	setting is a kind of motion	nongold
45	each season occurs once per year	nongold
46	returning is similar to bringing	nongold
47	annual means once per year	nongold
48	An example of a seasonal change; adaptation is plants dying;  becoming dormant in the winter	nongold
49	many means high in number	nongold
50	winter in a hemisphere occurs when the Pole located in that hemisphere is tilted away from the Sun	nongold
51	An example of an adaptation is a  cactus spine	nongold
52	winter has cold temperatures;weather	nongold
53	an animal is a kind of living thing	nongold
54	answering questions requires information	nongold
55	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
56	high is similar to increase	nongold
57	migration is an instinctive behavior	nongold
58	adapt is similar to evolve	nongold
59	north is the opposite of south	nongold
60	life means living things	nongold
61	Autumn is a kind of season	nongold
62	furthest; farthest means greatest; most; highest in distance	nongold
63	winter in the Southern Hemisphere is during the summer in the Nouthern Hemisphere	nongold
64	far means great in distance	nongold
65	an increase is the opposite of a decrease	nongold
66	summer follows spring	nongold
67	spring follows winter	nongold
68	spring is a kind of season	nongold
69	changes in an environment cause animals; plants to adapt to survive	nongold
70	winter in the Northern Hemisphere is during the summer in the Southern Hemisphere	nongold
71	an animal is a kind of organism	nongold
72	an animal requires energy to move	nongold
73	floating on water is a kind of adaptation	nongold
74	to pass means to travel	nongold
75	an increase is a kind of change	nongold
76	low is similar to decrease	nongold
77	an animal is a member of an animal species	nongold
78	leaving is a kind of movement	nongold
79	to depend on; to rely on; to need means to require	nongold
80	animals adapt to their environment	nongold
81	an organism is a living thing	nongold
82	keeping means staying	nongold
83	an animal usually requires a warm body temperature for survival	nongold
84	requiring something means needing that something	nongold
85	to add means to increase	nongold
86	an event is a kind of action	nongold
87	survival means to survive	nongold
88	affected means changed	nongold
89	to be used for something means to be required by that something	nongold
90	storing water is a kind of adaptation	nongold
91	requiring is similar to needing help	nongold
92	to cause is similar to bring	nongold
93	staying means not changing	nongold
94	away is a kind of direction	nongold
95	a living thing is a kind of object	nongold
96	locomotion means movement	nongold
97	increase means more	nongold
98	live is similar to stay	nongold
99	an animal; living thing requires nutrients for survival	nongold
