Question	The energy obtained from food is measured in units called	question
Answer	Calories	answer
0	calories ( cal ) are a  metric unit used for measuring the amount of energy in food generally used for values between 1.0 and 10000.0	gold
1	if an object is a source of something for something else then that something else can obtain that something from that object	nongold
2	obtain is similar to receive	nongold
3	solar energy is a kind of energy	nongold
4	heat is a kind of energy	nongold
5	a source of something emits; produces; generates; provides that something	nongold
6	food is a source of energy for animals; plants	nongold
7	a food contains nutrients for living things	nongold
8	glucose is a kind of substance	nongold
9	nutrients are a source of energy for living things	nongold
10	a nutrient is a kind of object	nongold
11	food is a kind of chemical energy	gold
12	property is similar to measurement	nongold
13	solar energy is a kind of heat energy	nongold
14	to gain means to obtain	nongold
15	heat means heat energy	nongold
16	nutrients are a kind of substance	nongold
17	to be used for something means to be required by that something	nongold
18	temperature is a measure of heat energy	nongold
19	food contains carbohydrates	nongold
20	nutrients are a kind of matter	nongold
21	food is a kind of substance	nongold
22	a nutrient is a kind of chemical compound	nongold
23	sugar is a kind of food	nongold
24	a meter is a kind of unit for measuring distance; measuring length	nongold
25	chemical energy is a kind of energy	nongold
26	meters ( m ) are a  metric; SI unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
27	a vegetable is a kind of food	nongold
28	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
29	sunlight is a kind of solar energy	nongold
30	an increase is a kind of change	nongold
31	unit is similar to part	nongold
32	nitrogen is a kind of nutrient for plant growth	nongold
33	to eat means to consume food	nongold
34	where something  comes from is a source of that something	nongold
35	if something gains something from something else then that something else is a source of that something	nongold
36	absorbing is similar to obtaining	nongold
37	high is similar to increase	nongold
38	a unit for measuring time is a kind of time interval	nongold
39	light is a kind of energy	nongold
40	light is a kind of energy	nongold
41	cellular respiration is when cells break down; extract energy from food to produce energy	nongold
42	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
43	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
44	sugar is a kind of  simple carbohydrate	nongold
45	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
46	a producer is a source of sugar; food energy in an ecosystem	nongold
47	a vegetable is a kind of plant	nongold
48	to add means to increase	nongold
49	an object; material; substance comes from that object or material's source	nongold
50	seconds are a kind of unit for measuring time	nongold
51	metabolism is the sum of all chemical reactions in an animal's body	nongold
52	calculation means measurement	nongold
53	if something is a raw material then that something comes directly from a source	nongold
54	measuring requires reading a measurement	nongold
55	converting is similar to producing	nongold
56	temperature is a measure of kinetic energy of molecules	nongold
57	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
58	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
59	chemical energy is a kind of potential energy	nongold
60	provide is similar to give; make	nongold
61	food is what an animal eats	nongold
62	to create means to make	nongold
63	an animal is a kind of living thing	nongold
64	to provide something means to be the source of that something	nongold
65	to produce means to create	nongold
66	a producer is a source of energy for consumers	nongold
67	a carbohydrate is a kind of compound	nongold
68	if something transfers something else then that something is a source of something else	nongold
69	emit means produce	nongold
70	sugar is a kind of pure substance	nongold
71	solar energy is a kind of light	nongold
72	digestion is when food is absorbed into the blood stream	nongold
73	if something comes from something else then that something else is a source of that something	nongold
74	carbohydrates are a vehicle for storing;transporting energy	nongold
75	make means produce	nongold
76	a producer produces its own food	nongold
77	food is a kind of resource	nongold
78	carbohydrates are made of sugars	nongold
79	if something is a raw material in a process then that something is required for that process	nongold
80	synthesize means to make	nongold
81	a process is a kind of event	nongold
82	an animal needs to eat food for nutrients	nongold
83	increase means more	nongold
84	nutrients are a kind of resource	nongold
85	a producer is a kind of living thing	nongold
86	a ratio is a measure of one measure over another measure; divided by another measure	nongold
87	a source of something increases the amount of that something	nongold
88	sugar is a kind of solid	nongold
89	food is a kind of object	nongold
90	nutrients are a kind of material	nongold
91	to produce means to provide	nongold
92	if something is given off of something , then something is the product of something	nongold
93	products are formed; are produced; are created	nongold
94	photosynthesis is a kind of chemical reaction	nongold
95	if something emits something else then that something increases the amount of that something else	nongold
96	a supply of something is a source of that something	nongold
97	synthesis means to make	nongold
98	a ratio is a measure of  one value divided by another value	nongold
99	centimeters ( cm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 250.0	nongold
