Question	Eating leafy vegetables is important for human health. This is because leafy vegetables are a good source of which of the following?	question
Answer	minerals	answer
0	leafy vegetables are a good source of minerals	gold
1	to be good for means to have a positive impact on	nongold
2	if something has a positive impact on something else then that something is important to that something else	nongold
3	if something requires something else then that something else is important to that something	nongold
4	some minerals are nutrients	gold
5	a vegetable is a kind of food	nongold
6	an animal needs to eat food for nutrients	nongold
7	good means positive	nongold
8	a vegetable is a kind of plant	nongold
9	a food contains nutrients for living things	nongold
10	a plant; living thing requires food for survival	nongold
11	living things eat their food source	nongold
12	an animal; living thing requires nutrients for survival	nongold
13	better means good	nongold
14	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
15	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
16	if something requires something else then that something requires a source of that something else	nongold
17	a leaf is a kind of plant	nongold
18	food is what an animal eats	nongold
19	a source of something emits; produces; generates; provides that something	nongold
20	having food has a positive impact on an organism's health	nongold
21	a human is a kind of animal	gold
22	a leaf is a part of a  green plant	nongold
23	to eat means to consume food	nongold
24	helping something has a  positive impact on that something	nongold
25	a mineral is a kind of solid; natural material	nongold
26	to depend on; to rely on; to need means to require	nongold
27	a plant is a kind of living thing	nongold
28	a source of something increases the amount of that something	nongold
29	an animal requires enough nutrients to maintain good health; survive	gold
30	if something comes from something else then that something else is a source of that something	nongold
31	an animal is a kind of living thing	nongold
32	diet means what an animal eats	nongold
33	a plants; living things require water for survival; to grow	nongold
34	if a living thing requires something then that something has a positive impact on that living thing	nongold
35	eating something decreases the amount of that something	nongold
36	requiring is similar to needing help	nongold
37	where something  comes from is a source of that something	nongold
38	a plant is a kind of organism	nongold
39	an organism is a living thing	nongold
40	poor health;bad health;unhealthy is the opposite of good health;healthy	nongold
41	an object; material; substance comes from that object or material's source	nongold
42	best means most positive	nongold
43	an organism is a source of organic matter	nongold
44	high is similar to increase	nongold
45	an animal is a kind of organism	nongold
46	minerals are a nonrenewable resource	nongold
47	food contains carbohydrates	nongold
48	if something transfers something else then that something is a source of something else	nongold
49	green plants are a kind of producer	nongold
50	human is a kind of organism	nongold
51	if an organism eats something then that something is a source of frood to that organism	nongold
52	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
53	plant and animal matter means organic matter	nongold
54	role is similar to importance	nongold
55	a positive impact is  a benefit	nongold
56	a plant; living thing requires nutrients to grow	nongold
57	nutrients are a kind of substance	nongold
58	having a positive impact on health; survival is synonymous with helping to keep healthy	nongold
59	a leaf performs photosynthesis; gas exchange	nongold
60	if an organism makes food for itself then that organism does not need to eat other organisms	nongold
61	all elements are a kind of pure substance	nongold
62	substances are made of elements	nongold
63	an organism is a source of organic material	nongold
64	high quality; rich; good soil has a high number of nutrients; amount of nitrogen	nongold
65	having a variety of foods available has a positive impact on people's lives	nongold
66	made up of means contains; made of	nongold
67	person is synonymous with human	nongold
68	arteries; veins transport nutrients; water; minerals throughout the body	nongold
69	plants are a part of the environment	nongold
70	decreasing something negative has a positive impact on a thing	nongold
71	an organism is made of organic matter	nongold
72	if something is a source of something else then that something usually contains that something else	nongold
73	a leaf is a part of a tree	nongold
74	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
75	beneficial means helpful	nongold
76	life means living things	nongold
77	to help; to benefit means to be of use	nongold
78	to be a source of something means to cause that something	nongold
79	good bacteria have a positive impact on a living thing's survival; health	nongold
80	food is a kind of substance	nongold
81	a mineral is a kind of object	nongold
82	a person is a kind of animal	nongold
83	composed of means made of	nongold
84	animals; living things require water for survival	nongold
85	a component means a part of	nongold
86	if something is made of something; a material then that something contains that something; that material	nongold
87	a leaf is a kind of plant organ	nongold
88	special tissues in plants transport food; water; minerals throughout the plant	nongold
89	humans eat crops	nongold
90	dying is the opposite of living; surviving	nongold
91	to lower means to decrease	nongold
92	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
93	if a source of food is unhealthy then the organism consuming that food will be unhealthy	nongold
94	an organism eating is a kind of action	nongold
95	if something causes something else then that something else depends on that something	nongold
96	herbivores only eat plants	nongold
97	if something has a positive impact on health then that something can help to maintain good health	nongold
98	made of is similar to contains	nongold
99	a supply of something is a source of that something	nongold
