Question	Which action causes a chemical change?	question
Answer	leaves being burned in a fire	answer
0	combustion is a kind of chemical change	nongold
1	fire causes burning	gold
2	to combust means to catch fire	nongold
3	burning is a kind of action	gold
4	chemical reactions cause chemical change	gold
5	action can cause change	nongold
6	putting out a fire stops the burning of that fire	nongold
7	a fire requires  oxygen to burn	nongold
8	combustion means fire converts chemical energy into light energy and heat energy	nongold
9	burning a living thing usually causes harm to that living thing	nongold
10	fire is a kind of chemical reaction	gold
11	a flame are a part of a fire	nongold
12	acid can cause chemical change	nongold
13	chemical change is a kind of chemical reaction	nongold
14	an event is a kind of action	nongold
15	a leaf is a kind of plant	nongold
16	An example of combustion is explosion	nongold
17	fire destroys plants in an environment	nongold
18	a leaf performs photosynthesis; gas exchange	nongold
19	fire causes harm to trees; to forests; to living things	nongold
20	chemicals means substances	nongold
21	a forest fire is a kind of event	nongold
22	combustion is a kind of exergonic reaction	nongold
23	a wildfire is a kind of natural disaster	nongold
24	to change means to cause a change	nongold
25	a chemical reaction producing a lot of gas and heat in a short time causes an explosion	nongold
26	a leaf is a part of a tree	nongold
27	if a living thing dies then that living thing is dead	nongold
28	wildfire is when a forest catches fire	nongold
29	a leaf is a part of a  green plant	nongold
30	death means to die	nongold
31	wood burns	nongold
32	chemical reactions cause new substances; different substances to form	nongold
33	wildfire means forest fire	nongold
34	a leaf is a kind of object	nongold
35	a campfire is a kind of fire	nongold
36	fire gives off light; heat; smoke	nongold
37	high temperatures can cause an object to combust	nongold
38	a change is a kind of event	nongold
39	a  gas is a kind of  element	nongold
40	a wildfire occurs over a period of days	nongold
41	if a leaf falls off of a tree then that leaf is dead	nongold
42	combustion is a kind of activity	nongold
43	gas is a kind of substance	nongold
44	to be a source of something means to cause that something	nongold
45	a chemical reaction is a kind of process	nongold
46	sulfur dioxide is formed by the combustion of fossil fuels	nongold
47	damage has a negative impact on a thing	nongold
48	combining; mixing two substances chemically causes chemical reactions	nongold
49	oxygen is a kind of gas at room temperature	nongold
50	destroying something causes harm to that something	nongold
51	adding heat to an object sometimes causes chemical reactions	nongold
52	if an object undergoes chemical change then that object will have new chemical properties	nongold
53	compound is a kind of chemical	nongold
54	a tree is a kind of plant	nongold
55	as the oxygen a fire is exposed to increases the longer that fire will burn	nongold
56	vapor is synonymous with gas	nongold
57	chemical reaction means chemical bonds change	nongold
58	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
59	a wildfire changes an ecosystem drastically	nongold
60	carbon dioxide is a kind of gas	nongold
61	rust forming is a kind of chemical change	nongold
62	a compound can be chemically separated into the elements that it is made of	nongold
63	chemical reactions can cause gas to be released into the atmosphere	nongold
64	chemical change is the opposite of physical change	nongold
65	a process is a kind of event	nongold
66	substances have chemical properties	nongold
67	to give off means to be the source of	nongold
68	smoke is similar to dust; ash	nongold
69	a hydrocarbon molecule is made of hydrogen and carbon by being chemically combined	nongold
70	chemical reactions releasing new substances means chemical reactions forming new substances	nongold
71	if an organism dies then that organism can not perform its function	nongold
72	chlorine is a kind of element	nongold
73	forming is a kind of action	nongold
74	something being destroyed means that something no longer exists	nongold
75	a compound is made of two or more elements that have been chemically combined	nongold
76	a source of something emits; produces; generates; provides that something	nongold
77	In a chemical reaction reactants have the role of molecules; substances that chemically combine	nongold
78	to cause an event is similar to being involved in that event	nongold
79	gases from burning coal and oil dissolving in water in the atmosphere causes acid rain	nongold
80	carbon is a kind of element	nongold
81	harming something has a  negative impact on; effect on that something	nongold
82	gas is a kind of state of matter	nongold
83	combustibility means the ability of combustion	nongold
84	An example of a chemical property is how a material reacts chemically	nongold
85	cooking causes a chemical reaction	nongold
86	sulfur is a kind of element	nongold
87	an element is a kind of  substance	nongold
88	a tree contains wood	nongold
89	lighting a candle causes that candle to burn	nongold
90	a chemical compound is a kind of compound	nongold
91	chlorine is a kind of green, poisonous gas	nongold
92	photosynthesis is a kind of chemical reaction	nongold
93	natural gas is used for cooking food by burning	nongold
94	being buried under soil and mud changes dead plant matter; dead animal matter into oil; natural gas through extreme heat and pressure at the bottom of the sea over a long period of time	nongold
95	iron sulfide is made of iron and sulfur	nongold
96	a reaction is a kind of process	nongold
97	sodium is a kind of element	nongold
98	hydrogen is a kind of gas at room temperature	nongold
99	dead plants means dead plant material	nongold
