Question	Which of these resources is renewable?	question
Answer	wind	answer
0	wind is a renewable; inexhaustible resource	gold
1	fossil fuels are a nonrenewable resource	nongold
2	a renewable resource is a kind of natural resource	nongold
3	oil is a nonrenewable resource	gold
4	natural gas is a nonrenewable resource	gold
5	tidal energy is a renewable resource	nongold
6	wind is a source of energy	nongold
7	solar energy is a renewable; inexhaustible resource	nongold
8	fossil fuels are a kind of energy resource	nongold
9	a renewable resource is a kind of naturally replaced resource	nongold
10	renewable is the opposite of nonrenewable	gold
11	a fossil fuel is a kind of natural resource	nongold
12	renewable resources are often available for many years	nongold
13	oil is a kind of energy resource	nongold
14	hydropower is a kind of alternative energy resource	nongold
15	an inexhaustible resource is a kind of renewable resource	nongold
16	natural gas is a kind of fossil fuel	nongold
17	a renewable resource can be renewed	nongold
18	oil is a kind of fossil fuel	nongold
19	a process is a kind of event	nongold
20	petroleum is a kind of fossil fuel	nongold
21	an event is a kind of action	nongold
22	water is a renewable resource	nongold
23	an energy source is a kind of resource	nongold
24	alternative fuel is usually a renewable resource	nongold
25	tidal energy is a kind of alternative energy resource	nongold
26	a source of something emits; produces; generates; provides that something	nongold
27	nonrenewable resources forming occurs over a period of 300000000 years which is considered a  very long time to a human	nongold
28	hydroelectric power is a renewable resource	nongold
29	oil is a source of energy	nongold
30	resources sometimes are used for energy	nongold
31	a natural resource is a kind of environmental factor	nongold
32	a renewable resource can be replaced	nongold
33	answering questions requires information	nongold
34	oceans are a part of the hydrosphere on earth	nongold
35	coal is a nonrenewable resource	nongold
36	a nonrenewable resource is limited in supply	nongold
37	fossil fuels have high potential energy	nongold
38	hydropower means hydroelectric power	nongold
39	nature is the source of natural resources	nongold
40	geothermal energy is a renewable resource	nongold
41	natural resources are found in nature	nongold
42	producing renewable electric energy requires renewable resources	nongold
43	to depend on; to rely on; to need means to require	nongold
44	if something releases something else then that something is the source of that something else	nongold
45	hydroelectric power is a kind of natural resource	nongold
46	if something requires something else then that something requires a source of that something else	nongold
47	renewable resources can be used over again	nongold
48	an ocean is a kind of body of water	nongold
49	a wind turbine is a kind of windmill	nongold
50	minerals are a nonrenewable resource	nongold
51	if something is powered by something else then that something requires a source of that something else	nongold
52	a change is a kind of event	nongold
53	wave energy is a renewable resource	nongold
54	a biofuel is a kind of alternative energy resource	nongold
55	if something gains something from something else then that something else is a source of that something	nongold
56	sea means ocean	nongold
57	largest amount means most	nongold
58	uranium is a kind of energy resource	nongold
59	affected means changed	nongold
60	water is a kind of natural resource	nongold
61	water is a kind of natural resource	nongold
62	biogas means biofuel	nongold
63	if something is a raw material in a process then that something is required for that process	nongold
64	greatest means largest; highest; most amount of something	nongold
65	most means over 50% of something	nongold
66	emit means produce	nongold
67	to provide something means to be the source of that something	nongold
68	using renewable resources to generate power reduces greenhouse gases	nongold
69	a part of a process means a stage in a process	nongold
70	can be means able to be	nongold
71	fuel is a kind of energy source	nongold
72	annual means once per year	nongold
73	a component of something means a part of that something	nongold
74	a windmill converts wind energy into electrical energy; electricity primarily by using mechanical energy	nongold
75	coal; uranium is acquired by mining the lithosphere	nongold
76	if something comes from something else then that something else is a source of that something	nongold
77	generate means produce	nongold
78	solar energy is an inexhaustible resource	nongold
79	recycling resources; nonrenewable resources has a  positive impact on the environment; conservation of those resources	nongold
80	if something is a raw material then that something comes directly from a source	nongold
81	plants are a kind of resource	nongold
82	fuel is a source of energy	nongold
83	high is similar to increase	nongold
84	to power means to provide energy for	nongold
85	a producer is a source of energy for consumers	nongold
86	to be used for something means to be required by that something	nongold
87	oceans contains most of  earth's water	nongold
88	both means two	nongold
89	an object; material; substance comes from that object or material's source	nongold
90	solar power means solar energy	nongold
91	windmills require high wind force to generate electricity	nongold
92	coal is a kind of fossil fuel	nongold
93	to add means to increase	nongold
94	metal is a nonrenewable resource	nongold
95	change is a kind of process	nongold
96	biomass is a renewable resource	nongold
97	action means activity	nongold
98	if something causes a process then that something is required for that process	nongold
99	windy means high wind speeds	nongold
