Question	Repeating experiments improves the likelihood of accurate results because the overall results are	question
Answer	more likely to be correct due to fewer errors being made.	answer
0	if an experiment is repeated then the results are more likely to be correct due to fewer errors being made	gold
1	comparing data increases; improves the likelihood of obtaining accurate experiment results	nongold
2	to improve the chances means to increase the likelihood	nongold
3	to repeat an experiment means to perform multiple trials of the same experiment	nongold
4	repeating the same experiment can be used for comparing  data	nongold
5	performing multiple trials of the same experiment increases the likelihood of obtaining accurate experiment results	nongold
6	more likely means increased likelihood	nongold
7	chance means likelihood	nongold
8	to improve means to have a positive impact	nongold
9	likelihood is simiar to probability	nongold
10	observations; data are a part of the results of an experiment	nongold
11	less is the opposite of more	nongold
12	experiment is synonymous with test	nongold
13	less is similar to decrease	nongold
14	result means outcome	nongold
15	fewer means lower; less in number	nongold
16	experimentation requires measuring	nongold
17	increase means more	nongold
18	an increase is the opposite of a decrease	nongold
19	trial is synonymous with test	nongold
20	bias can cause error in an experiment	nongold
21	greater means higher; more in value	nongold
22	analyzing all results has a  positive impact on the effort to remain objective during experiments	nongold
23	high is similar to increase	nongold
24	to impact means to affect	nongold
25	due to means caused by	nongold
26	little is similar to decrease	nongold
27	low is similar to decrease	nongold
28	lower means less	nongold
29	often is similar to likely	nongold
30	to cause an event means to make that event more likely	nongold
31	to advance means to improve	nongold
32	consistent means constant	nongold
33	100% probability means always	nongold
34	investigation sometimes requires experimentation	nongold
35	if an amount of objects decreases then those objects are fewer in number	nongold
36	a human is a kind of animal	nongold
37	less means a reduced amount	nongold
38	an increase is a kind of change	nongold
39	to produce means to result in	nongold
40	determining is similar to learning	nongold
41	answering questions requires information	nongold
42	to cause means to make	nongold
43	to lower means to decrease	nongold
44	to cause means to result in	nongold
45	to reduce means to decrease	nongold
46	matter; materials; substances are made of atoms; particles	nongold
47	25% probability is similar to one in four	nongold
48	product means result	nongold
49	determining often requires measuring; observing	nongold
50	can be means able to be	nongold
51	low is the opposite of high	nongold
52	good means positive	nongold
53	impact means effect	nongold
54	affected means changed	nongold
55	consistent means usual	nongold
56	testing often requires measuring	nongold
57	to slow; to slow down decreases speed	nongold
58	an animal is a kind of organism	nongold
59	solution is similar to a positive impact	nongold
60	negative impact is the opposite of positive impact	nongold
61	a result of something is evidence of that something	nongold
62	an animal is a kind of living thing	nongold
63	a theory is more accepted; tested than a hypothesis	nongold
64	person is synonymous with human	nongold
65	learned behaviors are learned over the  lifetime of the animal	nongold
66	a source of something emits; produces; generates; provides that something	nongold
67	a learned characteristic is a kind of acquired characteristic	nongold
68	performing lab expiriments accurately requires reading; understanding all directions beforehand	nongold
69	definite is the opposite of variable	nongold
70	a decrease is a kind of change	nongold
71	scientists make observations	nongold
72	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
73	to add means to increase	nongold
74	a scientific inference is a kind of explanation based on facts that is not a direct observation	nongold
75	harming something has a  negative impact on; effect on that something	nongold
76	hypothesis means scientific guess about the cause and effect of an event	nongold
77	a negative impact is a kind of consequence; risk	nongold
78	a short wavelength has low; little distance before it repeats	nongold
79	trait is synonymous with characteristic	nongold
80	performing a task in less time; more quickly; faster has a positive impact on a person's life	nongold
81	a factor impacts something	nongold
82	too much is similar to increase	nongold
83	best means most positive	nongold
84	extreme means very high in value	nongold
85	to be good for means to have a positive impact on	nongold
86	the Periodic Table of Elements can be used for  predicting; determining the properties of an element	nongold
87	strong means high in strength	nongold
88	to pass means to occur	nongold
89	nucleotide is a kind of repeating unit in DNA	nongold
90	a particle is a kind of object	nongold
91	research is used for learning	nongold
92	a hypothesis is a kind of scientific term	nongold
93	making a valid conclusion in an investigation requires a testable hypothesis	nongold
94	human is similar to individual	nongold
95	weak means low in strength	nongold
96	events occur at a specific place; at a specific time; with a specific frequency	nongold
97	little means small	nongold
98	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
99	if an animal is trained to do something then that something is a learned behavior	nongold
