Question	A squid is an animal that lives in the ocean. It pumps a stream of water out of its body, causing it to move rapidly. Which of the following mechanical systems moves in a way most similar to the squid?	question
Answer	a rocket	answer
0	a rocket is a kind of mechanical system	gold
1	a rocket is a kind of object	nongold
2	a rocket is a kind of vehicle	gold
3	an aquatic animal is a kind of animal	nongold
4	an animal is a kind of living thing	nongold
5	an ocean is a kind of body of water	nongold
6	a living thing is a kind of object	nongold
7	a squid produces thrust by pushing water out of its body	gold
8	pumping water means removing water	nongold
9	ocean animal is similar to water animal	nongold
10	faster means an increase; higher in speed	nongold
11	aquatic animal means water animal	nongold
12	mechanical energy is used to move something by animals	nongold
13	mechanical energy can  cause objects to move	nongold
14	a stream is a kind of body of water	nongold
15	a rocket engine is used to move a rocket	gold
16	moving is similar to travelling	nongold
17	rapidly means quickly	nongold
18	flowing is a kind of motion	nongold
19	fast means quickly	nongold
20	motion; movement means moving; to move	nongold
21	the ocean system is a kind of system	nongold
22	an animal is a kind of organism	nongold
23	faster means increased rate	nongold
24	a deep sea animal is a kind of marine organism	nongold
25	An example of mechanical energy is an object in motion	nongold
26	quickly means in a short period of time	nongold
27	a fish is a kind of aquatic animal	nongold
28	a river is a kind of flowing body of water	nongold
29	an octopus is a kind of animal	nongold
30	if two things perform the same function then those two things are similar	nongold
31	an organism is a living thing	nongold
32	speed is a measure of how fast an object is moving	nongold
33	distance moved; distance travelled is a measure of how far an object moves	nongold
34	an animal requires energy to move	nongold
35	fins are a part of aquatic animals used for moving through water	nongold
36	flowing is a kind of action	nongold
37	a motion is a kind of event; action	nongold
38	a fish is a kind of animal	nongold
39	a mechanism is a kind of system that performs a function	nongold
40	sea means ocean	nongold
41	to slow; to slow down decreases speed	nongold
42	launching is a kind of motion	nongold
43	large fins can be used to move quickly through water	nongold
44	life means living things	nongold
45	underwater means below water	nongold
46	a body of water is a kind of environment	nongold
47	as an object moves faster , the kinetic energy of that object will increase	nongold
48	aquatic animals; plants live in bodies of water	nongold
49	a fish is a kind of scaled animal	nongold
50	fast is the opposite of slow	nongold
51	rate is similar to speed	nongold
52	kinetic energy is a kind of mechanical energy	nongold
53	mechanical energy of a system includes the sum of kinetic energy and potential energy  in the system	nongold
54	a fish lives in water	nongold
55	mechanical energy is a kind of energy	nongold
56	swimming is when humans; animals can move in water	nongold
57	water is a kind of object	nongold
58	pulling is a kind of motion	nongold
59	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
60	a body system is a kind of object	nongold
61	moving changes potential energy; stored energy into kinetic energy and heat energy	nongold
62	motion is a source of kinetic energy in an object	nongold
63	system means a set of objects	nongold
64	a living thing is made of cells	nongold
65	a human is a kind of animal	nongold
66	a landform is a kind of object	nongold
67	An example of an object with kinetic energy is an object in motion	nongold
68	changes potential energy into kinetic energy through motion	nongold
69	producing thrust causes something; an animal; an object to move	gold
70	an increase is a kind of change	nongold
71	water is a kind of liquid at room temperature	gold
72	heat means heat energy	nongold
73	water is a part of an environment	nongold
74	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
75	a crab is a kind of water animal	nongold
76	an ocean contains waves	nongold
77	speed is a property of an object and includes values of slow; fast	nongold
78	movement is a kind of change	nongold
79	high speed means fast	nongold
80	high is similar to increase	nongold
81	vibration is a kind of motion	nongold
82	a fish is a kind of predator	nongold
83	deep sea animals live deep in the ocean	nongold
84	a body of water contains water	nongold
85	if a living thing requires something then that something has a positive impact on that living thing	nongold
86	rotating is similar to moving	nongold
87	to flow is similar to to transfer	nongold
88	the body is a part of an organism	nongold
89	a body system is a part of the body; an animal	nongold
90	pushing is a kind of motion	nongold
91	an ocean is a kind of habitat	nongold
92	to add means to increase	nongold
93	revolving is a kind of motion	nongold
94	animals; living things require water for survival	nongold
95	variable means able to change	nongold
96	the body of an animal contains arteries; veins	nongold
97	water is a kind of matter	nongold
98	muscular movement helps animals move	nongold
99	travel means to move	nongold
