Question	Why are coal, oil, and natural gas called fossil fuels?	question
Answer	They formed from the remains of prehistoric plants and animals.	answer
0	fossil fuels; fossils are formed from dead organisms over time	gold
1	coal is a kind of fossil fuel	gold
2	fossil means preserved remains of ancient organisms	nongold
3	petroleum is a kind of fossil fuel	nongold
4	natural gas is a kind of fossil fuel	gold
5	oil is a kind of fossil fuel	gold
6	fossil fuels; fossils forming occurs over a period of 300000000 years which is considered a  very long time to a human	nongold
7	remains mean parts of a dead organism	gold
8	prehistoric means before 300000000 years ago	nongold
9	a fossil fuel is a kind of natural resource	nongold
10	coal is a kind of fuel	nongold
11	an animal is a kind of living thing	nongold
12	a plant is a kind of living thing	nongold
13	plants can be fossilized	nongold
14	a plant is a kind of organism	gold
15	an animal is a kind of organism	gold
16	forming coal; fossil fuels requires decaying vegetation	nongold
17	natural gas is formed by heat and pressure acting on the remains of prehistoric animals	nongold
18	remains is similar to dead organisms	nongold
19	natural gas is a nonrenewable resource	nongold
20	preserved means from the past; from long ago	nongold
21	to be made of something means to be formed of that something	nongold
22	carbon dioxide is a kind of gas	nongold
23	natural gas is a source of heat by burning	nongold
24	animals are a renewable resource	nongold
25	an organism is a living thing	nongold
26	fossil fuels are a nonrenewable resource	nongold
27	fossil fuels are a kind of energy resource	nongold
28	a producer is a kind of living thing	nongold
29	fossil fuel contains chemical energy	nongold
30	green plants are a kind of producer	nongold
31	a human is a kind of animal	nongold
32	to be formed by is similar to being produced by	nongold
33	to be formed means to be originated	nongold
34	natural gas is used for generating heat by burning in a furnace; in a stove	nongold
35	ancient means a long time in the past	nongold
36	products are formed; are produced; are created	nongold
37	natural gas is used for cooking food by burning	nongold
38	gas is a kind of substance	nongold
39	a renewable resource is a kind of natural resource	nongold
40	oil is a kind of substance; matter	nongold
41	An example of a fossil is the bones of an extinct animal	nongold
42	a  gas is a kind of  element	nongold
43	natural gas is used for generating electricity by burning in a power plant	nongold
44	coal is a nonrenewable resource	nongold
45	organisms are made of carbon	nongold
46	vegetation means plants	nongold
47	fossil fuels release carbon dioxide into the atmosphere	nongold
48	coal is used for generating heat by burning	nongold
49	if something comes from something else then that something else is a source of that something	nongold
50	if fossils of an animal or plant are found in a place then that animal or plant used to live in that place	nongold
51	being buried under soil and mud changes dead plant matter; dead animal matter into oil; natural gas through extreme heat and pressure at the bottom of the sea over a long period of time	nongold
52	gases released during the use of fossil fuels causes global warming	nongold
53	oil is a nonrenewable resource	nongold
54	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
55	organisms mean life	nongold
56	all elements are a kind of pure substance	nongold
57	high temperatures during fossil-fuel formation causes a higher percentage of natural gas to form	nongold
58	all living and nonliving materials are made of elements	nongold
59	powering is similar to fueling	nongold
60	composed of means made of	nongold
61	fossil fuels have high potential energy	nongold
62	dead plants means dead plant material	nongold
63	being buried under soil and mud changes peat into coal through extreme heat and pressure in a swamp over a long period of time	nongold
64	where something  comes from is a source of that something	nongold
65	nonrenewable resources forming occurs over a period of 300000000 years which is considered a  very long time to a human	nongold
66	to cause the formation of means to form	nongold
67	gas is a kind of material	nongold
68	a mammal is a kind of animal	nongold
69	an object; material; substance comes from that object or material's source	nongold
70	to make means to form	nongold
71	oil is a kind of energy resource	nongold
72	a source of something emits; produces; generates; provides that something	nongold
73	a plant; living thing requires food for survival	nongold
74	plant parts are made of plants	nongold
75	sulfur dioxide is formed by the combustion of fossil fuels	nongold
76	made up of means contains; made of	nongold
77	fossils are formed when layers of sediment cover the remains of organisms over time	nongold
78	fuel is a kind of energy source	nongold
79	a landform is a kind of natural formation	nongold
80	a fuel is used to make energy	nongold
81	oil is a source of gasoline	nongold
82	gasoline is a kind of fuel	nongold
83	a living thing is a kind of object	nongold
84	substances are made of elements	nongold
85	index fossils are formed from species that existed for a relatively short time	nongold
86	if something is a raw material then that something comes directly from a source	nongold
87	coal is a kind of object	nongold
88	petroleum is a source of raw material for the production of plastics	nongold
89	to be made of means to consist of	nongold
90	form means kind	nongold
91	oil is a kind of liquid	nongold
92	oil is a kind of liquid	nongold
93	coal is a kind of rock	nongold
94	if a substance is made of one element , then the substance is called an element	nongold
95	if something is made of something; a material then that something contains that something; that material	nongold
96	no longer means used to be	nongold
97	coal is used to produce electricity by burning in coal-fire power stations	nongold
98	becoming is similar to forming	nongold
99	composition means the (materials, substances) of which something is composed	nongold
