Question	Ice cream in a bowl changed from solid to liquid in a few minutes. Which of the following most likely caused this change?	question
Answer	Heat was added to the ice cream.	answer
0	ice cream is a kind of solid	gold
1	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	gold
2	ice is a kind of solid	nongold
3	heating means adding heat	nongold
4	adding heat means increasing temperature	nongold
5	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
6	temperature is a measure of heat energy	nongold
7	heat means heat energy	gold
8	melting is a kind of phase change	gold
9	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
10	temperature changing can cause phase changes	nongold
11	to change means to cause a change	nongold
12	heat means temperature increases	nongold
13	to add means to increase	nongold
14	a solid is a kind of substance	nongold
15	melting is when solids are heated above their melting point	nongold
16	ice is a kind of object	nongold
17	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
18	if heat is added to a substance then that substance absorbs that heat	nongold
19	a bowl is a kind of container	nongold
20	a phase change is a kind of physical change	nongold
21	a liquid is a kind of substance	nongold
22	adding something is a kind of change	nongold
23	ice is a kind of food	nongold
24	solid is a kind of state of matter	nongold
25	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
26	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
27	melting point means temperature at which a solid melts; above which a solid melts	nongold
28	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
29	an increase is a kind of change	nongold
30	heating is the opposite of cooling	nongold
31	water is a kind of liquid at room temperature	nongold
32	to convert means to change	nongold
33	warm; becoming warm means heat is added	nongold
34	liquid is a kind of state of matter	nongold
35	a container contains objects; material; substances	nongold
36	a container is a kind of object	nongold
37	affected means changed	nongold
38	frozen means solid	nongold
39	freezing is a kind of phase change	nongold
40	absorbing energy causes objects; materials; substances to heat	nongold
41	minutes are a kind of unit for measuring time	nongold
42	a decrease is a kind of change	nongold
43	if a container contains something then that container touches that something	nongold
44	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
45	an ice cube is a kind of solid	nongold
46	water is an thermal; thermal energy conductor	nongold
47	to be a source of something means to cause that something	nongold
48	boiling is when liquids are heated above their boiling point	nongold
49	objects are made of materials; substances; matter	nongold
50	to reduce means to decrease	nongold
51	boiling is a kind of phase change	nongold
52	water is a kind of substance	nongold
53	warm up means increase temperature	nongold
54	an ice cube is a kind of object	nongold
55	material means substance	nongold
56	milk is a kind of liquid at room temperature	nongold
57	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
58	heat means the transfer of thermal energy	nongold
59	ability to undergo a phase change is a property of a substance; material	nongold
60	if one surface; one substance; one object touches something then one is exposed to that something	nongold
61	if the component of something changed , then the whole thing will change	nongold
62	phase means state	nongold
63	cooling means temperature decreases	nongold
64	ice cube is made of ice	nongold
65	heat energy can change the state of matter	nongold
66	ice is cold in temperature	nongold
67	a source of something emits; produces; generates; provides that something	nongold
68	mass has no impact on boiling; melting; freezing point	nongold
69	a component means a part of	nongold
70	warm means medium heat energy; temperature	nongold
71	often is similar to likely	nongold
72	friction causes the temperature of an object to increase	nongold
73	conductivity is a property of a material; substance	nongold
74	if an object is made of a material then that object has the properties of that material	nongold
75	increase means more	nongold
76	contents means the substance in a container	nongold
77	a source of something increases the amount of that something	nongold
78	being  on something; placed in something; placed over something means touching  that something	nongold
79	heat energy is synonymous with thermal energy	nongold
80	variable means able to change	nongold
81	water is a kind of matter	nongold
82	to lower means to decrease	nongold
83	when a cooler object touches a warmer object , thermal conduction occurs	nongold
84	evaporating is a kind of phase change	nongold
85	all elements are a kind of pure substance	nongold
86	high is similar to increase	nongold
87	metal is a thermal; thermal energy conductor	nongold
88	causing is a kind of affecting	nongold
89	a surface is a part of a material	nongold
90	substances are made of matter	nongold
91	to impact means to affect	nongold
92	due to means caused by	nongold
93	materials are made of matter	nongold
94	change is a kind of impact	nongold
95	heat energy  can be used to heat up  an object	nongold
96	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
97	if something emits something else then that something increases the amount of that something else	nongold
98	transferring is similar to adding	nongold
99	moisture means liquid; liquid water	nongold
