Question	A forest is flooded when a natural dam breaks, leaving the forest floor under two meters of water. Which animal is most affected by the flooding?	question
Answer	a rabbit	answer
0	a rabbit is a kind of mammal	nongold
1	a rabbit is a kind of animal	gold
2	a rabbit is a kind of herbivore	nongold
3	some rabbits live in forests	nongold
4	a rabbit is a kind of prey	nongold
5	when a body of water receives more water than it can hold , a flood occurs	nongold
6	a mammal is a kind of animal	nongold
7	rabbits eat plants	nongold
8	a forest is a kind of environment	nongold
9	to be submerged means to be placed under	nongold
10	to impact means to affect	nongold
11	heavy rains cause flooding	nongold
12	an animal is a kind of living thing	nongold
13	impact means effect	nongold
14	affected means changed	nongold
15	as elevation of a place decreases , how much a flood will affect that place will increases	nongold
16	flooding is a kind of change	nongold
17	a forest contains  lots of plants; trees	nongold
18	if an animal cannot fly; climb then that animal will be more affected by a flood	gold
19	a forest is a kind of ecosystem	nongold
20	an organism is a living thing	nongold
21	a plant; living thing requires food for survival	nongold
22	a rabbit cannot fly; climb	gold
23	a plant is a kind of living thing	nongold
24	animals; living things require water for survival	nongold
25	a hare is similar to a rabbit	nongold
26	an animal is a kind of organism	nongold
27	flooding decreases the availability of food	nongold
28	an animal; living thing requires nutrients for survival	nongold
29	a living thing is a kind of object	nongold
30	forest is synonymous with wooded area	nongold
31	some animals live in forests	nongold
32	a human is a kind of mammal	nongold
33	causing is a kind of affecting	nongold
34	if something affects a part of something else then that something affects that something else	nongold
35	under water means covered by water; in water	nongold
36	when a river floods , that river deposits soil; sediment in flood plains	nongold
37	a plant is a kind of organism	nongold
38	a cat is a kind of animal	nongold
39	a plants; living things require water for survival; to grow	nongold
40	nature means a natural environment	nongold
41	An example of an environment is a forest; a river; a grassland; an ocean	nongold
42	a bird is a kind of living thing	nongold
43	a human is a kind of animal	nongold
44	woodland means forest	nongold
45	animals; living things live and feed in their habitats; near their habitats	nongold
46	if a living thing requires something then that something has a positive impact on that living thing	nongold
47	fire causes harm to trees; to forests; to living things	nongold
48	to reduce means to decrease	nongold
49	a deer lives in a forest	nongold
50	a rain forest is a kind of forest	nongold
51	precipitation is a kind of natural occurrence; cause	nongold
52	a body of water is a kind of environment	nongold
53	a tree is a kind of living thing	nongold
54	if an animal's; organisms habitat no longer exists; ceases to exist then that animal; that organism will die	nongold
55	fur is usually part of a mammal	nongold
56	damage means harm	nongold
57	natural disasters can cause animals to leave an environment	nongold
58	water is a part of an environment	nongold
59	to lower means to decrease	nongold
60	humans changing ecosystems;environments usually has a  negative impact on an ecosystem; organisms living in an ecosystem	nongold
61	a hare is a kind of animal	nongold
62	harming something has a  negative impact on; effect on that something	nongold
63	removing forests means removing animal habitats	nongold
64	person is synonymous with human	nongold
65	organisms are a part of an environment	nongold
66	a meter is a kind of unit for measuring distance; measuring length	nongold
67	a bird is a kind of animal	nongold
68	killing means harming something causing death	nongold
69	meters;centimeters;kilometers are used to describe distance; describe length	nongold
70	an ecosystem is a kind of habitat	nongold
71	harming an animal species causes that animal's population to decrease	nongold
72	habitat is similar to environment	nongold
73	if a living thing dies then that living thing is dead	nongold
74	a cat is a kind of mammal	nongold
75	change is a kind of impact	nongold
76	eating an animal; a plant means killing that animal; that plant	nongold
77	organisms; living things live in their habitat; their home	nongold
78	an animal requires a habitat for survival	nongold
79	an insect is a kind of animal	nongold
80	fur is often part of an animal	nongold
81	if a habitat is removed then that habitat is destroyed	nongold
82	a skunk is a kind of animal	nongold
83	an environment means an area	nongold
84	an ecosystem contains a large community of; large numbers of living organisms	nongold
85	meters ( m ) are a  metric; SI unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
86	killing means changing a living thing from alive to dead by harming	nongold
87	to cause means to have an effect	nongold
88	rainwater is a kind of water	nongold
89	a floodplain is a kind of land; landform	nongold
90	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
91	humans changing animal habitats usually causes harm to those animals	nongold
92	a person is a kind of animal	nongold
93	water is a kind of natural resource	nongold
94	water is a kind of natural resource	nongold
95	a mouse is a kind of animal	nongold
96	a raccoon is a kind of animal	nongold
97	flood plains are located near rivers	nongold
98	adverse effect means negative impact	nongold
99	destruction means loss	nongold
