Question	Astronomers have found evidence for the existence of a super-massive black hole in the center of the giant elliptical galaxy M87. What is thought to cause black holes to form?	question
Answer	the collapse of a high-mass star	answer
0	a black hole is formed by a high-mass star collapsing	gold
1	a elliptical galaxy is a kind of galaxy	nongold
2	to cause the formation of means to form	gold
3	massive means giant	nongold
4	gravity causes nebulas to collapse	nongold
5	massive means great in mass	nongold
6	a star is formed by collapsing clouds of gas and dust	nongold
7	a star collapsing causes a supernova	nongold
8	a star is a kind of celestial object; celestial body	nongold
9	to be a source of something means to cause that something	nongold
10	a galaxy is a kind of very large system of stars	nongold
11	high is similar to increase	nongold
12	to lower means to decrease	nongold
13	a galaxy is made of stars	nongold
14	breaking down is a kind of forming	nongold
15	when an nebula collapses , particles condense	nongold
16	a white dwarf is a kind of star	nongold
17	low is similar to decrease	nongold
18	a galaxy is a kind of celestial body; celestial object	nongold
19	a galaxy is a kind of celestial body	nongold
20	mass is a property of objects; matter	nongold
21	elliptical is a kind of shape	nongold
22	elliptical is a kind of shape	nongold
23	quasars contain massive black holes at their centers	nongold
24	a galaxy is held together by gravity	nongold
25	massive is similar to large	nongold
26	to cause something means to contribute to that something happening	nongold
27	the universe started as a single mass according to the Big Bang Theory	nongold
28	creating is similar to causing	nongold
29	to be made of something means to be formed of that something	nongold
30	form means kind	nongold
31	astronomy is the study of celestial (objects, bodies)	nongold
32	a galaxy contains dust; stars; planets	nongold
33	a star's type is determined by the star's mass	nongold
34	can be means able to be	nongold
35	a galaxy is a kind of structure	nongold
36	extreme means very high in value	nongold
37	an event is a kind of action	nongold
38	a result of something is evidence of that something	nongold
39	a type is synonymous with a kind	nongold
40	mass is a kind of physical property	nongold
41	a motion is a kind of event; action	nongold
42	a yellow dwarf is a kind of main-sequence star	nongold
43	astronomy is a kind of branch of science	nongold
44	dissolving is similar to breaking down	nongold
45	something that happens is a kind of event	nongold
46	a star is a source of light; light energy through nuclear reactions	nongold
47	no longer means used to be	nongold
48	a cause of something is a reason for that something	nongold
49	to form means to create	nongold
50	a change is a kind of event	nongold
51	causing means influencing	nongold
52	a spiral galaxy is a kind of galaxy	nongold
53	a living thing is a kind of object	nongold
54	a source of something emits; produces; generates; provides that something	nongold
55	main-sequences stars are a kind of star	nongold
56	forming something is a kind of change	nongold
57	if something is caused by something else , then that something can be explained by that something else	nongold
58	dissolving is a kind of action	nongold
59	a process is a kind of event	nongold
60	to cause an event means to make that event more likely	nongold
61	state means form	nongold
62	to change into means to form	nongold
63	to change means to cause a change	nongold
64	revolving  around something means orbiting that something	nongold
65	low is the opposite of high	nongold
66	to be believed to be is similar to maybe	nongold
67	the bottom is the lowest part of something	nongold
68	nucleus is synonymous with core; center	nongold
69	to reduce means to decrease	nongold
70	the mass of an object causes the gravitational force exerted by that object	nongold
71	a hypothesis is a kind of scientific term	nongold
72	if something causes an increase in something else then that something produces that something else	nongold
73	a galaxy is made of a group of objects in space	nongold
74	strong means high in strength	nongold
75	stars colliding  is a kind of high-energy event in space	nongold
76	an irregular galaxy is a kind of galaxy	nongold
77	gravity;gravitational force causes objects that have mass; substances to be pulled down; to fall on a planet	nongold
78	events occur at a specific place; at a specific time; with a specific frequency	nongold
79	due to means caused by	nongold
80	an increase is a kind of change	nongold
81	a star is made of gases	nongold
82	to cause means to have an effect	nongold
83	buildings collapsing often causes death	nongold
84	a particle is a kind of object	nongold
85	producing is similar to causing	nongold
86	a typical galaxy contains billions of stars	nongold
87	mass is a measure of the amount of matter in an object	nongold
88	to happen means to occur	nongold
89	as the mass of an object increases , the force of gravity on that object will increase	nongold
90	to stay means to continue to exist	nongold
91	to increase is similar to to create	nongold
92	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
93	as mass of a planet; of a celestial body increases , the force of gravity on that planet will increase	nongold
94	greater means higher; more in value	nongold
95	becoming is similar to forming	nongold
96	yellow dwarf is a kind of small star	nongold
97	forming is a kind of action	nongold
98	a kind of something is an example of that something	nongold
99	composed of means made of	nongold
