Question	When moist air comes in contact with a cold surface in the winter, one result can be frost. What has happened to the water vapor in the air to cause frost?	question
Answer	It has sublimated.	answer
0	sublimation means matter; a substance changes from a solid into a gas by increasing heat energy	gold
1	to cause means to result in	nongold
2	moist means high in moisture	nongold
3	An example of moisture is water vapor in the atmosphere	nongold
4	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
5	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
6	result means outcome	nongold
7	to produce means to result in	nongold
8	water vapor is found in the atmosphere	nongold
9	temperature is a measure of heat energy	gold
10	frost is a kind of solid water	gold
11	temperature is a property of weather	nongold
12	winter means environmental; outdoor temperature decreases	nongold
13	to cause means to have an effect	nongold
14	water is a kind of substance	nongold
15	air temperature is a kind of temperature	nongold
16	if one surface; one substance; one object touches something then one is exposed to that something	nongold
17	water is an thermal; thermal energy conductor	nongold
18	winter has cold temperatures;weather	nongold
19	to be formed by is to be the result of	nongold
20	vapor is synonymous with gas	nongold
21	heat has a great impact on weather	nongold
22	moisture means liquid; liquid water	nongold
23	the air is a kind of substance	nongold
24	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
25	to change means to cause a change	nongold
26	to touch means to contact	nongold
27	cold is a kind of weather	nongold
28	heating means adding heat	nongold
29	to add means to increase	nongold
30	product means result	nongold
31	moist means humid	nongold
32	an increase is the opposite of a decrease	nongold
33	to change means to have an effect	nongold
34	a source of something emits; produces; generates; provides that something	nongold
35	high is similar to increase	nongold
36	if something absorbs; requires more heat than it gives off in an reaction , then something will be cold in temperature	nongold
37	if the environmental temperature; air temperature is too cold then an animal; a living thing in that environment may become cold	nongold
38	heat means heat energy	nongold
39	cold means low in temperature	gold
40	air is a part of the environment	nongold
41	heat energy is synonymous with thermal energy	nongold
42	if something is  cold in temperature , then something will be cold to touch	nongold
43	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	gold
44	frosting is a kind of material	nongold
45	the atmosphere is a part of nature; the environment	nongold
46	water vapor has an impact on weather conditions associated with an air mass	nongold
47	moist air mass contains a high amount of water vapor	nongold
48	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
49	heat means temperature increases	nongold
50	adding heat means increasing temperature	nongold
51	a surface is a part of an object	nongold
52	impact means effect	nongold
53	cold  air is usually high in air pressure	nongold
54	something in a cold place becomes cold	nongold
55	air is a kind of gas	gold
56	to reduce means to decrease	nongold
57	precipitation is when rain;snow;hail fall from clouds to the Earth;ground	nongold
58	to be a source of something means to cause that something	nongold
59	an increase is a kind of change	nongold
60	a result of something is evidence of that something	nongold
61	to give is similar to to cause	nongold
62	winter is a part of the year	nongold
63	a cold front is when a cooler air mass moves into contact with an area of warmer air	nongold
64	precipitation is a property of weather	nongold
65	low is similar to decrease	gold
66	to lower means to decrease	nongold
67	a climate is synonymous with an environment	nongold
68	a wet object is a source of water	nongold
69	water is a kind of liquid at room temperature	nongold
70	winter is a kind of season	nongold
71	dry means low in amount of water; wetness; moisture	nongold
72	precipitation is a kind of natural occurrence; cause	nongold
73	to slow; to slow down decreases speed	nongold
74	winter is when a hemisphere is tilted away from the sun	nongold
75	evaporation causes amount of water to decrease	nongold
76	helping something has a  positive impact on that something	nongold
77	humidity is the amount of water vapor; moisture in the air; in the atmosphere	nongold
78	to cause means to make	nongold
79	warmer means greater; higher in temperature; warmth	nongold
80	weather is a property of a environment	nongold
81	colder; cooler means lower in temperature	nongold
82	if heat is transferred to the air , then the temperature of the air will increase	nongold
83	harming something has a  negative impact on; effect on that something	nongold
84	precipitation is a kind of weather	nongold
85	water is a kind of object	nongold
86	water is a kind of matter	nongold
87	a hot; warm something is a source of heat	nongold
88	to a  human a air; environment temperature of 0 C to 10 C is considered cold	nongold
89	warm means medium heat energy; temperature	nongold
90	weather is  a measure of the condition of the air in a place at a certain time	nongold
91	solar energy is a kind of heat energy	nongold
92	water is a part of an environment	nongold
93	ice is cold in temperature	nongold
94	winter is the opposite of summer	nongold
95	to a  human a air; environment temperature of -273 C to 0 C is considered very cold	nongold
96	water vapor;steam cooling causes that water vapor;steam to condense	nongold
97	desublimation; deposition means matter; a substance changes from a gas into a solid by decreasing heat energy	nongold
98	precipitation is when water falls from the sky	nongold
99	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
