Question	The energy required to lift an object is supplied by ATP derived from the breakdown of molecules of	question
Answer	glucose.	answer
0	ATP is formed by the breakdown of molecules of glucose	gold
1	a molecule is a kind of object	nongold
2	glucose is a kind of substance	nongold
3	to provide means to supply	gold
4	a source of something emits; produces; generates; provides that something	nongold
5	oxygen; glucose is used for providing energy to cells by mitochondrion	nongold
6	if something is required then that something must be provided	gold
7	transferring is similar to supplying	nongold
8	being used for is similar to providing	nongold
9	substances are made of molecules	nongold
10	providing something means making;delivering something	nongold
11	carbohydrates are made of glucose molecules bonding together	nongold
12	to be required means to be necessary	nongold
13	ATP supplies chemical energy for  organisms to move	gold
14	decomposition is a kind of process	nongold
15	to be used for something means to be required by that something	nongold
16	to depend on; to rely on; to need means to require	nongold
17	a supply of something is a source of that something	nongold
18	requiring something means needing that something	nongold
19	containing something is similar to providing that something	nongold
20	to produce means to provide	nongold
21	to provide something means to be the source of that something	nongold
22	a nutrient is a kind of object	nongold
23	provide is similar to give; make	nongold
24	if something causes a process then that something is required for that process	nongold
25	a molecule is exceptionally small in size	nongold
26	to lift means to move up	gold
27	decomposition is a stage in the carbon cycle process	nongold
28	a pure substance is made of only one kind of atom; molecule	nongold
29	carbohydrates are used for storing;transporting energy	nongold
30	a molecule is the smallest particle; unit that has the properties of a compound	nongold
31	carbohydrates are a vehicle for storing;transporting energy	nongold
32	requiring is similar to needing help	nongold
33	nutrients are a kind of substance	nongold
34	can be means able to be	nongold
35	objects are made of materials; substances; matter	nongold
36	food contains carbohydrates	nongold
37	a source of something supplies that something	nongold
38	nutrients are a kind of matter	nongold
39	matter is made of molecules	nongold
40	must have means require	nongold
41	a living thing is a kind of object	nongold
42	An example of exerting force on an object is lifting an object	nongold
43	if something contains something , then something is able to provide something	nongold
44	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
45	nutrients are a source of energy for living things	nongold
46	temperature is a measure of kinetic energy of molecules	nongold
47	a pulley is used for lifting; lowering objects	nongold
48	form means kind	nongold
49	to power means to provide energy for	nongold
50	conversion is a kind of process	nongold
51	a molecule is a kind of particle	nongold
52	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
53	providing is a kind of function	nongold
54	answering questions requires information	nongold
55	if an event occurs by adding something then that event requires that something	nongold
56	a molecule is made of atoms chemically combined; bonded	nongold
57	to be formed by is similar to being produced by	nongold
58	hydrocarbon molecules can be large in size	nongold
59	glycogen is a kind of substance	nongold
60	to add means to increase	nongold
61	converting is similar to producing	nongold
62	carbohydrates are made of sugars	nongold
63	a protein is a kind of nutrient	nongold
64	a product is a kind of object	nongold
65	many types of molecules can be formed by carbon with covalent bonds	nongold
66	a lever is used for lifting;moving heavy objects	nongold
67	composed of means made of	nongold
68	an part of an object is smaller than the entire object	nongold
69	material means substance	nongold
70	food is a kind of object	nongold
71	matter; materials; substances are made of atoms; particles	nongold
72	food is a kind of substance	nongold
73	chemical energy is a kind of energy	nongold
74	guanine; G is the complementary base of cytosine; C in DNA	nongold
75	flying an object requires lift to oppose the object's weight	nongold
76	an object; material; substance comes from that object or material's source	nongold
77	converting is similar to releasing	nongold
78	sugar is made of carbon, hydrogen, oxygen	nongold
79	to split means to break down	nongold
80	a device is a kind of object	nongold
81	essential means required	nongold
82	forming is similar to converting	nongold
83	high is similar to increase	nongold
84	convert is similar to transfer	nongold
85	energy transformation means one kind of energy changes into another kind of energy	nongold
86	a weight is a kind of object	nongold
87	to input means to add	nongold
88	carbohydrates store chemical energy	nongold
89	to be made of something means to be formed of that something	nongold
90	the function of something is what that something  is used to do	nongold
91	cellular energy is a kind of chemical energy	nongold
92	affected means changed	nongold
93	to be formed by is to be the result of	nongold
94	heat is a kind of energy	nongold
95	to carry means to move something	nongold
96	a process usually requires all of the stages in that process	nongold
97	emit means produce	nongold
98	speed is a measure of how fast an object is moving	nongold
99	products are formed; are produced; are created	nongold
