Question	From Earth, we see the sun in the day sky and other stars in the night sky. Nighttime stars look like tiny points of light. Which statement explains why nighttime stars appear so much smaller than the sun?	question
Answer	The stars are much farther away.	answer
0	smaller means less; lower in size	nongold
1	the stars in the night sky are very far away from the Earth	gold
2	larger means greater; higher; more; increase in size	nongold
3	a star is a kind of celestial object; celestial body	nongold
4	as distance from an object decreases , that object will appear larger	gold
5	the sun is not a star in the night sky	nongold
6	distant means far away	nongold
7	as distance to an object increases , that object will appear smaller	nongold
8	nighttime means night	nongold
9	near; close is the opposite of far; away	nongold
10	larger; bigger is the opposite of smaller	nongold
11	if an object is close then that object will appear large	nongold
12	the Sun is the  star that is closest to Earth	gold
13	stars appear to move relative to the horizon during the night	nongold
14	the Sun is a kind of star	nongold
15	a star is usually larger than a planet	nongold
16	away is a kind of direction	nongold
17	far means great in distance	nongold
18	far is the opposite of close	gold
19	closer means lower; less; a decrease in distance	nongold
20	as the size of an object appears larger , that object will be seen;be observed more easily; better	nongold
21	furthest; farthest means greatest; most; highest in distance	nongold
22	toward is the opposite of away	nongold
23	to look like means to have the visual properties of	nongold
24	how something  appears is how that something  looks	nongold
25	small is the opposite of large	gold
26	larger is a kind of difference	nongold
27	little means small	nongold
28	to see means to look	nongold
29	an increase is the opposite of a decrease	nongold
30	apart means away	nongold
31	Earth is a kind of planet	nongold
32	the sun is a source of light; light energy called sunlight	nongold
33	as distance from a source of something increases , that something will decrease	nongold
34	largest means greatest in size	nongold
35	decreasing is similar to becoming smaller	nongold
36	greatest means largest; highest; most amount of something	nongold
37	to move away means to increase distance	nongold
38	seeing requires light	nongold
39	a star produces light and heat	nongold
40	the Earth revolving around the sun causes stars to appear  in different areas in the sky at different times of year	nongold
41	Earth is the planet that is third closest to the  Sun	nongold
42	sunlight is a kind of light	nongold
43	as the size of a source of light increases , that source of light will appear brighter	nongold
44	Earth is a planet that is closer to the  Sun than Jupiter	nongold
45	distant means great in distance	nongold
46	sight means to see	nongold
47	as distance from a source of light increases , that source of  light will appear dimmer	nongold
48	night is low in light; in visibility	nongold
49	appearing is similar to seeming	nongold
50	as distance from an object decreases , the the pull of gravity on that object increases	nongold
51	stars are located light years apart from each other	nongold
52	as a source of light becomes closer , that source will appear brighter	nongold
53	a decrease is a kind of change	nongold
54	to move toward means to move nearer	nongold
55	low is similar to decrease	gold
56	the Earth rotating on its axis causes the sun to appear to move across the sky during the day	nongold
57	moving away from the source increases the distance	nongold
58	towards means closer to something	nongold
59	an increase is a kind of change	nongold
60	seeing is used for sensing visual things	nongold
61	the sun is average in size for a star in our galaxy	nongold
62	to lower means to decrease	nongold
63	eyes are a part of a human for seeing	nongold
64	looking like is similar to camouflaging as	nongold
65	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
66	better look means see better	nongold
67	the night time is part of one day	nongold
68	take away means decreasing	nongold
69	the sunlight occurs during the day	nongold
70	an part of an object is smaller than the entire object	nongold
71	as the distance from an object increases , the force of gravity on that object will decrease	nongold
72	the Sun has average brightness compared to other stars	nongold
73	the Earth rotating on its axis causes  stars; the Moon to appear to move across the sky at night	nongold
74	less is similar to decrease	nongold
75	daytime means day	nongold
76	eyes are usually part of an animal for seeing	nongold
77	eyes can sense;detect light energy for seeing	nongold
78	sight means vision	nongold
79	shorter means smaller; less in  height	nongold
80	if two objects are apart from each other then matter is between those two objects	nongold
81	highest means largest; greatest; most in height	nongold
82	a star requires energy	nongold
83	animals usually distance themselves from humans	nongold
84	near means close	nongold
85	the sun is a kind of yellow dwarf	nongold
86	high is similar to increase	nongold
87	when things erode , those things may become smaller	nongold
88	dark is the opposite of light	nongold
89	greater means higher; more in value	nongold
90	daylight means sunlight	nongold
91	close means low in distance	gold
92	eyes are used for seeing by animals by sensing light	nongold
93	proximity means distance	nongold
94	occur is similar to appear	nongold
95	the Moon is closer to the Earth than the Sun	nongold
96	the sun is  the largest celestial body in our solar system	nongold
97	viewing means observing light	nongold
98	to view means to see	nongold
99	visible means able to be seen	nongold
