Question	Which best determines the health of a lake used as a source of freshwater?	question
Answer	its temperature and pH	answer
0	the temperature; pH of water has an impact on the health of that water	gold
1	freshwater is a kind of water	gold
2	a lake is a kind of body of water	nongold
3	freshwater is drinkable	nongold
4	determining often requires measuring; observing	nongold
5	best means most positive	nongold
6	a body of water is a source of water	nongold
7	better means good	nongold
8	acidic means low; 0 to 6 in pH	nongold
9	water is a part of an environment	nongold
10	high is similar to increase	nongold
11	a body of water is a kind of environment	nongold
12	fresh water means freshwater	nongold
13	temperature is a measure of heat energy	nongold
14	a source of something emits; produces; generates; provides that something	nongold
15	identifying is similar to determining	nongold
16	low is similar to decrease	nongold
17	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
18	to be used for something means to be required by that something	nongold
19	a body of water contains water	nongold
20	pH is a measure of acidity of a substance ranging from 0 to 14	nongold
21	pure water is neutral; 7 in pH level	nongold
22	water is a kind of natural resource	nongold
23	water is a kind of natural resource	nongold
24	animals; living things require water for survival	nongold
25	good means positive	nongold
26	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
27	determine is similar to cause	gold
28	an increase is the opposite of a decrease	nongold
29	determining is similar to controlling	nongold
30	less is similar to decrease	nongold
31	an ocean is a kind of body of water	nongold
32	if something causes something else then that something else depends on that something	nongold
33	to lower means to decrease	nongold
34	to add means to increase	nongold
35	having a positive impact on health; survival is synonymous with helping to keep healthy	nongold
36	an aquatic animal is a kind of animal	nongold
37	if something requires something else then that something requires a source of that something else	nongold
38	a river is a kind of flowing body of water	nongold
39	according to is similar to be determined by	nongold
40	a climate is synonymous with an environment	nongold
41	water is a kind of substance	nongold
42	to be affected by something is similar to depending on something	nongold
43	a source of something increases the amount of that something	nongold
44	poor health;bad health;unhealthy is the opposite of good health;healthy	nongold
45	freshwater is non-salty	nongold
46	an aquatic animal; aquatic plant requires great amounts of water to survive; thrive	nongold
47	water is a kind of liquid at room temperature	nongold
48	affected means changed	nongold
49	being stronger usually has a positive impact on an organism's; living thing's health	nongold
50	to depend on; to rely on; to need means to require	nongold
51	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
52	glaciers are a source of freshwater	nongold
53	aquatic animal means water animal	nongold
54	if the glaciers melt , then the melting glacial ice will be freshwater	nongold
55	an increase is a kind of change	nongold
56	requiring is similar to needing help	nongold
57	temperature is a property of weather	nongold
58	staying warm has a positive impact on an animal's survival; health	nongold
59	something that contains water is similar to a body of water	nongold
60	an animal requires enough nutrients to maintain good health; survive	nongold
61	a type is synonymous with a kind	nongold
62	turbidity can affect the health of a river system	nongold
63	variable means able to change	nongold
64	little is similar to decrease	nongold
65	a decrease is a kind of change	nongold
66	a plants; living things require water for survival; to grow	nongold
67	greatest means largest; highest; most amount of something	nongold
68	if the water is freshwater , then the water is not a source of salt	nongold
69	drinking is a kind of water use	nongold
70	low is the opposite of high	nongold
71	an environment means an area	nongold
72	colder; cooler means lower in temperature	nongold
73	organisms are a part of an environment	nongold
74	to slow; to slow down decreases speed	nongold
75	lowest means least in value; amount; number	nongold
76	aquatic animals; plants live in bodies of water	nongold
77	protecting a living thing has a  positive impact on that living thing's survival; health	nongold
78	water is a kind of object	nongold
79	form means kind	nongold
80	heat means heat energy	nongold
81	answering questions requires information	nongold
82	adding heat means increasing temperature	nongold
83	person is synonymous with human	nongold
84	to provide something means to be the source of that something	nongold
85	neutral means 7 in pH	nongold
86	little means low in amount	nongold
87	provide is similar to give; make	nongold
88	groundwater is a kind of water	nongold
89	water is a renewable resource	nongold
90	extreme means very high in value	nongold
91	a pond is a kind of body of water	nongold
92	a reservoir is a kind of body of water	nongold
93	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
94	to turn means to change	nongold
95	can be means able to be	nongold
96	greater means higher; more in value	nongold
97	determining the type of an organism requires having information about that organism	nongold
98	to help; to benefit means to be of use	nongold
99	to be good for means to have a positive impact on	nongold
