Question	What are the basic structural units of living organisms?	question
Answer	cells	answer
0	a base is basic	nongold
1	the cell is the most basic structural unit of life	gold
2	basic life functions occur in the cells of organisms	nongold
3	a living thing is made of cells	nongold
4	an organism is a living thing	gold
5	all living things are made of cells according to the cell theory	nongold
6	a structure of something is synonymous with a part of that something	nongold
7	a cell membrane is a kind of cell structure	nongold
8	life means living things	gold
9	system is similar to structure	nongold
10	organisms mean life	nongold
11	a plant is made of plant cells	nongold
12	a plant cell is a kind of cell	nongold
13	a living thing is a kind of object	nongold
14	the cell membrane is the membrane around the cell of all living things	nongold
15	an animal is a kind of living thing	nongold
16	a cell wall is the outermost structure of a plant cell	nongold
17	the cell membrane is a part of a cell	nongold
18	a cell is a kind of object	nongold
19	to be made of something means to be formed of that something	nongold
20	living things carry out basic life functions	nongold
21	the basic unit of matter is atom	nongold
22	a  cell wall provides support; protection; shape; structure for  a plant cell	nongold
23	a plant is a kind of organism	nongold
24	unit is similar to part	nongold
25	a cell is very small	nongold
26	a cell nucleus is a part of a cell	nongold
27	a cell wall is a part of a plant cell for supporting and protecting the cell membrane	nongold
28	a part of a living thing is a natural structure	nongold
29	an animal cell is a kind of cell	nongold
30	a plant is a kind of living thing	nongold
31	composed of means made of	nongold
32	structure is a property of an object; a material; a substance	nongold
33	the cell is the smallest unit of an organism that can perform all of the processes of life	nongold
34	all living things have life cycles	nongold
35	an animal is a kind of organism	nongold
36	the neuron is the smallest functional unit; structural unit of the nervous system	nongold
37	cells are a smaller level of organization than tissues in living things	nongold
38	an animal is a kind of eukaryote	nongold
39	the parent cell is the original cell	nongold
40	a plant cell is box-like in shape	nongold
41	made up of means contains; made of	nongold
42	a human cell is a kind of cell	nongold
43	a chromosome is a part of a cell	nongold
44	a multicellular organism is a kind of living thing	nongold
45	a single-celled organism is a kind of living thing	nongold
46	live means to be alive	nongold
47	answering questions requires information	nongold
48	an animal; living thing requires nutrients for survival	nongold
49	a single-cell organism cannot specialize	nongold
50	a multicellular organism is made of many cells	nongold
51	living things perform biological processes	nongold
52	can be means able to be	nongold
53	organisms are made of carbon	nongold
54	a multicellular organism contains more than one cell	nongold
55	the cells of multicellular organisms can specialize	nongold
56	a chloroplast is a kind of plant cell structure	nongold
57	a source of something emits; produces; generates; provides that something	nongold
58	an object is made of its parts	nongold
59	living things are made of organic molecules	nongold
60	the cell membrane provides support; protection for a cell	nongold
61	a multicellular organism has more than one cell	nongold
62	a plant cell contains chloroplasts	nongold
63	mitosis produces cells that are identical to the parent cell	nongold
64	a single-celled organism is a kind of organism	nongold
65	living things can all reproduce	nongold
66	biotic means living	nongold
67	matter; materials; substances are made of atoms; particles	nongold
68	to be made of means to consist of	nongold
69	dying is the opposite of living; surviving	nongold
70	as the structural complexity of a cell increases , the speed with which the cell can divide decreases	nongold
71	a component of something means a part of that something	nongold
72	affected means changed	nongold
73	an organism is made of organic matter	nongold
74	a unicellular organism has one cell	nongold
75	the cell membrane allows materials to enter and leave the cell	nongold
76	structure is similar to shape	nongold
77	dead organisms are the source of nutrients for decomposers	nongold
78	remains mean parts of a dead organism	nongold
79	a structure is a kind of feature	nongold
80	organisms move through the stages of the life cycle	nongold
81	a single-celled organism's organelles are like the organs of a multi-celled organism	nongold
82	all cells perform cellular respiration	nongold
83	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
84	all living things grow	nongold
85	cells are a part of the body	nongold
86	single-cell organism means unicellular organism	nongold
87	examining structures at the molecular level is being used to reclassify organisms	nongold
88	a body cell means a somatic cell	nongold
89	dead means not alive	nongold
90	a yeast cell is a kind of single cell organism	nongold
91	cells copy DNA	nongold
92	the function of something is what that something  is used to do	nongold
93	position means a place in a structure	nongold
94	a diatom is a kind of organism	nongold
95	the parts of something make up that something	nongold
96	the cell cycle is when a cell forms new cells	nongold
97	the cell nucleus controls many of the functions of the cell	nongold
98	a plant; living thing requires nutrients to grow	nongold
99	classifying is when one sorts something by kind; type	nongold
