Question	Which of the following is visible through a reflecting telescope?	question
Answer	moons around Jupiter	answer
0	Jupiter is a kind of planet	gold
1	Jupiter is a kind of outer planet	nongold
2	Earth is a planet that is closer to the  Sun than Jupiter	nongold
3	Jupiter is the planet that is fifth closest to the Sun	nongold
4	a reflecting telescope is a kind of telescope	gold
5	a telescope is used for observing stars;planets;moons;distant objects; the sky; celestial objects by astronomers	gold
6	a telescope is a kind of optical instrument for observing celestial objects; observing the sky	gold
7	the asteroid belt is located between Mars and Jupiter	nongold
8	moons are large; solid; spherical	nongold
9	a moon is a kind of celestial object; body	gold
10	the Moon is Earth's moon	nongold
11	visible means able to be seen	nongold
12	reflection is when light is reflected from one object; one place to  another object; another place	nongold
13	if something is visible , then that something can be observed	gold
14	a planet is a kind of celestial object; body	nongold
15	moons orbit planets	gold
16	light reflecting off of an object causes that object to be visible to the observer	nongold
17	a lens is a part of a telescope	nongold
18	a moon is located in space	nongold
19	if an object reflects light toward the eye then that object can be seen	nongold
20	a star is a kind of celestial object; celestial body	nongold
21	a planet is a kind of location	nongold
22	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
23	moons; comets; planets are part of the solar system	nongold
24	a planet is a kind of place	nongold
25	being around something means surrounding  that something	nongold
26	astronomy is the study of celestial (objects, bodies)	nongold
27	the moon orbits the Earth	nongold
28	the moon reflects sunlight towards the Earth	nongold
29	the dark half of the moon is not visible	nongold
30	reflection is a property of light	nongold
31	the moon is the celestial object that is closest to the  Earth	nongold
32	type of moon; kind of moon means moon phase	nongold
33	to see means to look	nongold
34	not visible means cannot be seen	nongold
35	seeing is used for sensing visual things	nongold
36	visible light is a kind of  light	nongold
37	can be means able to be	nongold
38	an optical telescope requires visible light for human to use	nongold
39	revolving  around something means orbiting that something	nongold
40	distance is a property of space and includes ordered values of close; far	nongold
41	sight means to see	nongold
42	the Moon is closer to the Earth than the Sun	nongold
43	an optical telescope is a kind of telescope	nongold
44	answering questions requires information	nongold
45	a convex lens causes light to refract and concentrate to magnify distant objects	nongold
46	the Sun is a kind of star	nongold
47	reflection is when a wave bounces off a surface and travels in the  opposite direction relative to the angle of incidence	nongold
48	the  moon's surface contains flat areas	nongold
49	Earth is a kind of planet	nongold
50	a planet's  moon is smaller than that planet	nongold
51	astronomy is a kind of branch of science	nongold
52	a moon is a kind of satellite	nongold
53	to reflect light means to scatter light	nongold
54	sight is a kind of sense	nongold
55	objects are made of materials; substances; matter	nongold
56	Mars is a kind of planet	nongold
57	observe means see	nongold
58	furthest; farthest means greatest; most; highest in distance	nongold
59	near; close is the opposite of far; away	nongold
60	near means close	nongold
61	observable means visible	nongold
62	the Earth rotating on its axis causes  stars; the Moon to appear to move across the sky at night	nongold
63	reflection is when particles bounce off a surface	nongold
64	instrument means device	nongold
65	shiny things; objects reflect light	nongold
66	a reflector is used to reflect light especially on vehicles	nongold
67	detailed observation of celestial objects requires a telescope	nongold
68	astronomical body means celestial body	nongold
69	instrument means tool	nongold
70	as the size of an object appears larger , that object will be seen;be observed more easily; better	nongold
71	refraction is when a wave goes through; transmits through; passes through a surface; a material; an object and travels in a different direction relative to the angle of incidence	nongold
72	the location of an object can be used to describe that object	nongold
73	January is during the winter in the northern hemisphere	nongold
74	an part of an object is smaller than the entire object	nongold
75	the moon does not contain air; water	nongold
76	the moon's orbit is elliptical	nongold
77	matter; materials; substances are made of atoms; particles	nongold
78	a surface is a part of an object	nongold
79	human eyes can only see light in the range of visible light	nongold
80	far means great in distance	nongold
81	to view means to see	nongold
82	an object is made of its parts	nongold
83	high is similar to increase	nongold
84	sight means vision	nongold
85	motion is when moves an object; something to a direction	nongold
86	John is a name for a human	nongold
87	events occur at a specific place; at a specific time; with a specific frequency	nongold
88	a source of something emits; produces; generates; provides that something	nongold
89	the surface of the Moon contains mountains	nongold
90	affected means changed	nongold
91	the moon rotates on its axis	nongold
92	a magnifying glass is a kind of tool for observing small things	nongold
93	if something is in a dark place , then that something will not reflect enough light to be seen	nongold
94	close means low in distance	nongold
95	distant means great in distance	nongold
96	emit means send out	nongold
97	viewing means observing light	nongold
98	light is a kind of wave	nongold
99	the solar system contains the moon	nongold
