Question	A small ice cube at a temperature of 0°C is dropped into a glass of water at 28°C and melts. What is the temperature of the water in the glass just after the ice cube melts?	question
Answer	between 0°C and 28°C	answer
0	an ice cube is a kind of object	gold
1	a drop is a small amount of liquid	nongold
2	a drop is a kind of liquid small amount	nongold
3	an ice cube is a kind of solid	gold
4	drop means decrease	nongold
5	ice cube is made of ice	nongold
6	temperature drop means cooling	nongold
7	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
8	temperature drop means temperature decrease	nongold
9	a cube is a kind of object	nongold
10	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	gold
11	to drop means to fall	nongold
12	temperature is a measure of heat energy	gold
13	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
14	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
15	if something is dropped into a container of something else then that something is touching that something else	gold
16	dropping something causes that something to fall	nongold
17	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
18	water is a kind of liquid at room temperature	gold
19	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
20	the freezing point of water; melting point of water is 32F; 0C; 273K	nongold
21	water is a kind of substance	gold
22	a glass contains water	nongold
23	glass is a kind of solid at room temperature	nongold
24	a liquid is a kind of substance	nongold
25	melting is when solids are heated above their melting point	nongold
26	glass is a kind of material	nongold
27	ice is a kind of solid	nongold
28	glass is a kind of object	nongold
29	liquid water cooling causes that liquid water to freeze	nongold
30	ice is a kind of object	nongold
31	freezing point means temperature at which a liquid freezes; below which a liquid freezes	nongold
32	to be lowered into a substance means to be placed into that substance	nongold
33	a container contains objects; material; substances	nongold
34	ice is colder than water in temperature	nongold
35	heating means adding heat	nongold
36	melting point means temperature at which a solid melts; above which a solid melts	nongold
37	dropping an object into water causes vibrations in the water	nongold
38	temperature drop means become colder	nongold
39	falling means moving downward	nongold
40	heat means heat energy	nongold
41	adding heat means increasing temperature	nongold
42	a container is a kind of object	nongold
43	to add means to increase	gold
44	melting is a kind of phase change	nongold
45	an increase is the opposite of a decrease	nongold
46	to lower means to decrease	nongold
47	an increase is a kind of change	nongold
48	water is a kind of matter	nongold
49	to reduce means to decrease	nongold
50	heat means temperature increases	nongold
51	glass is a kind of open container	gold
52	a decrease is a kind of change	nongold
53	freezing is a kind of phase change	nongold
54	heat energy is synonymous with thermal energy	nongold
55	water is a kind of object	nongold
56	small is the opposite of large	nongold
57	high is similar to increase	nongold
58	temperature is a property of weather	nongold
59	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
60	low means down	nongold
61	cycles of freezing and thawing water cause ice wedging	nongold
62	liquid is a kind of state of matter	nongold
63	if an object is placed in a substance; in a location that is colder then that object will cool to the same temperature of that substance; of that location	nongold
64	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
65	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
66	colder; cooler means lower in temperature	nongold
67	to slow; to slow down decreases speed	nongold
68	a liquid is a kind of fluid	nongold
69	freezing point is similar to melting point	nongold
70	frozen means solid	nongold
71	low is similar to decrease	nongold
72	heating is the opposite of cooling	nongold
73	ice is a kind of water phase	nongold
74	ice is cold in temperature	gold
75	solid is a kind of state of matter	nongold
76	volume has no impact on boiling; melting; freezing point	nongold
77	freezing means cold temperatures	nongold
78	cooling means temperature decreases	gold
79	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
80	to limit means to decrease	nongold
81	if an object is made of a material then that object has the properties of that material	nongold
82	material means substance	nongold
83	motion; movement means moving; to move	nongold
84	come down is similar to falling	nongold
85	extreme means very high in value	nongold
86	affected means changed	nongold
87	a beverage is a kind of liquid	nongold
88	falling means height decreases	nongold
89	lowering is a kind of motion	nongold
90	counter means reduce; stop; resist	nongold
91	melting point is a property of a substance; material	nongold
92	variable means able to change	nongold
93	the bottom is the lowest part of something	nongold
94	warm means medium heat energy; temperature	nongold
95	heat energy can change the state of matter	nongold
96	ice crystals means  ice	nongold
97	objects are made of materials; substances; matter	nongold
98	being  on something; placed in something; placed over something means touching  that something	nongold
99	contents means the substance in a container	nongold
