Question	Students are learning about the natural resources in Maryland. One group of students researches information about renewable natural resources in the state. The other group researches information about nonrenewable natural resources in the state. The resources the students investigate include plants, animals, soil, minerals, water, coal, and oil. Which nonrenewable natural resource heats homes?	question
Answer	natural gas	answer
0	coal is a nonrenewable resource	nongold
1	natural gas is a nonrenewable resource	gold
2	natural gas is a kind of fossil fuel	nongold
3	coal is a kind of fossil fuel	nongold
4	minerals are a nonrenewable resource	nongold
5	An example of using natural gas is heating homes	nongold
6	coal is used for generating heat by burning	nongold
7	animals are a renewable resource	nongold
8	oil is a nonrenewable resource	nongold
9	a fossil fuel is a kind of natural resource	nongold
10	natural gas is a source of heat by burning	gold
11	oil is a kind of fossil fuel	nongold
12	fossil fuels are a nonrenewable resource	nongold
13	a renewable resource is a kind of natural resource	nongold
14	Maryland is a kind of region	nongold
15	a plant is a kind of living thing	nongold
16	renewable is the opposite of nonrenewable	nongold
17	an animal is a kind of living thing	nongold
18	natural gas is used for heating building by burning	nongold
19	plants are a kind of resource	nongold
20	Maryland is a state located in the United States of America	nongold
21	water is a kind of natural resource	nongold
22	water is a kind of natural resource	nongold
23	water is a renewable resource	nongold
24	heat means heat energy	nongold
25	natural gas is used for generating heat by burning in a furnace; in a stove	nongold
26	a source of heat can be used to heat something	nongold
27	a source of heat can be used to heat something	gold
28	a human is a kind of animal	nongold
29	an animal is a kind of organism	nongold
30	oil is  insoluble in water	nongold
31	green plants are a kind of producer	nongold
32	coal is a kind of fuel	nongold
33	petroleum is a kind of fossil fuel	nongold
34	gas is a kind of substance	nongold
35	a producer is a kind of living thing	nongold
36	natural gas is used for generating electricity by burning in a power plant	nongold
37	a plant is a kind of organism	nongold
38	oil is a kind of liquid	nongold
39	oil is a kind of liquid	nongold
40	a source of something emits; produces; generates; provides that something	nongold
41	carbon dioxide is a kind of gas	nongold
42	a student is a kind of human	nongold
43	investigating requires gathering information	nongold
44	learning; studying information causes one to know that information	nongold
45	to give off means to be the source of	nongold
46	soil contains nutrients for plants	nongold
47	a house is a kind of home	nongold
48	an organism is a living thing	nongold
49	oil is a kind of substance; matter	nongold
50	oil is a kind of energy resource	nongold
51	research is used for learning	nongold
52	if something releases something else then that something is the source of that something else	nongold
53	investigating is a kind of process	nongold
54	heating means adding heat	nongold
55	investigation sometimes requires experimentation	nongold
56	natural gas is formed by heat and pressure acting on the remains of prehistoric animals	nongold
57	natural gas is used for cooking food by burning	nongold
58	nature is the source of natural resources	nongold
59	answering questions requires information	nongold
60	fossil fuels are a kind of energy resource	nongold
61	a person is a kind of animal	nongold
62	a homeowner is a kind of human	nongold
63	studying is similar to investigating	nongold
64	a home is a kind of building	nongold
65	if studying something is used to learn about something then that something is a source of information	nongold
66	soil is a renewable resource for growing plants	nongold
67	soil is a kind of material	nongold
68	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
69	oil is a source of energy	nongold
70	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
71	a renewable resource is a kind of naturally replaced resource	nongold
72	water is an thermal; thermal energy conductor	nongold
73	if something is places over a heat source then that something is exposed to that heat source	nongold
74	using coal requires burning coal	nongold
75	water is a kind of substance	nongold
76	some minerals are nutrients	nongold
77	heat energy is synonymous with thermal energy	nongold
78	an animal is a kind of consumer	nongold
79	a house is a kind of building	nongold
80	if something comes from something else then that something else is a source of that something	nongold
81	instruction is a kind of information	nongold
82	temperature is a measure of heat energy	nongold
83	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
84	data means information	nongold
85	if a living thing requires something then that something has a positive impact on that living thing	nongold
86	oil is used for producing electricity	nongold
87	if something is powered by something else then that something requires a source of that something else	nongold
88	a  gas is a kind of  element	nongold
89	to belong to a group means to be a kind of something	nongold
90	a mineral is a kind of solid; natural material	nongold
91	where something  comes from is a source of that something	nongold
92	water is a kind of liquid at room temperature	nongold
93	a mammal is a kind of animal	nongold
94	if something requires something else then that something requires a source of that something else	nongold
95	investigating a stage of something means investigating that something	nongold
96	food is a source of energy for animals; plants	nongold
97	electricity means electrical energy	nongold
98	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
99	nature means a natural environment	nongold
