Question	Which of the following is least likely to change from a solid state to a liquid state when heat is applied?	question
Answer	paper	answer
0	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
1	heat means heat energy	nongold
2	temperature is a measure of heat energy	nongold
3	applying heat means adding heat energy	nongold
4	heating means adding heat	nongold
5	heat means temperature increases	nongold
6	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
7	adding heat means increasing temperature	nongold
8	solid is a kind of state of matter	gold
9	liquid is a kind of state of matter	gold
10	paper is a kind of material	nongold
11	least is the opposite of greatest	nongold
12	boiling is a kind of phase change	nongold
13	a phase change is a kind of physical change	nongold
14	heat energy can change the state of matter	nongold
15	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
16	affected means changed	nongold
17	a solid is a kind of substance	nongold
18	to change means to cause a change	nongold
19	an increase is a kind of change	nongold
20	a liquid is a kind of substance	nongold
21	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
22	state of matter means physical state	nongold
23	physical state means state of matter	nongold
24	least is the opposite of most	nongold
25	to add means to increase	nongold
26	a decrease is a kind of change	nongold
27	boiling is when liquids are heated above their boiling point	nongold
28	often is similar to likely	nongold
29	applying is similar to increasing	gold
30	a paper is a kind of object	nongold
31	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
32	a sheet of paper is a kind of object	nongold
33	temperature changing can cause phase changes	nongold
34	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	gold
35	water is a kind of liquid at room temperature	nongold
36	state of matter at room temperature is a kind of physical property	nongold
37	if heat is added to a substance then that substance absorbs that heat	nongold
38	change is a kind of impact	nongold
39	boiling point means temperature at which a liquid boils; above which a liquid boils	nongold
40	ability to undergo a phase change is a property of a substance; material	nongold
41	water is an thermal; thermal energy conductor	nongold
42	conductivity is a property of a material; substance	nongold
43	variable means able to change	nongold
44	state of matter is a kind of physical property	nongold
45	to impact means to affect	nongold
46	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
47	material means substance	nongold
48	metal is a thermal; thermal energy conductor	nongold
49	if something undergoes a physical change then the physical properties of that something will change	nongold
50	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
51	a source of something emits; produces; generates; provides that something	nongold
52	if something absorbs; requires more heat than it gives off in an reaction , then something will be cold in temperature	nongold
53	condensation is when matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
54	heat means the transfer of thermal energy	nongold
55	as heat is transferred from something to something else , the temperature of that something will decrease	nongold
56	melting is a kind of phase change	nongold
57	conductivity is a kind of physical property	nongold
58	extreme means very high in value	nongold
59	paper is recyclable	nongold
60	adding something is a kind of change	nongold
61	thermal conduction is when heat flows from warmer object to cooler object	nongold
62	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
63	evaporating is a kind of phase change	nongold
64	gas is a kind of state of matter	nongold
65	a physical property is a kind of property	nongold
66	melting is when solids are heated above their melting point	nongold
67	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
68	state means form	nongold
69	thermal conduction is when materials conduct heat through those materials through collision of particles	nongold
70	melting point means temperature at which a solid melts; above which a solid melts	nongold
71	a sheet of is similar to a piece of	nongold
72	boiling is a kind of event	nongold
73	air is usually a thermal; thermal energy insulator	nongold
74	to convert means to change	nongold
75	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
76	sublimation means matter; a substance changes from a solid into a gas by increasing heat energy	nongold
77	a source of something increases the amount of that something	nongold
78	changed is the opposite of unchanged	nongold
79	temperature  is a property of air mass and includes ordered values of cold; warm	nongold
80	if the component of something changed , then the whole thing will change	nongold
81	when a force is applied to an object , that force is acting on that object	nongold
82	boiling point is the highest temperature a liquid can reach	nongold
83	if a substance is mixed with another substance then those substances will undergo physical change	nongold
84	boiling point is a property of a substance; material	nongold
85	temperature changing does not cause mass to change	nongold
86	a change is a kind of event	nongold
87	paper is flexible	nongold
88	heat energy is synonymous with thermal energy	nongold
89	to change means to have an effect	nongold
90	substances are made of matter	nongold
91	an event is a kind of action	nongold
92	to lower means to decrease	nongold
93	to give off means to be the source of	nongold
94	a factor impacts something	nongold
95	to modify means to change	nongold
96	freezing is a kind of phase change	nongold
97	objects are made of materials; substances; matter	nongold
98	mass has no impact on boiling; melting; freezing point	nongold
99	condensing means matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
