Question	What energy transformation occurs when an electric lamp is turned on?	question
Answer	electrical energy to light and heat energy	answer
0	a light bulb converts electrical energy; electricity into light energy; light energy and heat energy when it is turned on	nongold
1	energy transformation means one kind of energy changes into another kind of energy	nongold
2	electricity means electrical energy	gold
3	to turn means to convert	nongold
4	energy conversion is similar to energy transformation	nongold
5	heat means heat energy	nongold
6	electrical energy is a kind of energy	nongold
7	an electrical device requires electricity to turn on	nongold
8	electrical devices convert from electrical energy; electricity into other forms of energy	nongold
9	heat is a kind of energy	nongold
10	to transform means to convert	gold
11	a light bulb is a part of a  lamp	gold
12	to convert means to change	nongold
13	light is a kind of energy	nongold
14	light is a kind of energy	nongold
15	light means light energy	nongold
16	heating means adding heat	nongold
17	turning on is a kind of process	nongold
18	to turn means to change	nongold
19	some light bulbs convert electrical energy; electricity into light energy and heat energy	gold
20	temperature is a measure of heat energy	nongold
21	electric devices require electrical energy to function	nongold
22	electricity is used as an energy source by electrical devices	nongold
23	a source of something emits; produces; generates; provides that something	nongold
24	sunlight is a kind of light	nongold
25	solar energy is a kind of heat energy	nongold
26	an incandescent light bulb converts electrical energy; electricity into light energy and heat energy by sending electricity through a filament	nongold
27	conversion is a kind of process	nongold
28	solar energy is a kind of light	nongold
29	converting is similar to turning into	nongold
30	turns is similar to changes	nongold
31	when electricity flows to a light bulb , the light bulb will turn on; come on	nongold
32	heat energy is synonymous with thermal energy	nongold
33	solar energy is a kind of energy	nongold
34	a device is a kind of object	nongold
35	to give off means to be the source of	nongold
36	converting is a kind of function	nongold
37	a living thing is a kind of object	nongold
38	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
39	a light bulb is a kind of electrical device	nongold
40	the function of something is what that something  is used to do	nongold
41	sunlight produces heat	nongold
42	if something is powered by something else then that something requires a source of that something else	nongold
43	to happen means to occur	nongold
44	forming is similar to converting	nongold
45	heat energy can change the state of matter	nongold
46	converting is similar to producing	nongold
47	converting is similar to generating	nongold
48	a human is a kind of animal	nongold
49	if something comes from something else then that something else is a source of that something	nongold
50	electrical devices are used for industrial purposes; household purposes by humans	nongold
51	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
52	a component of something means a part of that something	nongold
53	sunlight is a kind of solar energy	nongold
54	material means substance	nongold
55	if something transfers something else then that something is a source of something else	nongold
56	a light bulb generates visible light when it is turned on	nongold
57	if something requires something else then that something requires a source of that something else	nongold
58	electrical impulses are a kind of electrical energy	nongold
59	to illuminate means to light up	nongold
60	an event is a kind of action	nongold
61	a device requires energy to operate	nongold
62	an animal is a kind of living thing	nongold
63	to add means to increase	nongold
64	a component means a part of	nongold
65	emit means produce	nongold
66	the heat energy produced by the light bulb is not used	nongold
67	electricity is made of moving charges; moving charged particles	nongold
68	if something generates energy for something else then that something powers that something else	nongold
69	can be means able to be	nongold
70	answering questions requires information	nongold
71	where something  comes from is a source of that something	nongold
72	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
73	metal is an  electrical; electrical energy conductor	nongold
74	mechanical energy is a kind of energy	nongold
75	substances are made of matter	nongold
76	turning is a kind of motion	nongold
77	a source of something increases the amount of that something	nongold
78	to be used for something means to be required by that something	nongold
79	phase means state	nongold
80	sunlight means solar energy	nongold
81	both means two	nongold
82	electricity sometimes is used for heating buildings; substances	nongold
83	an object; material; substance comes from that object or material's source	nongold
84	conductivity is a property of a material; substance	nongold
85	heat means temperature increases	nongold
86	to power means to provide energy for	nongold
87	particles in objects are a kind of matter	nongold
88	objects are made of materials; substances; matter	nongold
89	combustion means fire converts chemical energy into light energy and heat energy	nongold
90	variable means able to change	nongold
91	thermal energy is a kind of energy	nongold
92	if something releases something else then that something is the source of that something else	nongold
93	a process is a kind of event	nongold
94	when an animal moves , chemical energy is converted to mechanical energy	nongold
95	an animal is a kind of organism	nongold
96	chemical energy is a kind of energy	nongold
97	to provide something means to be the source of that something	nongold
98	state means form	nongold
99	an electric stove changes electrical energy into heat energy	nongold
