Question	If a class wants to measure the speed of a bicycle during an outdoor lab exercise, which two devices would be most useful?	question
Answer	stopwatch and tape measure	answer
0	a watch;clock;stopwatch is used for measuring time	nongold
1	a stopwatch is a kind of tool for measuring time	gold
2	a tape measure is a kind of tool for measuring distance; measuring length	gold
3	a stopwatch is used to measure time	gold
4	a  tape measure is used to measure length; distance	gold
5	speed is a measure of how fast an object is moving	nongold
6	instrument means device	nongold
7	device means tool	gold
8	a bicycle is a kind of object	gold
9	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	gold
10	a device is a kind of object	nongold
11	measuring sometimes requires  recording; learning an amount	nongold
12	a bicycle is a kind of vehicle	nongold
13	bike means bicycle	nongold
14	instrument means tool	nongold
15	lab equipment is often used for measuring; observing	nongold
16	stop; stopped means zero; 0; no speed	nongold
17	useful means able to be used	nongold
18	faster means an increase; higher in speed	nongold
19	speed is a property of an object and includes values of slow; fast	nongold
20	an instrument is a piece of equipment	nongold
21	a tool is a kind of object	nongold
22	plastic tape is made of plastic	nongold
23	a meter is a kind of unit for measuring distance; measuring length	nongold
24	exercise is a kind of physical activity	nongold
25	rate is similar to speed	nongold
26	calculating speed requires knowing distance travelled	nongold
27	distance moved; distance travelled is a measure of how far an object moves	nongold
28	stop means not move	nongold
29	a meter stick is used to measure distance; height; length	nongold
30	motion; movement means moving; to move	nongold
31	a meter stick is a kind of tool for measuring length; measuring distance	nongold
32	seconds are used to measure time	nongold
33	a human is a kind of animal	nongold
34	measuring requires reading a measurement	nongold
35	a living thing is a kind of object	nongold
36	meters;centimeters;kilometers are used to describe distance; describe length	nongold
37	seconds are a kind of unit for measuring time	nongold
38	a bicycle is made of levers, wheels and axles, pulleys, and screws	nongold
39	walking is a kind of motion	nongold
40	an animal is a kind of living thing	nongold
41	high speed means fast	nongold
42	fastest means greatest in  speed	nongold
43	moving is similar to travelling	nongold
44	a measure of time is a length of time	nongold
45	faster means increased rate	nongold
46	riding something is a kind of movement	nongold
47	kilometers ( km ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 50000000.0	nongold
48	a motion is a kind of event; action	nongold
49	fast is the opposite of slow	nongold
50	a student is a kind of human	nongold
51	slowest means lowest in  speed	nongold
52	objects are made of materials; substances; matter	nongold
53	seconds ( s; sec ) are a  metric unit used for measuring time generally used for values between 1.0 and 300.0	nongold
54	both means two	nongold
55	meters ( m ) are a  metric; SI unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
56	a device requires energy to operate	nongold
57	recording is similar to measuring	nongold
58	measuring is a kind of science skill	nongold
59	centimeters ( cm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 250.0	nongold
60	answering questions requires information	nongold
61	measuring is used for describing an object	nongold
62	useful means good to use	nongold
63	a machine is a kind of  device	nongold
64	stopping a moving object changes kinetic energy into potential energy	nongold
65	as kinetic energy of an object increases , that object will travel faster	nongold
66	twice the speed of is simiar to  faster	nongold
67	performing lab expiriments accurately requires reading; understanding all directions beforehand	nongold
68	a velocity is a measure of a speed in a direction	nongold
69	to belong to a class means to be a kind of something	nongold
70	if an object accelerates then that object will go faster	nongold
71	speed is  a measure of how fast the wave passes the medium	nongold
72	high is similar to increase	nongold
73	person is synonymous with human	nongold
74	counter means reduce; stop; resist	nongold
75	speed up means increase	nongold
76	to slow; to slow down decreases speed	nongold
77	as an object is moving down , the speed of the object  will increase	nongold
78	property is similar to measurement	nongold
79	a wheel is a kind of object	nongold
80	fast means quickly	nongold
81	a watch requires electrical energy to operate	nongold
82	a unit for measuring time is a kind of time interval	nongold
83	helping something has a  positive impact on that something	nongold
84	motion is a source of kinetic energy in an object	nongold
85	calculation means measurement	nongold
86	movement is a kind of change	nongold
87	riding is a kind of motion	nongold
88	an increase is a kind of change	nongold
89	riding something is to move that thing over a surface	nongold
90	an part of an object is smaller than the entire object	nongold
91	as an object moves faster , the kinetic energy of that object will increase	nongold
92	joules ( J ) are an  SI unit used for measuring mechanical energy; work generally used for values between 1.0 and 1000.0	nongold
93	force causes the speed of an object to increase; to decrease	nongold
94	picometer ( pm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
95	a human can pedal a bicycle	nongold
96	a type is synonymous with a kind	nongold
97	travel means to move	nongold
98	a vehicle is a kind of object	nongold
99	a foot is a part of some animals for walking	nongold
