Question	The distance from Earth to the Sun is about 150,000,000 km. What abbreviation do scientists use to describe this distance?	question
Answer	light-year	answer
0	a light-year is used for describing long distances	nongold
1	light year is a measure of the distance light travels in one year	nongold
2	light years ( ly ) are a  astronomy unit used for measuring length; distance generally used for values between 1.0 and 27000000000.0	nongold
3	meters;centimeters;kilometers are used to describe distance; describe length	nongold
4	a star is a kind of celestial object; celestial body	nongold
5	astronomy is the study of celestial (objects, bodies)	nongold
6	the properties of something can be used to identify; used to describe that something	nongold
7	Earth is a kind of planet	nongold
8	the Sun is a kind of star	nongold
9	years are a kind of unit for measuring time	nongold
10	the properties of something are used for describing that something	nongold
11	astronomical unit is a measure of distance between Earth and the Sun	gold
12	years ( y ) are a  metric unit used for measuring time generally used for values between 1.0 and 14000000000.0	nongold
13	stars are located light years apart from each other	nongold
14	sunlight is a kind of light	nongold
15	the sun is a source of light; light energy called sunlight	nongold
16	a scientist is a kind of human	nongold
17	a planet is a kind of celestial object; body	nongold
18	kilometers ( km ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 50000000.0	nongold
19	1 year is equal to 365 days	nongold
20	the Sun is the  star that is closest to Earth	nongold
21	the sun is a kind of yellow dwarf	nongold
22	astronomy is a kind of branch of science	nongold
23	something's function can be used to describe; identify that something	nongold
24	a complete revolution of the Earth around the sun takes 1; one year; solar year; Earth year	nongold
25	astronomical body means celestial body	nongold
26	galaxies are located  millions of light years from Earth	nongold
27	approximately means about	nongold
28	a star is a source of light; light energy through nuclear reactions	nongold
29	galaxies are usually thousands of light years in diameter	nongold
30	measuring is used for describing an object	nongold
31	a planet's distance from the star causes the length of a planetary year	nongold
32	furthest; farthest means greatest; most; highest in distance	nongold
33	1 year is equal to 12 months	nongold
34	Earth is a planet that is closer to the  Sun than Jupiter	nongold
35	information is used to describe something	nongold
36	light means light energy	nongold
37	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
38	answering questions requires information	nongold
39	the location of an object can be used to describe that object	nongold
40	scientists make observations	nongold
41	a type is synonymous with a kind	nongold
42	form means kind	nongold
43	greatest means largest; highest; most amount of something	nongold
44	light is a kind of wave	nongold
45	miles are a kind of unit for measuring distance	nongold
46	a galaxy is a kind of celestial body; celestial object	nongold
47	can be means able to be	nongold
48	Neptune has the longest solar year; planetary year in the solar system	nongold
49	a star produces light and heat	nongold
50	no longer means used to be	nongold
51	UV light is a kind of light	nongold
52	months ( m ) are a  metric unit used for measuring time generally used for values between 1.0 and 24.0	nongold
53	a description sometimes provides information	nongold
54	length of time means period of time	nongold
55	days are a kind of unit for measuring time	nongold
56	months are a kind of unit for measuring time	nongold
57	to a human a time period of 1000 years or more years is considered very long	nongold
58	the Earth revolves around the sun	nongold
59	period is similar to amount of time	nongold
60	celestial bodies; celestial objects are found in space	nongold
61	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
62	the sun is a source of radiation; heat called sunlight	nongold
63	indefinite means variable	nongold
64	days ( d ) are a  metric unit used for measuring time generally used for values between 1.0 and 365.0	nongold
65	planets orbit stars	nongold
66	Earth is the planet that is third closest to the  Sun	nongold
67	as the distance of a planet from the star  it orbits increases , the length of a planetary year on that planet will increase	nongold
68	to be used for something means to be required by that something	nongold
69	amount is similar to number	nongold
70	stars can be classified by temperature; color; chemical composition; brightness	nongold
71	angstrom ( Å ) is a metric unit used for measuring wavelength; interatomic distance; length; distance	nongold
72	Mars is a kind of planet	nongold
73	sunlight means solar energy	nongold
74	lowest means least in value; amount; number	nongold
75	sunshine means sunlight	nongold
76	far means great in distance	nongold
77	distant means great in distance	nongold
78	a source of something emits; produces; generates; provides that something	nongold
79	composed of means made of	nongold
80	affected means changed	nongold
81	yearly means every year	nongold
82	annual means once per year	nongold
83	a theory is a kind of scientific term	nongold
84	the Sun transmits light to earth through space	nongold
85	light is a kind of energy	nongold
86	light is a kind of energy	nongold
87	events occur at a specific place; at a specific time; with a specific frequency	nongold
88	usually means most of the time	nongold
89	stars make their own light	nongold
90	a meter is a kind of unit for measuring distance; measuring length	nongold
91	to add means to increase	nongold
92	quantity means amount	nongold
93	largest amount means most	nongold
94	provide is similar to give; make	nongold
95	variable means able to change	nongold
96	centuries are a kind of unit for measuring time	nongold
97	extreme means very high in value	nongold
98	hours are a kind of unit for measuring time	nongold
99	meters ( m ) are a  metric; SI unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
