Question	Helen is preparing a presentation about objects in the solar system. She includes facts about the order of the planets and their distances from the Sun. Which statement could she include in an accurate presentation?	question
Answer	Earth is one astronomical unit from the Sun.	answer
0	astronomical unit is a measure of distance between Earth and the Sun	gold
1	Earth is a kind of planet	gold
2	a planet is a kind of celestial object; body	gold
3	a star is a kind of celestial object; celestial body	gold
4	the Sun is a kind of star	gold
5	astronomy is the study of celestial (objects, bodies)	nongold
6	astronomical body means celestial body	nongold
7	planets in the solar system orbit the Sun	nongold
8	Earth is a planet that is closer to the  Sun than Jupiter	nongold
9	distance is a property of space and includes ordered values of close; far	nongold
10	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
11	the solar system is a kind of system	nongold
12	the Earth revolves around the sun	nongold
13	increasing is a kind of order	nongold
14	system means a set of objects	nongold
15	light years ( ly ) are a  astronomy unit used for measuring length; distance generally used for values between 1.0 and 27000000000.0	nongold
16	the solar system contains eight planets	nongold
17	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
18	a living thing is a kind of object	nongold
19	unit is similar to part	nongold
20	a planet is a kind of location	nongold
21	astronomy is a kind of branch of science	nongold
22	the sun is a source of light; light energy called sunlight	nongold
23	both means two	nongold
24	the Sun is the  star that is closest to Earth	nongold
25	Earth is the planet that is third closest to the  Sun	nongold
26	far means great in distance	nongold
27	all the other means the rest of	nongold
28	An example of following orders is coming when called	nongold
29	an object; material; substance comes from that object or material's source	nongold
30	answering questions requires information	nongold
31	celestial bodies; celestial objects are found in space	nongold
32	a planet is a kind of place	nongold
33	distant means great in distance	nongold
34	one is a kind of number	nongold
35	an event is a kind of action	nongold
36	Neptune is a kind of planet in the solar system	nongold
37	the sun rises in the east	nongold
38	a unit for measuring time is a kind of time interval	nongold
39	where something  comes from is a source of that something	nongold
40	high is similar to increase	nongold
41	an object is made of its parts	nongold
42	the sun is  the largest celestial body in our solar system	nongold
43	planets orbit stars	nongold
44	can be means able to be	nongold
45	the properties of something are used for describing that something	nongold
46	increase means more	nongold
47	Mars is a kind of planet	nongold
48	a motion is a kind of event; action	nongold
49	length of time means period of time	nongold
50	a ratio is a measure of one measure over another measure; divided by another measure	nongold
51	the sun is a source of radiation; heat called sunlight	nongold
52	a source of something emits; produces; generates; provides that something	nongold
53	to show means to present	nongold
54	sunlight is a kind of solar energy	nongold
55	sunlight is a kind of light	nongold
56	a type is synonymous with a kind	nongold
57	a measure of time is a length of time	nongold
58	a light-year is used for describing long distances	nongold
59	planets reflect the light of the sun	nongold
60	including means containing	nongold
61	a component means a part of	nongold
62	if something comes from something else then that something else is a source of that something	nongold
63	a component of something means a part of that something	nongold
64	setting is a kind of motion	nongold
65	the sun setting is a kind of event	nongold
66	meters ( m ) are a  metric; SI unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
67	made up of means contains; made of	nongold
68	the sun sets in the west	nongold
69	form means kind	nongold
70	if an object orbits a celestial object then that object is probably a celestial object as well	nongold
71	approximately means about	nongold
72	a landform is a kind of object	nongold
73	movements of celestial bodies are a kind of event	nongold
74	planets have cleared their orbits	nongold
75	an part of an object is smaller than the entire object	nongold
76	a process is a kind of event	nongold
77	a star produces light and heat	nongold
78	Jupiter is a kind of planet	nongold
79	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
80	an increase is a kind of change	nongold
81	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
82	a human is a kind of animal	nongold
83	a planet's distance from the star causes the length of a planetary year	nongold
84	all the time means at day and at night	nongold
85	information is used to describe something	nongold
86	composed of means made of	nongold
87	seconds are a kind of unit for measuring time	nongold
88	a description sometimes provides information	nongold
89	sunlight means solar energy	nongold
90	a part of a process means a stage in a process	nongold
91	a scientific inference is a kind of explanation based on facts that is not a direct observation	nongold
92	knowing the properties of something means knowing information about that something	nongold
93	objects are made of materials; substances; matter	nongold
94	the sun is the source of solar energy called sunlight	nongold
95	the sun  is the source of energy for physical cycles on Earth	nongold
96	variable means able to change	nongold
97	days are a kind of unit for measuring time	nongold
98	not is similar to the opposite of	nongold
99	an increase is the opposite of a decrease	nongold
