Question	Which tool should a student use to compare the masses of two small rocks?	question
Answer	balance	answer
0	a balance is a kind of instrument for measuring mass; measuring weight	gold
1	a balance is used for measuring mass;weight of an object; of a substance	gold
2	a student is a kind of human	nongold
3	comparing requires measuring	gold
4	comparing requires observing that something	nongold
5	instrument means tool	gold
6	mass is a property of objects; matter	nongold
7	mass; weight is a property of matter; objects; materials	nongold
8	a tool is a kind of object	nongold
9	a rock is a kind of object	gold
10	mass is similar to size	nongold
11	both means two	nongold
12	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
13	device means tool	nongold
14	unbalanced is the opposite of balanced	nongold
15	small is the opposite of large	nongold
16	larger means greater; higher; more; increase in size	nongold
17	mass is a measure of the amount of matter in an object	nongold
18	classifying means grouping objects; materials by their properties	nongold
19	objects are made of materials; substances; matter	nongold
20	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
21	mass is a kind of physical property	nongold
22	an object is made of its parts	nongold
23	to be used for something means to be required by that something	nongold
24	smaller means less; lower in size	nongold
25	as the class of a rock changes ,  the mass of the rock will stay the same	nongold
26	an part of an object is smaller than the entire object	nongold
27	different classes of rocks are formed by different methods	nongold
28	two objects are usually different in size	nongold
29	measuring is used for describing an object	nongold
30	classifying requires comparing	nongold
31	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
32	mass; weight are the same on Earth	nongold
33	counter means reduce; stop; resist	nongold
34	an instrument is a piece of equipment	nongold
35	class is a measure of how a rock is formed	nongold
36	affected means changed	nongold
37	rock is a kind of material	nongold
38	a human is a kind of animal	nongold
39	high is similar to increase	nongold
40	larger; bigger is the opposite of smaller	nongold
41	greater means higher; more in value	nongold
42	breaking down an object changes that object's shape and that object's mass	nongold
43	mass; weight is an extensive property	nongold
44	massive means great in mass	nongold
45	instrument means device	nongold
46	determining often requires measuring; observing	nongold
47	motion; movement means moving; to move	nongold
48	as the shape of an object changes , the mass of that object will stay the same	nongold
49	measuring requires reading a measurement	nongold
50	calculation means measurement	nongold
51	can be means able to be	nongold
52	a rock is usually a solid	nongold
53	using tools is a learned characteristic	nongold
54	the gravitational force of a planet; of a celestial object does not change the mass of an object on that planet or celestial body	nongold
55	to measure means to calculate	nongold
56	variability of shape; variability of volume is a property of matter and includes values of variable; definite	nongold
57	when two or more elements; molecules combine chemically , the mass of the product is equal to the combined masses of the elements or molecules	nongold
58	if a property affects a value then that property is needed to calculate that value	nongold
59	rocks contacting; rubbing each other over long periods of time causes those rocks to smooth	nongold
60	a kilogram is a kind of unit for measuring mass	nongold
61	highest means largest; greatest; most in height	nongold
62	matter; materials; substances are made of atoms; particles	nongold
63	higher means greater; above in value; amount; number	nongold
64	height is a property of the size of an object	nongold
65	density is a measure of mass of an object over volume; divided by volume	nongold
66	to be made of something means to be formed of that something	nongold
67	massive is similar to large	nongold
68	to add means to increase	nongold
69	same means identical; equal in value; amount; number; quantity	nongold
70	variable means able to change	nongold
71	length is a part of size	nongold
72	motion is when moves an object; something to a direction	nongold
73	a pebble is a kind of small rock	nongold
74	class is a property of a rock and includes values of sedimentary; metamorphic; igneous	nongold
75	if an object is made of something then the parts of that object are made of that something	nongold
76	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
77	rock means stone	nongold
78	as state of matter changes , mass will not change	nongold
79	extreme means very high in value	nongold
80	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
81	experimentation requires measuring	nongold
82	strong means high in strength	nongold
83	a piece of an object is smaller in size than the whole object	nongold
84	if the volume of a substance; of a matter expands while the mass remains the same , then the molecules in that substance; matter move farther apart	nongold
85	a simple machine is a kind of tool	nongold
86	a landform is a kind of object	nongold
87	phase changes do not change mass	nongold
88	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
89	classifying is when one sorts something by kind; type	nongold
90	if two things are made from the same objects; material then those two things are similar	nongold
91	variability of shape; variability of volume is a kind of physical property	nongold
92	placing liquids in the same container and observing how those liquids settle can be used to compare the densities of those liquids	nongold
93	a star's type is determined by the star's mass	nongold
94	the mass of an object causes the gravitational force exerted by that object	nongold
95	an increase is a kind of change	nongold
96	particles in objects are a kind of matter	nongold
97	length is a measure of distance from one end of an object to the other end of that object	nongold
98	temperature changing does not cause mass to change	nongold
99	as mass of a planet; of a celestial body increases , the force of gravity on that planet will increase	nongold
