Question	A student has a liquid that does not mix with water. To predict whether the liquid will float on water or sink beneath it, which tools should be used to examine the liquid?	question
Answer	graduated cylinder and balance	answer
0	inspect; observe means examine	nongold
1	a graduated cylinder is used to measure volume of a liquid; of an object	gold
2	a graduated cylinder is a kind of instrument for measuring volume of liquids or objects	gold
3	a student is a kind of human	nongold
4	examining sometimes requires measuring	nongold
5	a balance is a kind of instrument for measuring mass; measuring weight	gold
6	a graduated cylinder is a kind of container	nongold
7	a balance is used for measuring mass;weight of an object; of a substance	gold
8	to study means to examine	nongold
9	a tool is a kind of object	nongold
10	sinking means moving down	nongold
11	instrument means tool	gold
12	beneath means below	nongold
13	investigating sometimes requires measuring	nongold
14	determining often requires measuring; observing	nongold
15	studying is similar to investigating	nongold
16	device means tool	nongold
17	less dense liquids; particles in liquids; materials float liquids; particiles in liquids; materials that are more dense	nongold
18	below means lower down	nongold
19	settle below is the opposite of float on	nongold
20	a liquid is a kind of fluid	nongold
21	as the surface area of an object increases ,  the ability to float in an liquid or gas of the object will increase	nongold
22	a mixture is a kind of substance	nongold
23	a liquid is a kind of substance	nongold
24	water is a kind of substance	nongold
25	an instrument is a piece of equipment	nongold
26	a drop is a kind of liquid small amount	nongold
27	water is a kind of liquid at room temperature	nongold
28	studying  something usually requires seeing that something	nongold
29	investigation sometimes requires experimentation	nongold
30	studying is similar to observing	nongold
31	a drop is a small amount of liquid	nongold
32	objects are made of materials; substances; matter	nongold
33	drop means decrease	nongold
34	water is a kind of object	nongold
35	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
36	unbalanced is the opposite of balanced	nongold
37	gas is a kind of substance	nongold
38	to be used for something means to be required by that something	nongold
39	the bottom is the lowest part of something	nongold
40	a container contains objects; material; substances	nongold
41	if an object in a fluid is more dense than that fluid then that object will sink in that fluid because of gravity	nongold
42	water is a kind of matter	nongold
43	a mixture usually is made of objects with different physical properties	nongold
44	instrument means device	nongold
45	substances are made of matter	nongold
46	motion; movement means moving; to move	nongold
47	low means down	nongold
48	gas is a kind of object	nongold
49	a magnifying glass is a kind of tool for observing small things	nongold
50	if a substance is poured , then that something will sink down	nongold
51	a surface is a part of an object	nongold
52	observe means see	nongold
53	an increase is the opposite of a decrease	nongold
54	a simple machine is a kind of tool	nongold
55	calculation means measurement	nongold
56	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
57	a human is a kind of animal	nongold
58	liquid is a kind of state of matter	nongold
59	heat means heat energy	nongold
60	examining is a kind of process	nongold
61	counter means reduce; stop; resist	nongold
62	below is the opposite of above	nongold
63	low is similar to decrease	nongold
64	looking is similar to observing	nongold
65	both means two	nongold
66	a surface is a kind of object	nongold
67	a surface is a part of a material	nongold
68	underwater means below water	nongold
69	high is similar to increase	nongold
70	matter; materials; substances are made of atoms; particles	nongold
71	sink down is similar to settle	nongold
72	to lower means to decrease	nongold
73	measuring is a kind of observing	nongold
74	to reduce means to decrease	nongold
75	an mixture is formed by two or more substances combined together physically	nongold
76	to be submerged means to be placed under	nongold
77	a container is a kind of object	nongold
78	to drop means to fall	nongold
79	gas is a kind of material	nongold
80	person is synonymous with human	nongold
81	sinking is a kind of downward direction	nongold
82	if something is dropped into a container of something else then that something is touching that something else	nongold
83	if one surface; one substance; one object touches something then one is exposed to that something	nongold
84	downward means down	nongold
85	not is similar to the opposite of	nongold
86	if an object is made of a material then that object has the properties of that material	nongold
87	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
88	depth is a property of the shape of an object	nongold
89	gravity;gravitational force causes objects that have mass; substances to be pulled down; to fall on a planet	nongold
90	tool is similar to appliance	nongold
91	if one surface is moved against; moved over; moved down another surface then those surfaces are touching	nongold
92	depth is a kind of distance vertically	nongold
93	under water means covered by water; in water	nongold
94	low is the opposite of high	nongold
95	to settle below is similar to to flow underneath	nongold
96	gas is a kind of state of matter	nongold
97	settling in a liquid is the opposite of staying suspended in a liquid	nongold
98	temperature is a measure of heat energy	nongold
99	to slow; to slow down decreases speed	nongold
