Question	Visible light is which type of wave?	question
Answer	electromagnetic	answer
0	visible light is a kind of  light	gold
1	a type is synonymous with a kind	nongold
2	visible light is a part of the electromagnetic spectrum	nongold
3	electromagnetic wave is a kind of  wave	gold
4	light is a kind of wave	nongold
5	light is a kind of electromagnetic radiation	gold
6	visible  light is the smallest range within the electromagnetic spectrum	nongold
7	frequency is a property of a wave; a particel of light; an event	nongold
8	electromagnetic radiation means electromagnetic energy	gold
9	electromagnetic energy travels as electromagnetic waves	gold
10	infrared wave is a kind of  electromagnetic wave	nongold
11	visible light is made of lights of different colors including violet, blue, green, yellow, orange, red light	nongold
12	form means kind	nongold
13	a wave is a kind of object	nongold
14	observable means visible	nongold
15	visible means able to be seen	nongold
16	electromagnetic energy is a kind of energy	nongold
17	electromagnetic radiation is arranged in the electromagnetic spectrum by wavelength; frequency	nongold
18	visible lights can be divided into smaller ranges of light waves by the range of colors	nongold
19	electromagnetic spectrum is bands; ranges of frequencies of light waves	nongold
20	radio wave is a kind of electromagnetic wave	nongold
21	can be means able to be	nongold
22	electromagnetic radiation distorts the frequency of the radio waves	nongold
23	electromagnetic wave is not a mechanical wave	nongold
24	radio signal is a kind of radio wave	nongold
25	to be formed by is similar to being produced by	nongold
26	composed of means made of	nongold
27	sight means to see	nongold
28	different types of light have different wavelengths	nongold
29	light is made of photons	nongold
30	light means light energy	nongold
31	wavelength is a property of wave	nongold
32	radiation is when electromagnetic waves transfers heat and light energy	nongold
33	if something is visible , then that something can be observed	nongold
34	to be made of something means to be formed of that something	nongold
35	a wave is formed by the vibration of the source spreading around from the source	nongold
36	UV light is a kind of light	nongold
37	light is a kind of energy	nongold
38	light is a kind of energy	nongold
39	classifying is when one sorts something by kind; type	nongold
40	sound wave is a kind of wave	nongold
41	electromagnetic waves can travel through a vacuum and matter	nongold
42	ionizing radiation is a kind of electromagnetic wave	nongold
43	sight means vision	nongold
44	emit means produce	nongold
45	a source of something emits; produces; generates; provides that something	nongold
46	a kind of something is an example of that something	nongold
47	to give is similar to to cause	nongold
48	intense means high in intensity	nongold
49	all electromagnetic waves have the same speed of 300000 km/s	nongold
50	eyes can sense;detect light energy for seeing	nongold
51	ultraviolet light is a kind of electromagnetic energy	nongold
52	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
53	variable means able to change	nongold
54	microwave is a kind of electromagnetic wave	nongold
55	visible light is able to be seen without using equipment	nongold
56	seeing is used for sensing visual things	nongold
57	affected means changed	nongold
58	light reflecting off of an object causes that object to be visible to the observer	nongold
59	objects are made of materials; substances; matter	nongold
60	to convert means to change	nongold
61	seeing requires light	nongold
62	all waves transfer; transmit energy from one place to another	nongold
63	the ability to refract is a property of waves	nongold
64	to cause means to make	nongold
65	make means produce	nongold
66	not visible means cannot be seen	nongold
67	state means form	nongold
68	the range of visible light approximately is less than 10% in electromagnetic spectrum	nongold
69	refraction is when light passes from one medium to another medium	nongold
70	amplitude is a property of wave	nongold
71	causing means influencing	nongold
72	sunlight is a kind of light	nongold
73	matter; materials; substances are made of atoms; particles	nongold
74	radiation means radiant energy	nongold
75	made up of means contains; made of	nongold
76	infrared light has a longer wavelength than visible light	nongold
77	generate means produce	nongold
78	no longer means used to be	nongold
79	provide is similar to give; make	nongold
80	causing is similar to generating	nongold
81	an x ray is a kind of electromagnetic energy	nongold
82	refraction is a property of light	nongold
83	a type of something is a kind of property of that something	nongold
84	to produce means to create	nongold
85	reflection is when light is reflected from one object; one place to  another object; another place	nongold
86	extreme means very high in value	nongold
87	category means kind	nongold
88	glass; objects made of glass cause refraction of light	nongold
89	a component means a part of	nongold
90	human eyes can only see light in the range of visible light	nongold
91	refraction is when a wave goes through; transmits through; passes through a surface; a material; an object and travels in a different direction relative to the angle of incidence	nongold
92	to look like means to have the visual properties of	nongold
93	invisible means cannot be seen	nongold
94	greatest means largest; highest; most amount of something	nongold
95	intense means extreme	nongold
96	electrical signals are made of electrical energy	nongold
97	the radio receives radio waves	nongold
98	if something is made of something else then that something can be broken down into that something else	nongold
99	to disperse means to separate	nongold
