Question	Which force keeps the planets in their orbits around the Sun?	question
Answer	gravity	answer
0	revolving  around something means orbiting that something	nongold
1	to keep a process or event happening is similar to causing that process or event to happen	nongold
2	to keep something occurring means to cause that something to occur	gold
3	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
4	gravity causes orbits	gold
5	planets orbit stars	gold
6	a planet completes one orbit around its star over a period of one planetary year	nongold
7	a planet is a kind of celestial object; body	nongold
8	planets in the solar system orbit the Sun	nongold
9	orbiting is a kind of action	nongold
10	the Sun is a kind of star	gold
11	gravity is a kind of force	gold
12	the Earth revolves around the sun	nongold
13	keeping means staying	nongold
14	a star is a kind of celestial object; celestial body	nongold
15	the mass of a planet causes the pull of gravity on that planet	nongold
16	Celestial bodies move in orbits in space around other celestial bodies	nongold
17	as mass of a planet; of a celestial body increases , the force of gravity on that planet will increase	nongold
18	a revolution occurs when something revolves around something else	nongold
19	the sun is the strongest source of gravity in the solar system	nongold
20	being around something means surrounding  that something	nongold
21	if an object escapes the gravitational pull of a planet then that object is no longer affected by the gravitational pull of that planet	nongold
22	the gravitational force of a planet; of a celestial object does not change the mass of an object on that planet or celestial body	nongold
23	a motion is a kind of event; action	nongold
24	an increase is a kind of change	nongold
25	gravity pulls objects towards planets	nongold
26	orbit means orbital path	nongold
27	to keep something from happening means to prevent that something	nongold
28	planetary orbits are mostly elliptical	nongold
29	as the mass of a planet; of a celestial object decreases , the surface gravity of that planet; of that celestial object weakens	nongold
30	pulling is a kind of motion	nongold
31	all planets orbit the sun in the same direction	nongold
32	the sun is a kind of yellow dwarf	nongold
33	Earth is a kind of planet	nongold
34	gravity;gravitational force causes objects that have mass; substances to be pulled down; to fall on a planet	nongold
35	an event is a kind of action	nongold
36	planets have cleared their orbits	nongold
37	a pull is a kind of force	nongold
38	change is a kind of impact	nongold
39	high is similar to increase	nongold
40	revolving is a kind of motion	nongold
41	force requires energy	nongold
42	to maintain means to not change	nongold
43	additional force is similar to outside force	nongold
44	a change is a kind of event	nongold
45	a process is a kind of event	nongold
46	a force is a kind of push or pull on an object	nongold
47	a decrease is a kind of change	nongold
48	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
49	an animal is a kind of living thing	nongold
50	revolving is a kind of action	nongold
51	affected means changed	nongold
52	setting is a kind of motion	nongold
53	a complete revolution of the Earth around the sun takes 1; one year; solar year; Earth year	nongold
54	orbit is a kind of characteristic	nongold
55	variable means able to change	nongold
56	the sun is a source of light; light energy called sunlight	nongold
57	magnetism is a kind of force	nongold
58	a star is usually larger than a planet	nongold
59	a source of something emits; produces; generates; provides that something	nongold
60	to turn means to change	nongold
61	helping something has a  positive impact on that something	nongold
62	lowering is a kind of motion	nongold
63	gravitational fore is a kind of non-contact force	nongold
64	to change means to cause a change	nongold
65	change is a kind of process	nongold
66	motion; movement means moving; to move	nongold
67	push is a kind of force; application of force	nongold
68	Jupiter is a kind of planet	nongold
69	pushing is a kind of motion	nongold
70	to create means to make	nongold
71	rotation is a kind of motion	nongold
72	a planet is a kind of place	nongold
73	a factor impacts something	nongold
74	can be means able to be	nongold
75	Mars is a kind of planet	nongold
76	the Sun is the  star that is closest to Earth	nongold
77	raising is a kind of motion	nongold
78	sliding is a kind of motion	nongold
79	a planet is exposed to the heat of the star around which it revolves	nongold
80	a source of something increases the amount of that something	nongold
81	if something releases something else then that something is the source of that something else	nongold
82	a component means a part of	nongold
83	Jupiter is a kind of outer planet	nongold
84	mechanical force is a kind of mechanical energy	nongold
85	movement is a kind of change	nongold
86	to change means to have an effect	nongold
87	turning is a kind of motion	nongold
88	a component of something means a part of that something	nongold
89	increase means more	nongold
90	to produce means to create	nongold
91	something that happens is a kind of event	nongold
92	shaking is a kind of motion	nongold
93	to impact means to affect	nongold
94	requiring is similar to needing help	nongold
95	force causes the speed of an object to increase; to decrease	nongold
96	if something is required for a process then keeping that something from reaching that process can stop that process	nongold
97	to remain means to stay where it is	nongold
98	Weight is  the  force of gravity acting on an object	nongold
99	gravity accelerates an object while that object falls by pulling on it	nongold
