Question	Which gas, when condensed into its liquid state in the atmosphere, forms clouds?	question
Answer	water vapor	answer
0	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	gold
1	clouds are formed by water vapor rising into colder regions of the atmosphere and condensing	gold
2	clouds are made of water vapor; rain droplets	nongold
3	condensation causes clouds to form	nongold
4	condensing means matter; a substance changes from a gas into a liquid by decreasing heat energy	gold
5	condensing means liquid water coming together in the air	nongold
6	state means form	nongold
7	water is a kind of liquid at room temperature	nongold
8	condensing causes a liquid to form	nongold
9	condensation is when matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
10	vapor is synonymous with gas	nongold
11	phase means state	nongold
12	water is a kind of matter	nongold
13	water is a kind of substance	gold
14	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	gold
15	atmosphere means  air	nongold
16	clouds are located in the atmosphere	nongold
17	condensing is when gasses are  cooled below their boiling point	nongold
18	condensing is a kind of  phase change	nongold
19	form means kind	nongold
20	An example of moisture is water vapor in the atmosphere	nongold
21	air is a kind of gas	nongold
22	a cloud is a kind of object	nongold
23	gas is a kind of state of matter	nongold
24	steam;water vapor is a kind of water above 100 degrees celsius	nongold
25	water vapor is found in the atmosphere	nongold
26	the atmosphere contains gases; liquids; solids	nongold
27	liquid is a kind of state of matter	nongold
28	condensing is a kind of process	nongold
29	condensation is a kind of process	nongold
30	clouds are usually found in the sky	nongold
31	air is a kind of matter	nongold
32	heat means heat energy	nongold
33	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
34	atmospheric means of the atmosphere	nongold
35	gas is a kind of substance	nongold
36	temperature is a measure of heat energy	nongold
37	moisture means liquid; liquid water	nongold
38	a cloud is a kind of weather	nongold
39	gaseous means of gas	nongold
40	the Earth's atmosphere is made of 0 to 4 percent hydrogen; water vapor by volume	nongold
41	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
42	when clouds become cold , those clouds will condense	nongold
43	water vapor condensing in clouds causes rain	nongold
44	a source of something emits; produces; generates; provides that something	nongold
45	cloudy means the presence  of clouds in the sky	nongold
46	water vapor is a kind of greenhouse gas	nongold
47	solid is a kind of state of matter	nongold
48	carbon dioxide is a kind of gas	nongold
49	to be made of something means to be formed of that something	nongold
50	a liquid is a kind of substance	nongold
51	condensation is a stage in the water cycle process	nongold
52	Earth contains water; ice; (steam, water vapor)	nongold
53	to add means to increase	nongold
54	oxygen is a kind of gas at room temperature	nongold
55	heating means adding heat	nongold
56	humidity is the amount of water vapor; moisture in the air; in the atmosphere	nongold
57	to give off means to be the source of	nongold
58	liquid; solid means nongaseous	nongold
59	a  gas is a kind of  element	nongold
60	the air is a kind of substance	nongold
61	state of matter means physical state	nongold
62	water is a kind of object	nongold
63	to change into means to form	nongold
64	hydrogen is a kind of gas at room temperature	nongold
65	formation of a state of matter is a kind of process	nongold
66	water is made of hydrogen and oxygen	nongold
67	condensing is similar to collecting	nongold
68	water is a part of an environment	nongold
69	to make means to form	nongold
70	water vapor;steam cooling causes that water vapor;steam to condense	nongold
71	steam is a kind of gas	nongold
72	answering questions requires information	nongold
73	humidity is a kind of water vapor	nongold
74	a body of water contains water	nongold
75	gas is a kind of material	nongold
76	water is an thermal; thermal energy conductor	nongold
77	boiling is when liquids are heated above their boiling point	nongold
78	a type is synonymous with a kind	nongold
79	to form means to create	nongold
80	heat energy can change the state of matter	nongold
81	gas is a kind of object	nongold
82	boiling is a kind of phase change	nongold
83	fog is formed by water vapor condensing in the air	nongold
84	a solid is a kind of substance	nongold
85	In the water cycle , condensation always follows evaporation	nongold
86	variable means able to change	nongold
87	a component means a part of	nongold
88	material means substance	nongold
89	evaporating is a kind of phase change	nongold
90	high is similar to increase	nongold
91	forming something is a kind of change	nongold
92	to be formed by is similar to being produced by	nongold
93	a body of water is a source of water	nongold
94	increase means more	nongold
95	denser means more dense	nongold
96	a component of something means a part of that something	nongold
97	an event is a kind of action	nongold
98	In the water cycle , condensation always follows transpiration	nongold
99	heat is a kind of energy	nongold
