Question	Which part of the electromagnetic spectrum can humans sense without using equipment or technology?	question
Answer	visible light	answer
0	visible light is a part of the electromagnetic spectrum	gold
1	visible light is able to be seen without using equipment	gold
2	visible light is a kind of  light	nongold
3	eyes can sense;detect light energy for seeing	nongold
4	visible  light is the smallest range within the electromagnetic spectrum	nongold
5	sight is a kind of sense	gold
6	hearing is a kind of sense	nongold
7	seeing is used for sensing visual things	nongold
8	a range of a spectrum means a part of a spectrum	nongold
9	electromagnetic spectrum is bands; ranges of frequencies of light waves	nongold
10	a human is a kind of animal	nongold
11	visible light is made of lights of different colors including violet, blue, green, yellow, orange, red light	nongold
12	light is a kind of electromagnetic radiation	nongold
13	the range of visible light approximately is less than 10% in electromagnetic spectrum	nongold
14	person is synonymous with human	nongold
15	human eyes can only see light in the range of visible light	nongold
16	visible means able to be seen	nongold
17	instrument means device	nongold
18	light is made of photons	nongold
19	light is a kind of wave	nongold
20	sunlight is made of ultraviolet, infrared, and visible light	nongold
21	electromagnetic wave is a kind of  wave	nongold
22	electromagnetic radiation means electromagnetic energy	nongold
23	device means tool	nongold
24	electromagnetic radiation is arranged in the electromagnetic spectrum by wavelength; frequency	nongold
25	human is a kind of organism	nongold
26	an instrument is a piece of equipment	nongold
27	the senses are used for making observations	nongold
28	electromagnetic energy travels as electromagnetic waves	nongold
29	a sense is a kind of ability	nongold
30	infrared wave is a kind of  electromagnetic wave	nongold
31	light means light energy	nongold
32	instrument means tool	nongold
33	can be means able to be	nongold
34	a device is a kind of object	nongold
35	feeling is when an living thing senses through touch	nongold
36	if something is visible , then that something can be observed	nongold
37	spectrum means a range of colors	nongold
38	seeing requires light	nongold
39	visible lights can be divided into smaller ranges of light waves by the range of colors	nongold
40	an animal is a kind of organism	nongold
41	sunlight is a kind of light	nongold
42	can means having the ability to	nongold
43	to be used for something means to be required by that something	nongold
44	electromagnetic energy is a kind of energy	nongold
45	sense is a kind of characteristic of an animal	nongold
46	emit means send out	nongold
47	sunlight contains infrared light	nongold
48	technology is similar to tool	nongold
49	not visible means cannot be seen	nongold
50	a star is a kind of celestial object; celestial body	nongold
51	eyes are used for seeing by animals by sensing light	nongold
52	wavelength is a property of wave	nongold
53	light reflecting off of an object causes that object to be visible to the observer	nongold
54	a wave is a kind of object	nongold
55	a machine is a kind of  device	nongold
56	answering questions requires information	nongold
57	unit is similar to part	nongold
58	an animal is a kind of living thing	nongold
59	electromagnetic radiation distorts the frequency of the radio waves	nongold
60	finding something requires sensing that something	nongold
61	light is a kind of energy	nongold
62	light is a kind of energy	nongold
63	requiring is similar to needing help	nongold
64	frequency is a property of a wave; a particel of light; an event	nongold
65	sight means vision	nongold
66	detecting is similar to observing	nongold
67	observable means visible	nongold
68	sunlight contains ultraviolet light	nongold
69	an organism is a living thing	nongold
70	harming something has a  negative impact on; effect on that something	nongold
71	a user is a kind of person	nongold
72	objects are made of materials; substances; matter	nongold
73	a source of something emits; produces; generates; provides that something	nongold
74	sense is used for obtaining information about one's environment	nongold
75	invisible means cannot be seen	nongold
76	an optical telescope requires visible light for human to use	nongold
77	viewing means observing light	nongold
78	ultraviolet light is a kind of electromagnetic energy	nongold
79	knowing the properties of something means knowing information about that something	nongold
80	events occur at a specific place; at a specific time; with a specific frequency	nongold
81	ability    is a property of things and includes ordered values of able; unable; can; cannot	nongold
82	an image transmits visual information	nongold
83	radio wave is a kind of electromagnetic wave	nongold
84	distant means great in distance	nongold
85	a person is a kind of animal	nongold
86	the sun is a source of light; light energy called sunlight	nongold
87	a photon is a kind of  particles	nongold
88	infrared light has a longer wavelength than visible light	nongold
89	sight means to see	gold
90	eyes are a part of a human for seeing	nongold
91	refraction is when light passes from one medium to another medium	nongold
92	matter; materials; substances are made of atoms; particles	nongold
93	cannot is the opposite of  can	nongold
94	to illuminate means to light up	nongold
95	animals usually distance themselves from humans	nongold
96	UV mean ultraviolet	nongold
97	the properties of something can be used to identify; used to describe that something	nongold
98	high is similar to increase	nongold
99	a living thing is a kind of object	nongold
