Question	When placed in direct sunlight, which object will absorb the most visible light energy?	question
Answer	a black sweater	answer
0	if an object; something is in the sunlight then that object; that something will absorb solar energy	nongold
1	a sweater is a kind of article of clothing	gold
2	if an object is black then that object absorbs all visible light; heat	gold
3	black objects absorbs the most sunlight	nongold
4	white objects absorbs the least sunlight	nongold
5	black is a kind of color	nongold
6	to receive sunlight means to absorb sunlight	nongold
7	a white object reflects all visible light	nongold
8	objects of other colors absorbs less amount of sunlight than black objects	nongold
9	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
10	if an object is white then that object reflects all visible light	nongold
11	black is dark in color	nongold
12	visible light is a kind of  light	nongold
13	when object is in direct light then that object is not shaded	nongold
14	color is a property of  an object; a material	nongold
15	receiving sunlight  is synonymous with absorbing sunlight	nongold
16	daylight means sunlight	nongold
17	white light is made of all colors of visible light combined	nongold
18	being  on something; placed in something; placed over something means touching  that something	nongold
19	darker objects absorb more light than light colored objects	nongold
20	light means light energy	gold
21	sunlight means solar energy	nongold
22	sunlight is a kind of light	nongold
23	reflecting light; sound is the opposite of absorbing light; sound	nongold
24	sunlight is a kind of solar energy	nongold
25	solar energy is a kind of light	nongold
26	if an object is blue , then that object absorbs all the lights except blue light	nongold
27	green is a kind of color	nongold
28	the sun is a source of light; light energy called sunlight	nongold
29	a shirt is a kind of article of clothing	nongold
30	if something is outside during the day then that something will receive sunlight	nongold
31	solar radiation means solar energy	nongold
32	being in the sun is synonymous with being in the sunlight	nongold
33	a human is a kind of animal	nongold
34	the sun is a source of radiation; heat called sunlight	nongold
35	a living thing is a kind of object	nongold
36	an article of clothing is a kind of object	gold
37	to put on means to wear	nongold
38	to be in the sun means to be in the sunlight	nongold
39	color is a kind of physical; visual property	nongold
40	to place in is similar to to move to	nongold
41	if an object is in the light then that object is blocking the light	nongold
42	solar energy is a kind of energy	nongold
43	reflection is when light is reflected from one object; one place to  another object; another place	nongold
44	cloth is a kind of material	nongold
45	gray is a combination of black and white	nongold
46	white is a kind of color	nongold
47	light is a kind of energy	nongold
48	light is a kind of energy	nongold
49	an animal is a kind of living thing	nongold
50	if an object reflects a light of a certain color then the object appears to be that color	nongold
51	if something transfers energy to something else then that something else absorbs that energy	nongold
52	being in something means touching that something	nongold
53	objects are made of materials; substances; matter	nongold
54	absorbing something harmful has a negative impact on a thing	nongold
55	if an object is made of a material then that object has the properties of that material	nongold
56	An example of camouflage is when something is; has the same color as its environment	nongold
57	placing is a kind of action	nongold
58	brightness means amount of light	nongold
59	bright means bright; light in color	nongold
60	intensity of sunlight is similar to amount of sunlight	nongold
61	coloration means a thing's color	nongold
62	increase means more	nongold
63	An example of changing shape is knitting yarn into a sweater	nongold
64	visible light is made of lights of different colors including violet, blue, green, yellow, orange, red light	nongold
65	absorbing sunlight causes objects to heat	nongold
66	absorbing energy causes objects; materials; substances to heat	nongold
67	invisible means cannot be seen	nongold
68	the color of an object can be discovered by looking at that object	nongold
69	high is similar to increase	nongold
70	solar energy is a kind of heat energy	nongold
71	if something is in something , then something is exposed to something	nongold
72	person is synonymous with human	nongold
73	if an object reflects more light then that object is more easily seen	nongold
74	dark means dark in color	nongold
75	seeing requires light	nongold
76	as lightness in color of an object increases , the ability of that object to reflect light will increase	nongold
77	greatest means largest; highest; most amount of something	nongold
78	light reflecting off of an object causes that object to be visible to the observer	nongold
79	human skin is a kind of object	nongold
80	disguise means  changing appearance to hide	nongold
81	an object is an item	nongold
82	visible means able to be seen	nongold
83	appearance is a property of objects; materials	nongold
84	most means over 50% of something	nongold
85	coat means fur coat	nongold
86	hiding means visibility; ability to be seen decreases for camouflage	nongold
87	the sun is the source of solar energy called sunlight	nongold
88	skin is a kind of material	nongold
89	Camouflage is synonymous with visual disguise	nongold
90	if an animal's fur is a color then that animal is that color	nongold
91	the sunlight occurs during the day	nongold
92	dark means a low amount of light	nongold
93	colorless means no color	nongold
94	a blue object reflects only blue light	nongold
95	An example of camouflage is when something changes color in order to have the same color as its environment	nongold
96	dark is the opposite of light	nongold
97	if an object is translucent , then some light will shine through that object	nongold
98	shiny things; objects reflect light	nongold
99	leather is a kind of material	nongold
