Question	How do most fish get the oxygen they need to survive?	question
Answer	Using their gills, they take in oxygen that is dissolved in water.	answer
0	take in means absorb	nongold
1	gills are used for breathing water by aquatic animals	nongold
2	gills are a part of a fish used for breathing water	gold
3	an animal; bacterium requires oxygen for survival; to breathe	gold
4	water contains dissolved oxygen	gold
5	taking in something means receiving; absorbing; getting something	nongold
6	a fish is a kind of aquatic animal	nongold
7	breathing is when a gill converts from oxygen in water into oxygen in blood	gold
8	to depend on; to rely on; to need means to require	nongold
9	a fish is a kind of animal	gold
10	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
11	gills are a kind of adaptation for getting oxygen underwater	nongold
12	gills are a part of trout	nongold
13	animals; living things require water for survival	nongold
14	an aquatic animal is a kind of animal	nongold
15	a gill is a kind of organ for breathing water	nongold
16	an animal; living thing requires nutrients for survival	nongold
17	a fish lives in water	nongold
18	an aquatic animal; aquatic plant requires great amounts of water to survive; thrive	nongold
19	survive means live	nongold
20	survive means live	nongold
21	an animal is a kind of living thing	nongold
22	organism requires liquid water to survive	nongold
23	water is a kind of substance	nongold
24	if a substance is dissolved in another substance then that substance is added to that other substance	nongold
25	water is a kind of liquid at room temperature	nongold
26	an organism is a living thing	nongold
27	oxygenated means having oxygen	nongold
28	requiring something means needing that something	nongold
29	aquatic animal means water animal	nongold
30	dying is the opposite of living; surviving	nongold
31	oxygen is a kind of gas at room temperature	nongold
32	take in oxygen means get oxygen into the blood	gold
33	if something is dissolved , then that something is the solute	nongold
34	oxygen rich means a high amount of oxygen	nongold
35	a liquid is a kind of substance	nongold
36	survival means to survive	nongold
37	young amphibians breathe through gills	nongold
38	an animal is a kind of organism	nongold
39	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
40	life means living things	nongold
41	if a living thing requires something then that something has a positive impact on that living thing	nongold
42	a body of water contains water	nongold
43	if something is soluble in something , then that something can be dissolved in something forming a solution	nongold
44	a fish is a kind of scaled animal	nongold
45	a living thing is a kind of object	nongold
46	taking is the opposite of giving; leaving	nongold
47	getting something increases the amount of that something	nongold
48	an animal requires enough nutrients to maintain good health; survive	nongold
49	a plant; living thing requires food for survival	nongold
50	water is a part of an environment	nongold
51	needing something means depending on that something	nongold
52	death means to die	nongold
53	if a living thing dies then that living thing is dead	nongold
54	a shark is a kind of fish	nongold
55	something that contains water is similar to a body of water	nongold
56	breathing is when animals convert oxygen into carbon dioxide	nongold
57	a human is a kind of animal	nongold
58	the increase of something required by an organism has a positive impact on that organism's survival	nongold
59	a food contains nutrients for living things	nongold
60	nonliving; non-living; die is the opposite of living; alive; live	nongold
61	requiring is similar to needing help	gold
62	organisms are a part of an environment	nongold
63	most means over 50% of something	nongold
64	a body of water is a kind of environment	nongold
65	an amphibian is a kind of animal	nongold
66	live means to be alive	nongold
67	dead means not alive	nongold
68	living things all require energy for survival	nongold
69	taking in and releasing means exchanging	nongold
70	taking in something means acquiring that something	nongold
71	a solution is formed by one substance being dissolved in another substance	nongold
72	living things require respiration to use energy	nongold
73	receive means get	nongold
74	a mammal is a kind of animal	nongold
75	an animal needs to eat food for nutrients	nongold
76	take away means decreasing	nongold
77	the respiratory system takes in oxygen from the air	nongold
78	all elements are a kind of pure substance	nongold
79	a fish is a kind of predator	nongold
80	aquatic animals; plants live in bodies of water	nongold
81	helping something has a  positive impact on that something	nongold
82	liquid water is available  for organisms	nongold
83	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
84	fish eat insects	nongold
85	high is similar to increase	nongold
86	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
87	organisms mean life	nongold
88	a plankton is a kind of animal	nongold
89	if an organism eats something then that something is a source of frood to that organism	nongold
90	water is made of hydrogen and oxygen	nongold
91	made up of means contains; made of	nongold
92	a source of something emits; produces; generates; provides that something	nongold
93	one can get something from a source	nongold
94	a solution is made of one substance dissolved in another substance	nongold
95	all animals breathe	nongold
96	if something is used to dissolve substances , then that something is the solvent	nongold
97	a body of water is a source of water	nongold
98	to be used for something means to be required by that something	nongold
99	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
