Question	How many times does the Moon rotate on its axis during a lunar month?	question
Answer	one	answer
0	a rotation of the moon takes 1; one month	gold
1	the moon rotates on its axis	gold
2	Earth rotating on its axis occurs once per day	nongold
3	each of the moon's phases occurs once per month	nongold
4	a Rotation of the Earth on Earth's axis; itself takes 1; one day	nongold
5	how many means what number	nongold
6	months are a kind of unit for measuring time	nongold
7	a revolution of the moon around the Earth takes 1; one month	nongold
8	month is a kind of period of time	nongold
9	once means one time	nongold
10	rotate means turn	nongold
11	the moon orbiting the Earth occurs once per month	nongold
12	once per means every	nongold
13	the Earth rotates on its axis	nongold
14	the day time is part of one day	nongold
15	1 month is equal to 28-31 days	nongold
16	monthly means once per month	nongold
17	cycles of day and night occur once per day	nongold
18	daily means every day; once per day	nongold
19	a moon is a kind of celestial object; body	nongold
20	to rotate means to complete a rotation	nongold
21	rotation is a kind of motion	nongold
22	many means high in number	nongold
23	days are a kind of unit for measuring time	nongold
24	a different moon phase occurs once per week	nongold
25	months ( m ) are a  metric unit used for measuring time generally used for values between 1.0 and 24.0	gold
26	annual means once per year	nongold
27	length of time means period of time	nongold
28	1 year is equal to 12 months	nongold
29	the Moon completes a lunar cycle over a period of 29 days	nongold
30	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
31	a planet rotating causes cycles of day and night on that planet	nongold
32	period is similar to amount of time	nongold
33	a cycle happens; occurs repeatedly	nongold
34	years are a kind of unit for measuring time	nongold
35	1 year is equal to 365 days	nongold
36	the moon orbits the Earth	nongold
37	a complete revolution of the Earth around the sun takes 1; one year; solar year; Earth year	nongold
38	how long something takes is a kind of measurement of time	nongold
39	1 day is equal to 24 hours	nongold
40	the Moon is Earth's moon	nongold
41	rotating is similar to moving	nongold
42	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
43	the sun rising; setting occurs once per day	nongold
44	the night time is part of one day	nongold
45	hours are a kind of unit for measuring time	nongold
46	rotation  is  the  circular movement of an object around a center; axis	nongold
47	type of moon; kind of moon means moon phase	nongold
48	the moon orbiting the Earth occurs approximately 13 times per year	nongold
49	one is a kind of number	nongold
50	the moon rising occurs once per day	nongold
51	August is a kind of month	nongold
52	a rotation is a kind of movement	nongold
53	moons are large; solid; spherical	nongold
54	rotate is similar to revolve	nongold
55	days ( d ) are a  metric unit used for measuring time generally used for values between 1.0 and 365.0	nongold
56	revolving is a kind of motion	nongold
57	yearly means every year	nongold
58	events occur at a specific place; at a specific time; with a specific frequency	nongold
59	four is a kind of number	nongold
60	1 week is equal to 7 days	nongold
61	the Earth revolves around the sun	nongold
62	spin means rotate	nongold
63	years ( y ) are a  metric unit used for measuring time generally used for values between 1.0 and 14000000000.0	nongold
64	a full moon is a kind of phase of the moon	nongold
65	a new moon is a kind of phase of the moon	nongold
66	hours ( hr ) are a  metric unit used for measuring time generally used for values between 0.25 and 72.0	nongold
67	all the time means at day and at night	nongold
68	lunar phase is synonymous with moon phase	nongold
69	June is a kind of month	nongold
70	a moon phase occurs 28 days after the last time it occurred	nongold
71	a planet is a kind of celestial object; body	nongold
72	some celestial bodies rotate in space	nongold
73	seconds are used to measure time	nongold
74	Tuesday is a kind of  time	nongold
75	a new moon occurs 14 days after a full moon	nongold
76	seconds are a kind of unit for measuring time	nongold
77	minutes are a kind of unit for measuring time	nongold
78	both means two	nongold
79	greatest means largest; highest; most amount of something	nongold
80	a measure of time is a length of time	nongold
81	the Earth rotating on its axis causes  stars; the Moon to appear to move across the sky at night	nongold
82	centuries are a kind of unit for measuring time	nongold
83	a unit for measuring time is a kind of time interval	nongold
84	noon is a kind of time of day	nongold
85	the number of parts of something is a property of that something	nongold
86	December is a kind of month	nongold
87	a first quarter is a kind of phase of the moon	nongold
88	the moon's orbit is elliptical	nongold
89	one in  two means half; 50%	nongold
90	a last quarter is a kind of phase of the moon	nongold
91	the new moon is when the dark half of the moon faces the Earth	nongold
92	a phase of the moon is a kind of state	nongold
93	the moon is the celestial object that is closest to the  Earth	nongold
94	the first quarter phase of the moon occurs after the new moon	nongold
95	lowest means least in value; amount; number	nongold
96	to happen means to occur	nongold
97	a full moon occurs after a waxing gibbous moon	nongold
98	shortest means the least amount of time	nongold
99	amount is similar to number	nongold
