Question	A class is studying the density of rock samples. What scientific equipment do they need to determine the density of the rock samples?	question
Answer	graduated cylinder and balance	answer
0	a graduated cylinder is used to measure volume of a liquid; of an object	gold
1	a graduated cylinder is a kind of instrument for measuring volume of liquids or objects	gold
2	a balance is used for measuring mass;weight of an object; of a substance	gold
3	a graduated cylinder is a kind of container	nongold
4	a balance is a kind of instrument for measuring mass; measuring weight	gold
5	density is a measure of mass of an object over volume; divided by volume	gold
6	sample is similar to small amount of substance; matter	nongold
7	a rock is a kind of object	gold
8	an instrument is a piece of equipment	gold
9	determining often requires measuring; observing	gold
10	density is a property of an object; a substance and includes ordered values of dense; not dense	nongold
11	rock is a kind of material	nongold
12	if an object has a small volume and large mass , then the object will  have a high density	nongold
13	dense means high in density	nongold
14	to depend on; to rely on; to need means to require	nongold
15	instrument means device	nongold
16	instrument means tool	nongold
17	requiring something means needing that something	nongold
18	as the mass of an object increases , the density of that object will increase	nongold
19	size; amount of space means volume	nongold
20	a device is a kind of object	nongold
21	a living thing is a kind of object	nongold
22	mass is a measure of the amount of matter in an object	nongold
23	as the volume of an object decreases , the density of that object will increase	nongold
24	a tool is a kind of object	nongold
25	a particle is a kind of object	nongold
26	device means tool	nongold
27	density is a kind of physical property	nongold
28	particles in objects are a kind of matter	nongold
29	objects are made of materials; substances; matter	nongold
30	a rain gauge is a kind of graduated cylinder	nongold
31	unbalanced is the opposite of balanced	nongold
32	material means substance	nongold
33	an part of an object is smaller than the entire object	nongold
34	volume is a property of matter	nongold
35	to belong to a class means to be a kind of something	nongold
36	substances are made of matter	nongold
37	a surface is a part of a material	nongold
38	determine is similar to cause	nongold
39	a surface is a part of an object	nongold
40	mass; weight is a property of matter; objects; materials	nongold
41	a container contains objects; material; substances	nongold
42	identifying is similar to determining	nongold
43	if an object is made of a material then that object has the properties of that material	nongold
44	if two substances have the same volume , then the  substance with less density will have less mass	nongold
45	a container is a kind of object	nongold
46	answering questions requires information	nongold
47	different substances are different in density	nongold
48	a scientist is a kind of human	nongold
49	the volume of an object can be used to describe  the size of that object	nongold
50	milliliters is a kind of unit for measuring volume of liquids	nongold
51	variable means able to change	nongold
52	the function of something is what that something  is used to do	nongold
53	class is a measure of how a rock is formed	nongold
54	matter with variable volume and shape assumes; expands to fill; takes the shape and size of its entire container	nongold
55	high is similar to increase	nongold
56	a machine is a kind of  device	nongold
57	to study means to examine	nongold
58	denser means more dense	nongold
59	liquid is a kind of state of matter	nongold
60	increase means more	nongold
61	what something needs is a property of that something	nongold
62	according to is similar to be determined by	nongold
63	Matter in the gas phase has variable volume	nongold
64	a classroom is a kind of a room	nongold
65	lab equipment is often used for measuring; observing	nongold
66	density is an intensive property	nongold
67	variability of shape; variability of volume is a property of matter and includes values of variable; definite	nongold
68	a surface is a kind of object	nongold
69	a measuring cup is a kind of tool for measuring the volume of substances	nongold
70	a weight is a kind of object	nongold
71	to be used for something means to be required by that something	nongold
72	materials are made of matter	nongold
73	needing something means depending on that something	nongold
74	requiring is similar to needing help	nongold
75	a rock is usually a solid	nongold
76	a liquid is a kind of substance	nongold
77	quantity means amount	nongold
78	length is a part of size	nongold
79	matter; materials; substances are made of atoms; particles	nongold
80	to add means to increase	nongold
81	measuring is used for describing an object	nongold
82	mass is a property of objects; matter	nongold
83	if two things perform the same function then those two things are similar	nongold
84	a type is synonymous with a kind	nongold
85	can be means able to be	nongold
86	as the class of a rock changes ,  the mass of the rock will stay the same	nongold
87	a motion is a kind of event; action	nongold
88	Matter in the solid phase has definite volume	nongold
89	a structure of something is synonymous with a part of that something	nongold
90	a rotation is a kind of movement	nongold
91	Matter in the liquid phase has definite volume	nongold
92	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
93	a machine is a kind of object	nongold
94	weight is a property of objects; matter	nongold
95	temperature is a measure of heat energy	nongold
96	speed is a measure of how fast an object is moving	nongold
97	form means kind	nongold
98	a simple machine is a kind of tool	nongold
99	pulling is a kind of motion	nongold
