Question	Which of the following elements is best able to combine with itself and hydrogen [H] to form large molecules?	question
Answer	carbon [C]	answer
0	to add means to combine	nongold
1	a molecule is made of atoms chemically combined; bonded	nongold
2	a hydrocarbon molecule is made of hydrogen and carbon by being chemically combined	gold
3	carbon is a kind of element	gold
4	chemical bonds are formed by chemically combining elements; atoms; molecules	nongold
5	hydrogen is a kind of element	nongold
6	combining; mixing two substances chemically causes chemical reactions	nongold
7	a compound is made of two or more elements that have been chemically combined	nongold
8	to be made of something means to be formed of that something	nongold
9	carbon; hydrogen; nitrogen; oxygen are the most common elements in organic compounds	nongold
10	substances are made of molecules	nongold
11	to be a combination of means to be made of	nongold
12	atom cannot be divided into smaller substances	nongold
13	oxygen  is a kind of element	nongold
14	hydrocarbon molecules can be large in size	gold
15	an element is made of one kind of atoms	nongold
16	small is the opposite of large	nongold
17	substances are made of elements	nongold
18	a pure substance is made of only one kind of atom; molecule	nongold
19	a compound can be chemically separated into the elements that it is made of	nongold
20	In a chemical reaction reactants have the role of molecules; substances that chemically combine	nongold
21	a molecule is exceptionally small in size	nongold
22	organic compounds mainly are made of carbon; hydrogen; oxygen; nitrogen	nongold
23	an  element is a kind of atom	nongold
24	an element cannot be decomposed into two or more different substances by simple chemical methods	nongold
25	can be means able to be	gold
26	nitrogen is a kind of element	nongold
27	a molecule is the smallest particle; unit that has the properties of a compound	nongold
28	many types of molecules can be formed by carbon with covalent bonds	nongold
29	to fuse means to combine	nongold
30	plus means to combine	nongold
31	all elements are a kind of pure substance	nongold
32	made up of means contains; made of	nongold
33	if something is insoluble in something , then they will remain separated	nongold
34	an atom is the smallest particle; unit that has the properties of an element	nongold
35	matter; materials; substances are made of atoms; particles	nongold
36	an atom is exceptionally small in size	nongold
37	composed of means made of	nongold
38	if a substance is made of one element , then the substance is called an element	nongold
39	forming is similar to converting	nongold
40	to change into means to form	nongold
41	An example of a chemical property is the elements a compound is made of	nongold
42	a nonmetal is a kind of element	nongold
43	an element is a kind of  substance	nongold
44	pair is a kind of combination	nongold
45	a molecule of water is made of 2 hydrogen atoms and 1 oxygen atom	nongold
46	made of is similar to contains	nongold
47	oxygen is a part of many organic molecules	nongold
48	a halogen is a kind of element	nongold
49	a molecule is a kind of particle	nongold
50	matter is made of molecules	nongold
51	if something is made of something else , then that something else will be the component of that something	nongold
52	compound is a kind of chemical	nongold
53	if something is made of something else then that something can be broken down into that something else	nongold
54	both means two	nongold
55	products are formed; are produced; are created	nongold
56	to be made of means to consist of	nongold
57	a compound is a kind of substance	nongold
58	when two substances together form a compound then those substances cannot be physically separated	nongold
59	the basic unit of matter is atom	nongold
60	chemical compounds contain chemical bonds between atoms; between elements	nongold
61	to convert means to change	nongold
62	the nitrogen family is a kind of group in periodic table	nongold
63	larger means greater; higher; more; increase in size	nongold
64	if something is made of something else then the formation of that something requires that something else	nongold
65	if something is dissolved , then that something is the solute	nongold
66	massive is similar to large	nongold
67	hydrogen contains chemical energy	nongold
68	if something is given off of something , then something is the product of something	nongold
69	decomposing is similar to separating	nongold
70	a source of something emits; produces; generates; provides that something	nongold
71	the Earth's atmosphere is made of 78 percent nitrogen by mass	nongold
72	when two or more elements; molecules combine chemically , the mass of the product is equal to the combined masses of the elements or molecules	nongold
73	living things are made of organic molecules	nongold
74	best means most positive	nongold
75	elements in the same group on the Periodic Table of Elements have similar chemical reactivity	nongold
76	oxygen; selenium; sulfur; tellurium; polonium is located in group 16; oxygen family on the periodic table	nongold
77	if something is made of something; a material then that something contains that something; that material	nongold
78	chemical reactions cause new substances; different substances to form	nongold
79	substances are made of matter	nongold
80	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
81	to make means to form	nongold
82	a component of something means a part of that something	nongold
83	able is the opposite of unable	nongold
84	chlorine is a kind of element	nongold
85	state means form	nongold
86	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
87	organic compounds are made of carbon chains with other elements attached to it	nongold
88	to cause the formation of means to form	nongold
89	an event is a kind of action	nongold
90	an atom is a kind of object	nongold
91	form means kind	nongold
92	an alkaline earth metal is a kind of element	nongold
93	an mixture is formed by two or more substances combined together physically	nongold
94	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
95	a component means a part of	nongold
96	a chemical property is the opposite of a physical property	nongold
97	water is made of hydrogen and oxygen	nongold
98	organisms are made of carbon	nongold
99	nonmetal means nonmetals	nongold
