Question	The alkaline earth metal elements are in the same family in the periodic table because they all have	question
Answer	two valence electrons.	answer
0	alkaline earth metal elements have two valence electrons	gold
1	elements in carbon family have four valence electrons	nongold
2	an alkaline earth metal is a kind of element	gold
3	the alkali metals have one valence electron	nongold
4	elements in nitrogen family have five; 5 valence electrons	nongold
5	elements in oxygen family have six; 6 valence electrons	nongold
6	valence electron means the electrons on the outer electron shell	nongold
7	if the elements are in the same family , then the elements will share the same number of valence electrons	nongold
8	Calcium; Beryllium; Strontium; Radium; Barium; Magnesium is located in alkaline earth metal family; group 2 on the periodic table	nongold
9	if the  elements have similar electron configurations , then the  elements will be grouped into same family; group on the Periodic Table of Elements	gold
10	Beryllium is located in alkaline earth metal family; group 2 on the periodic table	nongold
11	elements in alkaline earth metals family reacts with water actively	nongold
12	lithium; sodium; potassium; rubidium; caesium; francium is located in alkali metals; group 1 on the periodic table	nongold
13	nitrogen; arsenic; phosphorus; antimony is found in the nitrogen family on the periodic table	nongold
14	elements in the same group on the Periodic Table of Elements have similar chemical properties	nongold
15	elements in the same group on the Periodic Table of Elements have similar properties	nongold
16	the outer electron shell is a part of the electron configuration	nongold
17	a group; family in the periodic table means a column in the periodic table	nongold
18	electron configuration is a property of elements	nongold
19	a metal is a kind of element	nongold
20	elements in group 18 on the Periodic Table of Elements have full; complete outer electron shells	nongold
21	oxygen; selenium; sulfur; tellurium; polonium is located in group 16; oxygen family on the periodic table	nongold
22	metals are made of metal	nongold
23	metals are found on the left side of the periodic table of elements	nongold
24	helium; neon; argon; krypton; xenon; radon is located in noble gases family; group 18 on the periodic table	nongold
25	the majority of the elements on the periodic table are metals	nongold
26	an electron is a kind of charged particle	nongold
27	the  property of something is the same for the things of same kind	nongold
28	elements in the same group on the Periodic Table of Elements have similar chemical reactivity	nongold
29	an  element is a kind of atom	nongold
30	both means two	nongold
31	different is the opposite of the same	nongold
32	an element is made of one kind of atoms	nongold
33	alkali metals are located on the left side; first column on the periodic table	nongold
34	magnesium is a kind of alkaline earth metal	nongold
35	metal is a kind of substance	nongold
36	elements on the right side of the periodic table tends to form ions by gaining electrons	nongold
37	same means identical; equal in value; amount; number; quantity	nongold
38	elements on the left side of the periodic table tends to form ions by losing electrons	nongold
39	the Periodic Table is a table displays elements	nongold
40	pair means two	nongold
41	all elements are a kind of pure substance	nongold
42	if two elements are next to each other  on the Periodic Table , then the two elements will have similar size of atoms	nongold
43	an electron has a negative charge	nongold
44	an element is a kind of  substance	nongold
45	alkaline earth metals are highly reactive	nongold
46	matter; materials; substances are made of atoms; particles	nongold
47	an atom is a kind of object	nongold
48	Fluorine(F); Chlorine(Cl); Bromine(Br); Iodine(I); Astatine(At) is located in halogens family; group 17 on the periodic table	nongold
49	if something changes , then that something is not the same	nongold
50	an atom is the smallest particle; unit that has the properties of an element	nongold
51	an atom is made of protons; neutrons; electrons	nongold
52	if two things are made from the same objects; material then those two things are similar	nongold
53	substances are made of elements	nongold
54	Earth is a kind of planet	nongold
55	an element is a kind of material	nongold
56	the periodic table is systematically organized according to the structure of the atoms of the elements	nongold
57	to change means to become different	nongold
58	metal is a kind of material	nongold
59	the order of the elements in periodic table is determined by the atomic number of the elements	nongold
60	chlorine is a kind of element	nongold
61	identical is the opposite of different	nongold
62	if a substance is made of one element , then the substance is called an element	nongold
63	to belong to a class means to be a kind of something	nongold
64	Earth is made of rock	nongold
65	the nitrogen family is a kind of group in periodic table	nongold
66	if two objects; two materials have the same charge then those two objects; those two materials will repel each other	nongold
67	the periodic table is arranged in rows and columns	nongold
68	charge is a property of an object; a material; a substance and includes ordered values of negatively-charged; neutral; positively-charged	nongold
69	an element cannot be decomposed into two or more different substances by simple chemical methods	nongold
70	to be made of something means to be formed of that something	nongold
71	electrons surround; orbit the nucleus of an atom	nongold
72	elements on the left side of the Periodic Table of Elements are solids at room temperature	nongold
73	opposite is a kind of different	nongold
74	chromium is a kind of metal	nongold
75	single means one	nongold
76	can be means able to be	nongold
77	a nonmetal is a kind of element	nongold
78	atom cannot be divided into smaller substances	nongold
79	an atom is exceptionally small in size	nongold
80	all the other means the rest of	nongold
81	four is a kind of number	nongold
82	an ion with positive charge is formed by atom  losing electrons	nongold
83	tungsten is a kind of metal	nongold
84	stay the same means not changing	nongold
85	if two things perform the same function then those two things are similar	nongold
86	atoms are made of particles	nongold
87	argon is a kind of element	nongold
88	an energy level means an electron shell	nongold
89	hydrogen is a kind of element	nongold
90	a molecule is made of atoms chemically combined; bonded	nongold
91	a table is a kind of object	nongold
92	a halogen is a kind of element	nongold
93	classifying means grouping objects; materials by their properties	nongold
94	sodium is a kind of metal	nongold
95	the basic unit of matter is atom	nongold
96	an ion with negative charge is formed by atom  gaining electrons	nongold
97	composed of means made of	nongold
98	an oxygen ion is formed by gaining 2 electrons	nongold
99	to be made of means to consist of	nongold
