Question	Barry collected four different rocks. The rock with the GREATEST mass will feel the ___.	question
Answer	heaviest	answer
0	heaviest means greatest mass; weight	gold
1	greatest means largest; highest; most amount of something	nongold
2	mass; weight is a property of matter; objects; materials	gold
3	furthest; farthest means greatest; most; highest in distance	nongold
4	mass is a property of objects; matter	nongold
5	largest means greatest in size	nongold
6	less is similar to decrease	nongold
7	high is similar to increase	nongold
8	an increase is the opposite of a decrease	nongold
9	a rock is a kind of object	gold
10	mass is a measure of the amount of matter in an object	nongold
11	mass; weight are the same on Earth	nongold
12	highest means largest; greatest; most in height	nongold
13	increase means more	nongold
14	gravity;gravitational force causes objects that have mass; substances to be pulled down; to fall on a planet	nongold
15	mass; weight is an extensive property	nongold
16	weight is a measure of the force of the gravity on the mass of an object	nongold
17	low is similar to decrease	nongold
18	massive means great in mass	nongold
19	a rock is usually a solid	nongold
20	extreme means very high in value	nongold
21	the mass of an object causes the gravitational force exerted by that object	nongold
22	mass is a kind of physical property	nongold
23	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
24	density is a measure of mass of an object over volume; divided by volume	nongold
25	least is the opposite of greatest	nongold
26	strong means high in strength	nongold
27	felt is high in roughness	nongold
28	as the mass of an object increases ,  the weight of that object will increase	nongold
29	a boulder is a kind of rock	nongold
30	to lower means to decrease	nongold
31	as the mass of an object increases , the force of gravity on that object will increase	nongold
32	weak means low in strength	nongold
33	a weight is a kind of object	nongold
34	heavy means a large amount of weight	nongold
35	weight is a property of objects; matter	nongold
36	four is a kind of number	nongold
37	as the mass of an object increases , the density of that object will increase	nongold
38	mass is similar to size	nongold
39	an part of an object is smaller than the entire object	nongold
40	as mass of a planet; of a celestial body increases , the force of gravity on that planet will increase	nongold
41	greater means higher; more in value	nongold
42	rock is hard	nongold
43	feeling is when an living thing senses through touch	nongold
44	a boulder is a kind of large rock	nongold
45	Earth is greater in mass than Mars	nongold
46	weight means the force of gravity acting on an object	nongold
47	rock is a kind of material	nongold
48	a land mass is a kind of object	nongold
49	touching something means feeling that something	nongold
50	to reduce means to decrease	nongold
51	as the mass of an object decreases , the weight of that object will decrease	nongold
52	Weight is  the  force of gravity acting on an object	nongold
53	heat means heat energy	nongold
54	affected means changed	nongold
55	as the force of gravity increases , the weight of objects will increase	nongold
56	as the mass of a planet; of a celestial object decreases , the surface gravity of that planet; of that celestial object weakens	nongold
57	weaker is the opposite of stronger	nongold
58	rock means stone	nongold
59	less is the opposite of more	nongold
60	an increase is a kind of change	nongold
61	a human is a kind of animal	nongold
62	a source of something increases the amount of that something	nongold
63	a bar is a kind of object	nongold
64	low is the opposite of high	nongold
65	the gravitational force of a planet; of a celestial object does not change the mass of an object on that planet or celestial body	nongold
66	lower means less	nongold
67	as the mass of an oject decreases , the force of gravity on that object will decrease	nongold
68	strength is a property of an object; a material	nongold
69	intense means extreme	nongold
70	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
71	objects are made of materials; substances; matter	nongold
72	as rocks are buried deeper below other rocks , the pressure; heat on that rock will increase	nongold
73	the earth has more mass than the moon	nongold
74	a decrease is a kind of change	nongold
75	temperature is a measure of heat energy	nongold
76	can be means able to be	nongold
77	a source of something emits; produces; generates; provides that something	nongold
78	to be made of is similar to collection	nongold
79	intense means high in intensity	nongold
80	definite is the opposite of variable	nongold
81	not is similar to the opposite of	nongold
82	if an object has a small volume and large mass , then the object will  have a high density	nongold
83	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
84	as the class of a rock changes ,  the mass of the rock will stay the same	nongold
85	collecting is similar to absorbing	nongold
86	pull is similar to attract	nongold
87	as state of matter changes , mass will not change	nongold
88	to add means to increase	nongold
89	to collect means to gather	nongold
90	vibration is a kind of motion	nongold
91	lowest means least in value; amount; number	nongold
92	higher means greater; above in value; amount; number	nongold
93	motion; movement means moving; to move	nongold
94	a surface is a part of an object	nongold
95	metamorphic rock is a kind of rock	nongold
96	touch is a kind of sense	nongold
97	fewest means lowest; least in number	nongold
98	density is a property of an object; a substance and includes ordered values of dense; not dense	nongold
99	if two substances have the same volume , then the  substance with less density will have less mass	nongold
