Question	Which condition is associated with most warm fronts?	question
Answer	cloud formations bringing precipitation	answer
0	precipitation is a kind of weather	nongold
1	if something is a source of something else then that something is associated with that something else	nongold
2	rainfall means precipitation	nongold
3	precipitation is a property of weather	nongold
4	a cloud is a kind of weather	nongold
5	cloudy is a kind of sky condition	gold
6	to cause is similar to bring	gold
7	precipitation is when water falls from the sky	nongold
8	condition is a property of an environment	nongold
9	cloudy is a kind of  weather	nongold
10	rainfall means the amount of precipitation	nongold
11	most means over 50% of something	nongold
12	a warm front causes cloudy and rainy weather	gold
13	cloudy means the presence  of clouds in the sky	gold
14	clouds produce precipitation	gold
15	precipitation is when rain;snow;hail fall from clouds to the Earth;ground	nongold
16	a storm is a source of precipitation	nongold
17	rain is a kind of precipitation	gold
18	average amount of precipitation is a property of climate	nongold
19	clouds are located in the atmosphere	nongold
20	clouds are usually found in the sky	nongold
21	usually means most of the time	nongold
22	precipitation is a kind of natural occurrence; cause	nongold
23	weather is  a measure of the condition of the air in a place at a certain time	nongold
24	cold fronts cause thunderstorms as they pass by	nongold
25	temperature is a kind of condition	nongold
26	front is a property of weather and includes unordered values of warm front; cold front; stationary front; occluded front	nongold
27	cloudy conditions cause a low-pressure weather system	nongold
28	greatest means largest; highest; most amount of something	nongold
29	condition means the state of the property	nongold
30	high is similar to increase	nongold
31	hail is a kind of precipitation; ice	nongold
32	storm is a kind of weather; weather event	nongold
33	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
34	sky conditions are a property of weather	gold
35	to lower means to decrease	nongold
36	causing is a kind of affecting	nongold
37	a cloud is a kind of object	nongold
38	affected means changed	nongold
39	a warm front is when warm air mass rises and passes over; collides a cold air mass	nongold
40	snow is a kind of precipitation	nongold
41	rainfall is the amount of rain an area receives	nongold
42	warmer means greater; higher in temperature; warmth	nongold
43	a climate is synonymous with an environment	nongold
44	to be a source of something means to cause that something	nongold
45	a type is synonymous with a kind	nongold
46	mostly means being the most	nongold
47	a landform is a kind of natural formation	nongold
48	An example of a change in climate is  the average amount of annual precipitation decreases	nongold
49	an increase is a kind of change	nongold
50	a decrease is a kind of change	nongold
51	to reduce means to decrease	nongold
52	an increase is the opposite of a decrease	nongold
53	clouds are made of water vapor; rain droplets	nongold
54	weather is a property of a environment	nongold
55	increase means more	nongold
56	clouds are formed by water vapor rising into colder regions of the atmosphere and condensing	nongold
57	extreme means very high in value	nongold
58	a thunderstorm is a kind of storm	nongold
59	climate is the usual kind of weather in a location over a period of time	nongold
60	a cold front is when a cooler air mass moves into contact with an area of warmer air	nongold
61	if something affects a part of something else then that something affects that something else	nongold
62	grey clouds are a source of precipitation	nongold
63	low is similar to decrease	nongold
64	returning is similar to bringing	nongold
65	An example of stormy weather is rain	nongold
66	furthest; farthest means greatest; most; highest in distance	nongold
67	clouds produce rain	nongold
68	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
69	a source of something emits; produces; generates; provides that something	nongold
70	low pressure systems cause precipitation	nongold
71	temperature is a property of weather	nongold
72	to cause the formation of means to form	nongold
73	bringing is a kind of action	nongold
74	warm means warm temperature	nongold
75	due to means caused by	nongold
76	grey clouds appear before precipitation	nongold
77	a structure of something is synonymous with a part of that something	nongold
78	cold is a kind of weather	nongold
79	as the size of a cloud increases , the amount  of precipitation contained in that cloud will increase	nongold
80	aspect of something is similar to part of something	nongold
81	rain; snow falls	nongold
82	cooling is a kind of condition	nongold
83	to impact means to affect	nongold
84	to cause means to have an effect	nongold
85	a motion is a kind of event; action	nongold
86	warm means medium heat energy; temperature	nongold
87	annual means once per year	nongold
88	snowstorm is a kind of weather	nongold
89	winter has cold temperatures;weather	nongold
90	a source of something increases the amount of that something	nongold
91	precipitation is a kind of  natural process	nongold
92	to change means to cause a change	nongold
93	cooler means colder	nongold
94	water vapor has an impact on weather conditions associated with an air mass	nongold
95	snowing is when snow fall from clouds to the Earth;ground	nongold
96	temperature  is a property of air mass and includes ordered values of cold; warm	nongold
97	typically means usually	nongold
98	when clouds become cold , those clouds will condense	nongold
99	intense means extreme	nongold
