Question	Which of the following is the best estimate of the number of stars in a typical galaxy?	question
Answer	billions	answer
0	galaxies often contain hundreds of billions of stars	nongold
1	a typical galaxy contains billions of stars	gold
2	a billion is a kind of  number	gold
3	how many means what number	nongold
4	calculating is similar to estimating	nongold
5	amount is similar to number	nongold
6	many means high in number	nongold
7	to measure means to calculate	nongold
8	a galaxy is a kind of very large system of stars	nongold
9	a galaxy is made of stars	nongold
10	one is a kind of number	nongold
11	a galaxy is a kind of celestial body; celestial object	nongold
12	accounting for means making up some amount	nongold
13	largest amount means most	nongold
14	a star is a kind of celestial object; celestial body	nongold
15	small stars burn for billions of years	nongold
16	a galaxy is a kind of celestial body	nongold
17	four is a kind of number	nongold
18	galaxies are usually thousands of light years in diameter	nongold
19	greatest means largest; highest; most amount of something	nongold
20	the Sun is a kind of star	nongold
21	a galaxy contains dust; stars; planets	nongold
22	most means over 50% of something	nongold
23	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
24	calculation means measurement	nongold
25	lowest means least in value; amount; number	nongold
26	high is similar to increase	nongold
27	higher means greater; above in value; amount; number	nongold
28	timing; multiplying is a kind of calculating	nongold
29	if an amount of objects decreases then those objects are fewer in number	nongold
30	a galaxy is a kind of structure	nongold
31	astronomy is the study of celestial (objects, bodies)	nongold
32	fewer means lower; less in number	nongold
33	fewest means lowest; least in number	nongold
34	better means good	nongold
35	the number of parts of something is a property of that something	nongold
36	furthest; farthest means greatest; most; highest in distance	nongold
37	to add means to increase	nongold
38	if a property affects a value then that property is needed to calculate that value	nongold
39	determining often requires measuring; observing	nongold
40	abundant means high in number	nongold
41	galaxies are located  millions of light years from Earth	nongold
42	answering questions requires information	nongold
43	greater means higher; more in value	nongold
44	the sun is a kind of yellow dwarf	nongold
45	one in  two means half; 50%	nongold
46	small is the opposite of large	nongold
47	largest means greatest in size	nongold
48	main-sequences stars are a kind of star	nongold
49	best means most positive	nongold
50	an part of an object is smaller than the entire object	nongold
51	an increase is the opposite of a decrease	nongold
52	increasing is a kind of order	nongold
53	a star is usually larger than a planet	nongold
54	approximately means about	nongold
55	a source of something emits; produces; generates; provides that something	nongold
56	can be means able to be	nongold
57	quantity means amount	nongold
58	yellow dwarf is a kind of small star	nongold
59	a cluster of stars is made of stars	nongold
60	larger means greater; higher; more; increase in size	nongold
61	if a value decreases then that value may become; may reach zero; 0	nongold
62	a planet is a kind of celestial object; body	nongold
63	a yellow dwarf is a kind of main-sequence star	nongold
64	system means a set of objects	nongold
65	25% probability is similar to one in four	nongold
66	percents; ratios are a kind of data	nongold
67	an increase is a kind of change	nongold
68	the majority of is similar to largest	nongold
69	matter; materials; substances are made of atoms; particles	nongold
70	the sun is average in size for a star in our galaxy	nongold
71	according to is similar to be determined by	nongold
72	affected means changed	nongold
73	mL means milliliters	nongold
74	an atom is the smallest particle; unit that has the properties of an element	nongold
75	made up of means contains; made of	nongold
76	100% probability means always	nongold
77	a particle is a kind of object	nongold
78	counting something usually requires seeing that something	nongold
79	an event is a kind of action	nongold
80	good means positive	nongold
81	a lot means large in amount; quantity	nongold
82	measuring is used for describing an object	nongold
83	a white dwarf is a kind of star	nongold
84	classifying is when one sorts something by kind; type	nongold
85	composed of means made of	nongold
86	Proxima Centauri is a kind of star	nongold
87	a spiral galaxy is a kind of galaxy	nongold
88	increase means more	nongold
89	an atom is a kind of object	nongold
90	extreme means very high in value	nongold
91	chance means likelihood	nongold
92	atomic number is a property of elements	nongold
93	a star produces light and heat	nongold
94	level is similar to amount; quantity	nongold
95	a measurement is a kind of data	nongold
96	astronomy is a kind of branch of science	nongold
97	a star is a source of light; light energy through nuclear reactions	nongold
98	less is the opposite of more	nongold
99	low is similar to decrease	nongold
