Question	Students want to plant a lemon tree at their school, but the cold winter temperatures in Massachusetts would kill the tree. Which of the following is the best solution to this problem?	question
Answer	building a greenhouse to shelter the lemon tree	answer
0	a greenhouse is used to protect plants from the cold	gold
1	a greenhouse is used to protect  plants by keeping them warm	gold
2	a greenhouse is a kind of shelter for plants	gold
3	a lemon tree is a kind of plant	gold
4	killing means harming something causing death	gold
5	a lemon is a kind of fruit	nongold
6	Massachusetts is a state located in the United States of America	nongold
7	killing means changing a living thing from alive to dead by harming	nongold
8	a  solution  is a kind of object	nongold
9	if a living thing becomes too cold then that living thing will die	gold
10	a problem has a negative impact on a thing	nongold
11	harming something has a  negative impact on; effect on that something	nongold
12	shelter can protect animals;humans from weather	nongold
13	shelter is a kind of place;building;structure for protection	nongold
14	problem is similar to issue	nongold
15	a lemon has strong odor	nongold
16	a student is a kind of human	nongold
17	if the environmental temperature; air temperature is too cold then an animal; a living thing in that environment may become cold	gold
18	a tree is a source of shelter; food for birds; animals in an ecosystem	nongold
19	a tree is a kind of living thing	nongold
20	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
21	eating an animal; a plant means killing that animal; that plant	nongold
22	cold temperatures usually have a negative impact on organisms	nongold
23	shelter is used for protection by animals against weather	nongold
24	solution is similar to a positive impact	gold
25	a concern; a problem is a possible negative impact	nongold
26	Massachusetts is not located in an arctic environment	nongold
27	an organism is a living thing	nongold
28	a tree is a kind of plant	nongold
29	an animal requires shelter	nongold
30	a plant is a kind of living thing	gold
31	an animal is a kind of living thing	nongold
32	construction means building	nongold
33	colder; cooler means lower in temperature	nongold
34	causing problems is a kind of negative impact	nongold
35	cold means low in temperature	gold
36	protecting a living thing has a  positive impact on that living thing's survival; health	gold
37	winter has cold temperatures;weather	nongold
38	best means most positive	nongold
39	a shelter is used for living in by animals	nongold
40	an organism's shelter is a part of that organism's environment	nongold
41	intense heat has a negative impact on an organism	nongold
42	a living thing is a kind of object	nongold
43	if a living thing requires something then that something has a positive impact on that living thing	nongold
44	killing a living thing decreases the number; population size of that living thing	nongold
45	temperature is a measure of heat energy	nongold
46	a plant; living thing requires food for survival	nongold
47	shelter is a kind of protective covering	nongold
48	death means to die	gold
49	cold is a kind of weather	nongold
50	a plant is a kind of organism	nongold
51	negative impact is the opposite of positive impact	nongold
52	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	gold
53	person is synonymous with human	nongold
54	solution is a kind of liquid	nongold
55	to reduce means to decrease	nongold
56	harming an organism can cause that organism to die	nongold
57	a human is a kind of animal	nongold
58	winter means environmental; outdoor temperature decreases	gold
59	if a living thing dies then that living thing is dead	nongold
60	something in a cold place becomes cold	nongold
61	an animal is a kind of organism	nongold
62	summer has hot temperatures; weather	nongold
63	address a problem means reduce a problem	nongold
64	to lower means to decrease	nongold
65	better means good	nongold
66	temperature is a kind of condition	nongold
67	helping something has a  positive impact on that something	nongold
68	warmer means greater; higher in temperature; warmth	nongold
69	heat means heat energy	nongold
70	temperature is a property of weather	nongold
71	a plant is a member of a plant species	nongold
72	freezing means cold temperatures	nongold
73	an increase is the opposite of a decrease	nongold
74	warm means warm temperature	nongold
75	harming an environment causes harm to the living things; to the organisms in that environment	nongold
76	low is similar to decrease	nongold
77	to be used for something means to be required by that something	nongold
78	a tree is a kind of habitat	nongold
79	plants are a part of the environment	nongold
80	hot means high in heat energy; temperature	nongold
81	good means positive	nongold
82	nonliving; non-living; die is the opposite of living; alive; live	nongold
83	life means living things	nongold
84	an animal is a member of an animal species	nongold
85	decreasing something negative has a positive impact on a thing	nongold
86	requiring is similar to needing help	nongold
87	to make means to build	nongold
88	organisms are a part of an environment	nongold
89	if an organism becomes too hot then that organism may die	nongold
90	an animal; living thing requires nutrients for survival	nongold
91	lemon juice is a kind of substance	nongold
92	a plants; living things require water for survival; to grow	nongold
93	if something required by something else is in a place then that something else may be in that place	nongold
94	Massachusetts is not located on the boundary of two tectonic plates	nongold
95	decreasing something positive has a negative impact on a thing	nongold
96	a leaf is a part of a tree	nongold
97	warm means medium heat energy; temperature	nongold
98	an animal needs to move to find shelter	nongold
99	a tree is a kind of matter	nongold
