Question	Measurements of carbon dioxide concentrations in the air taken over the past decade have shown a	question
Answer	dramatic increase.	answer
0	carbon dioxide concentrations in the air have increased over the last decade dramatically	gold
1	carbon dioxide is a kind of gas	nongold
2	decades are a kind of unit for measuring time	nongold
3	concentration means amount	nongold
4	carbon dioxide is a kind of greenhouse gas	nongold
5	carbon dioxide can be found in the air	nongold
6	carbon dioxide is more dense than air	nongold
7	increase means more	nongold
8	atmosphere means  air	nongold
9	an increase is a kind of change	nongold
10	an increase is the opposite of a decrease	nongold
11	when carbon dioxide in the atmosphere is absorbed by plants , the amount of carbon dioxide in the atmosphere is reduced in the atmosphere	nongold
12	a decrease is a kind of change	nongold
13	a plant absorbs carbon dioxide from the air for photosynthesis	nongold
14	air is a kind of gas	nongold
15	the atmosphere contains gases; liquids; solids	nongold
16	a source of something increases the amount of that something	nongold
17	fossil fuels release carbon dioxide into the atmosphere	nongold
18	high is similar to increase	nongold
19	calculation means measurement	nongold
20	a measurement is a kind of data	nongold
21	humidity is the amount of water vapor; moisture in the air; in the atmosphere	nongold
22	carbon is a kind of element	nongold
23	water vapor is found in the atmosphere	nongold
24	as the amount of carbon dioxide in the atmosphere increases , the temperature of the planet; the atmosphere will increase	nongold
25	carbon monoxide is a kind of gas	nongold
26	absorbing something from the air decreases the  amount of  that something in the air	nongold
27	the air is a kind of substance	nongold
28	greenhouse gases are a part of the atmosphere	nongold
29	the Earth's atmosphere is made of .036 percent carbon dioxide by volume	nongold
30	oxygen is a kind of gas at room temperature	nongold
31	atmospheric means of the atmosphere	nongold
32	if something emits something else then that something increases the amount of that something else	nongold
33	water vapor is a kind of greenhouse gas	nongold
34	An example of moisture is water vapor in the atmosphere	nongold
35	the Earth's atmosphere is made of 0 to 4 percent hydrogen; water vapor by volume	nongold
36	to add means to increase	nongold
37	temperature is a measure of heat energy	nongold
38	water vapor is the largest amount of greenhouse gas in the atmosphere	nongold
39	releasing something into the atmosphere increases the amount of that something in the atmosphere	nongold
40	heat means heat energy	nongold
41	the greenhouse effect is when carbon in the air heats a planet's atmosphere	nongold
42	to lower means to decrease	nongold
43	liquid; solid means nongaseous	nongold
44	animals are a source of carbon dioxide by exhaling	nongold
45	a source of something emits; produces; generates; provides that something	nongold
46	take in means absorb	nongold
47	gaseous means of gas	nongold
48	to reduce means to decrease	nongold
49	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
50	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
51	air is a part of the environment	nongold
52	vapor is synonymous with gas	nongold
53	In the photosynthesis process carbon dioxide; water; sunlight has the role of  raw material	nongold
54	as atmospheric temperature increases , the amount of water vapor able to be held by the atmosphere will increase	nongold
55	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
56	greater means higher; more in value	nongold
57	sublimation means matter; a substance changes from a solid into a gas by increasing heat energy	nongold
58	burning fossil fuels increases the carbon in the atmosphere	nongold
59	extreme means very high in value	nongold
60	humidity is a kind of water vapor	nongold
61	automobiles; industrialization are a source of carbon dioxide	nongold
62	oxygen is a stage in the carbon dioxide-oxygen cycle process	nongold
63	breathing out is when animals exhale carbon dioxide from their lungs into the air	nongold
64	nitrogen is a kind of gas	nongold
65	CO2 means carbon dioxide	nongold
66	as the population of plants decreases , carbon in the atmosphere will increase	nongold
67	sulfur dioxide is formed by the combustion of fossil fuels	nongold
68	less is similar to decrease	nongold
69	low is similar to decrease	nongold
70	to give off means to be the source of	nongold
71	years are a kind of unit for measuring time	nongold
72	air is a kind of matter	nongold
73	gas is a kind of substance	nongold
74	if the amount of; quantity of something stops decreasing then the amount of; quantity of that something may  increase	nongold
75	faster means an increase; higher in speed	nongold
76	as the amount of a source of something decreases , the amount of that something will decrease	nongold
77	material means substance	nongold
78	breathing is when animals convert oxygen into carbon dioxide	nongold
79	variable means able to change	nongold
80	faster means increased rate	nongold
81	an organism breaking down sugar is a source of carbon dioxide; water	nongold
82	a  gas is a kind of  element	nongold
83	transpiration is when water vapor moves from plants;leaves into the atmosphere	nongold
84	to breathe in means to absorb air	nongold
85	hydrogen is a kind of gas at room temperature	nongold
86	heat means temperature increases	nongold
87	an event is a kind of action	nongold
88	the emission of something is when something is added into the atmosphere	nongold
89	to change means to have an effect	nongold
90	combustion is a kind of chemical change	nongold
91	an animal; bacterium requires oxygen for survival; to breathe	nongold
92	air temperature is a kind of temperature	nongold
93	chemical reactions can cause gas to be released into the atmosphere	nongold
94	as the density  of the atmosphere decreases , the available oxygen will  decrease	nongold
95	greatest means largest; highest; most amount of something	nongold
96	a component of something means a part of that something	nongold
97	impact means effect	nongold
98	change is a kind of impact	nongold
99	a part of a process means a stage in a process	nongold
