Question	Skyler is selecting the kind of paper he wants to use to make a greeting card. He wants to select paper that does not tear easily. Which of the following features of the paper is most important for Skyler to consider?	question
Answer	thickness	answer
0	thickness is a property of an object and includes ordered  values of thin; thick	gold
1	if something requires something else then that something else is important to that something	nongold
2	thickness is  a measure of how thick an object  is	nongold
3	tearing an object changes that object's shape	nongold
4	a property of something is a feature of that something	gold
5	tearing means  ripping	nongold
6	if something is strong then that something  does not break easily	nongold
7	a paper is a kind of object	gold
8	as the thickness of an object increases , the resistance to tearing; to breaking will increase	gold
9	paper is a kind of material	nongold
10	if something has a positive impact on something else then that something is important to that something else	nongold
11	a sheet of paper is a kind of object	nongold
12	selection means choosing	nongold
13	thin means small in width	nongold
14	if an object is durable , then that object will not break easily	nongold
15	tearing means changing a whole into pieces	nongold
16	texture is a property of  surfaces; materials; objects and includes ordered  values of smooth; rough	nongold
17	a structure is a kind of feature	nongold
18	if a material scratches easily then that material has low hardness	nongold
19	a structure of something is synonymous with a part of that something	nongold
20	if a material dents easily then that material has low strength	nongold
21	structure is a property of an object; a material; a substance	nongold
22	hard is the opposite of easy	nongold
23	feature is synonymous with characteristic	nongold
24	objects are made of materials; substances; matter	nongold
25	materials are made of matter	nongold
26	to be used for something means to be required by that something	nongold
27	a type is synonymous with a kind	nongold
28	length is a part of size	nongold
29	shredding is similar to tearing	nongold
30	tearing is a kind of damage	nongold
31	a type of something is a kind of property of that something	nongold
32	width is a property of size; shape and includes ordered values of narrow; wide	nongold
33	color is a property of  an object; a material	nongold
34	make means produce	nongold
35	an object has properties	nongold
36	if something is definite in shape then that something will not change shape easily	nongold
37	form means kind	nongold
38	if something breaks , then that something cannot be used	nongold
39	to depend on; to rely on; to need means to require	nongold
40	a sheet of is similar to a piece of	nongold
41	not is similar to the opposite of	nongold
42	if an object is made of a material then that object has the properties of that material	nongold
43	to cause means to make	nongold
44	role is similar to importance	nongold
45	length is a property of the shape of an object	nongold
46	a surface is a part of an object	nongold
47	if an object is made of something then the parts of that object are made of that something	nongold
48	a surface is a part of a material	nongold
49	variability of shape; variability of volume is a property of matter and includes values of variable; definite	nongold
50	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
51	person is synonymous with human	nongold
52	as amount; size of something increases , the intensive properties of that something will not change	nongold
53	to reduce means to decrease	nongold
54	paper is flexible	nongold
55	low is similar to decrease	nongold
56	an increase is the opposite of a decrease	nongold
57	smooth is a kind of texture	nongold
58	as the thickness of something; of an object increases , the resistance to damage of that object; of that something will increase	nongold
59	what an object is made of is a kind of characteristic	nongold
60	fast means quickly	nongold
61	high is similar to increase	nongold
62	what something needs is a property of that something	nongold
63	a piece of something is a kind of object	nongold
64	to make possible means to be required	nongold
65	texture means how an object feels	nongold
66	characteristic means property	nongold
67	to create means to make	nongold
68	an part of an object is smaller than the entire object	nongold
69	provide is similar to give; make	nongold
70	requiring is similar to needing help	nongold
71	landform means surface feature; physical feature; land feature	nongold
72	less is similar to decrease	nongold
73	paper is not durable	nongold
74	variability of shape; variability of volume is a kind of physical property	nongold
75	essential means required	nongold
76	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
77	color is a kind of physical; visual property	nongold
78	to impact means to affect	nongold
79	a surface is a kind of object	nongold
80	texture is a kind of physical property	nongold
81	little is similar to decrease	nongold
82	helping means something can be done; completed more easily; better	nongold
83	harming something has a  negative impact on; effect on that something	nongold
84	a human is a kind of animal	nongold
85	composition is a property of an object; matter	nongold
86	a living thing is a kind of object	nongold
87	material means substance	nongold
88	rough is the opposite of smooth	nongold
89	height is a property of the size of an object	nongold
90	surfaces sometimes cause objects to break	nongold
91	category means kind	nongold
92	less is the opposite of more	nongold
93	as the amount; size of something increases , the extensive properties of that something will increase	nongold
94	shape is a property of an object	nongold
95	if something is made of something; a material then that something contains that something; that material	nongold
96	a piece of an object is smaller in size than the whole object	nongold
97	paper burns	nongold
98	shortest means least; smallest in length	nongold
99	furthest; farthest means greatest; most; highest in distance	nongold
