Question	The marsh willow herb is a plant native to the northeastern United States. It grows best in damp habitats. Which of the following environmental changes would most likely cause a decrease in the marsh willow herb population in an area?	question
Answer	a drought lasting twelve months	answer
0	a drought occurs over a period of months; years	nongold
1	a marsh willow herb is a kind of plant	gold
2	a drought is a kind of slow environmental change	gold
3	drought means available water decreases in an environment	gold
4	if an organism dies then the population of that organism will decrease	nongold
5	damp means a large amount of water	gold
6	drought is when amount of precipitation decreases	gold
7	an environment means an area	nongold
8	a drought is a kind of natural disaster	nongold
9	a drought is a kind of natural event	nongold
10	months are a kind of unit for measuring time	nongold
11	months ( m ) are a  metric unit used for measuring time generally used for values between 1.0 and 24.0	nongold
12	a decrease is a kind of change	nongold
13	month is a kind of period of time	nongold
14	if a plant; crop requires less water then that plant; crop will survive in a drought	nongold
15	a marsh is a kind of body of water	nongold
16	drought may cause wildfires	nongold
17	as the cause of something decreases , that something will decrease	nongold
18	to reduce means to decrease	nongold
19	1 year is equal to 12 months	nongold
20	an increase is the opposite of a decrease	nongold
21	to lower means to decrease	nongold
22	a dry environment is low in availability of water	nongold
23	an increase is a kind of change	nongold
24	a plants; living things require water for survival; to grow	gold
25	best means most positive	nongold
26	a native; indigenous plant lives in a place because of nature, not human change	nongold
27	monthly means once per month	nongold
28	a population is made of one type of organism in an area	nongold
29	a new season occurs once per 3.0 months	nongold
30	an animal is a kind of living thing	nongold
31	to change means to cause a change	nongold
32	a plant is a kind of living thing	nongold
33	United States is located in the northern hemisphere	nongold
34	as the population of an animal decreases , the population of that animal's source of food will decrease	nongold
35	an organism is a living thing	nongold
36	if a plant dies then that plant will not produce food	nongold
37	death means to die	nongold
38	less is similar to decrease	nongold
39	harming an animal species causes that animal's population to decrease	nongold
40	a plant is a kind of organism	nongold
41	if an animal's; organisms habitat no longer exists; ceases to exist then that animal; that organism will die	nongold
42	an environment is a kind of place	nongold
43	for a butterfly the average life span is 1 month and the maximum life span is 12 months	nongold
44	if a living thing dies then that living thing is dead	nongold
45	an ecosystem is a kind of habitat	gold
46	negative impacts on a species will decrease populations of a species	nongold
47	an animal is a kind of organism	nongold
48	affected means changed	nongold
49	as the amount of rainfall increases in an area , the amount of available water in that area will increase	nongold
50	population increase means more survive	nongold
51	the United States is a kind of country	nongold
52	as the rate of  reproduction decreases , the population will decrease	nongold
53	habitat is similar to environment	nongold
54	dying is the opposite of living; surviving	nongold
55	as the population of plants decreases , the population of herbivores will decrease	nongold
56	a plant; living thing requires food for survival	nongold
57	humans changing an environment causes animal populations to decrease in that environment	nongold
58	when an animal moves away from an area then the population of that animal decreases in that area	nongold
59	increase means more	nongold
60	as available water decreases , the population of plants will decrease	gold
61	as dryness increases in an environment , the available water in that environment will decrease	nongold
62	as the amount of a source of something decreases , the amount of that something will decrease	nongold
63	place means area	nongold
64	a swamp is a kind of environment	nongold
65	a plant requires soil for survival; to grow	nongold
66	an environment is similar to an ecosystem	gold
67	an animal; living thing requires nutrients for survival	nongold
68	humans changing ecosystems;environments usually has a  negative impact on an ecosystem; organisms living in an ecosystem	nongold
69	area is similar to location	nongold
70	surroundings means environment	nongold
71	positive impacts on a species will increase populations of a species	nongold
72	a state is a kind of place	nongold
73	nonliving; non-living; die is the opposite of living; alive; live	nongold
74	low is similar to decrease	nongold
75	a plant; living thing requires nutrients to grow	nongold
76	high is similar to increase	nongold
77	change is a kind of impact	nongold
78	a wetland is a kind of habitat	nongold
79	water is a part of an environment	nongold
80	harming something has a  negative impact on; effect on that something	nongold
81	plants are a part of the environment	nongold
82	harming an organism can cause that organism to die	nongold
83	if there is a loss of something then that something decreases	nongold
84	animals; living things require water for survival	nongold
85	dry means low in amount of water; wetness; moisture	nongold
86	a plant requires a specific climate to grow and survive	nongold
87	to limit means to decrease	nongold
88	Washington; Washington State is a state located in the United States of America	nongold
89	to change means to have an effect	nongold
90	a cycle happens; occurs repeatedly	nongold
91	changes in an environment cause animals; plants to adapt to survive	nongold
92	water is a kind of nonliving thing	nongold
93	if an organism can live in an environment then that organism can withstand the conditions of that environment	nongold
94	rainfall is the amount of rain an area receives	nongold
95	an ecosystem contains a large community of; large numbers of living organisms	nongold
96	if a living thing requires something then that something has a positive impact on that living thing	nongold
97	the United States of America is a kind of location	nongold
98	a plant requires a habitat for survival	nongold
99	to decline means to decrease	nongold
