Question	As Earth revolves around the Sun, the number of daylight hours varies from place to place. In which location would the number of daylight hours remain constant?	question
Answer	Equator	answer
0	the Earth revolves around the sun	gold
1	the equator is a kind of location	nongold
2	constant means not changing	nongold
3	place means space	nongold
4	place is synonymous with location	nongold
5	hours are a kind of unit for measuring time	nongold
6	daylight hours means time during which there is daylight	nongold
7	areas on the equator have a consistent number of daylight hours	gold
8	daylight means sunlight	gold
9	to remain means to stay the same	nongold
10	place means area	gold
11	to remain means to not change	nongold
12	sunlight is a kind of light	nongold
13	a planet is a kind of location	nongold
14	constant is similar to same	nongold
15	the Sun is a kind of star	nongold
16	hours ( hr ) are a  metric unit used for measuring time generally used for values between 0.25 and 72.0	nongold
17	amount is similar to number	nongold
18	to retain means to remain	nongold
19	Earth is a kind of planet	nongold
20	to remain means to stay where it is	nongold
21	to vary means to change	nongold
22	place; location is synonymous with position	nongold
23	stay the same means not changing	nongold
24	how many means what number	nongold
25	period of daylight is synonymous with amount of daylight	nongold
26	a complete revolution of the Earth around the sun takes 1; one year; solar year; Earth year	nongold
27	latitude is a property of a location; place on Earth	nongold
28	a star is a kind of celestial object; celestial body	nongold
29	amount of daylight means length of daylight	nongold
30	an increase is a kind of change	nongold
31	an increase is the opposite of a decrease	nongold
32	daylight is when the sun shines on a location	nongold
33	the sun is a source of light; light energy called sunlight	gold
34	located means situated	nongold
35	a decrease is a kind of change	nongold
36	to stay means to continue to exist	nongold
37	one is a kind of number	nongold
38	consistent means constant	gold
39	a planet is a kind of celestial object; body	nongold
40	a state is a kind of place	nongold
41	four is a kind of number	nongold
42	the amount of daylight is least on the winter solstice	nongold
43	the amount of daylight is greatest on the summer solstice	nongold
44	the equator receives the most direct sunlight throughout the year	nongold
45	sunlight is a kind of solar energy	nongold
46	daylight occurs during the day	gold
47	a planet is a kind of place	nongold
48	when one kind of energy changes into another kind of energy , the total amount of energy is constant	nongold
49	events occur at a specific place; at a specific time; with a specific frequency	nongold
50	high is similar to increase	nongold
51	minutes are a kind of unit for measuring time	nongold
52	variable means able to change	nongold
53	increase means more	nongold
54	a revolution occurs when something revolves around something else	nongold
55	days are a kind of unit for measuring time	nongold
56	area is similar to location	gold
57	period is similar to amount of time	nongold
58	less is similar to decrease	nongold
59	the number of parts of something is a property of that something	nongold
60	the sun sets in the west	nongold
61	fewer means lower; less in number	nongold
62	the amount of daylight is least in the winter	nongold
63	revolving is a kind of motion	nongold
64	to lower means to decrease	nongold
65	cycles of day and night occur once per day	nongold
66	setting is a kind of motion	nongold
67	to add means to increase	nongold
68	astronomy is the study of celestial (objects, bodies)	nongold
69	a unit for measuring time is a kind of time interval	nongold
70	sunlight means solar energy	nongold
71	the equator receives more sunlight than the poles on Earth	nongold
72	greatest means largest; highest; most amount of something	nongold
73	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
74	if something has no impact on something else then that something else stays the same	nongold
75	length of time means period of time	nongold
76	revolving  around something means orbiting that something	nongold
77	the sun rises in the east	nongold
78	if something required by something else is in a place then that something else may be in that place	nongold
79	1 day is equal to 24 hours	nongold
80	to limit means to decrease	nongold
81	a measure of time is a length of time	nongold
82	an environment is a kind of place	nongold
83	a region is a kind of location	nongold
84	all the time means at day and at night	nongold
85	as a person in the northern hemisphere moves south , distance from the equator will decrease	nongold
86	to keep a process or event happening is similar to causing that process or event to happen	nongold
87	the Earth revolving around the sun causes stars to appear  in different areas in the sky at different times of year	nongold
88	changed is the opposite of unchanged	nongold
89	to keep something occurring means to cause that something to occur	nongold
90	the day time is part of one day	nongold
91	a source of something increases the amount of that something	nongold
92	the night time is part of one day	nongold
93	the Earth rotates on its axis	nongold
94	an event is a kind of action	nongold
95	unchanged means not changed	nongold
96	low is similar to decrease	nongold
97	the sun rising and setting causes cycles of day and night	nongold
98	seconds ( s; sec ) are a  metric unit used for measuring time generally used for values between 1.0 and 300.0	nongold
99	seconds are a kind of unit for measuring time	nongold
