Question	Which of the following distinguishes the organisms in the kingdom Fungi from other eukaryotic organisms?	question
Answer	Fungi obtain nutrients by absorption.	answer
0	taking in something means receiving; absorbing; getting something	nongold
1	to obtain means to get	nongold
2	to gain means to obtain	nongold
3	absorbing is similar to obtaining	nongold
4	obtain is similar to receive	nongold
5	receive means get	nongold
6	absorption is a kind of process	nongold
7	taking in something means acquiring that something	nongold
8	a fungus is a kind of eukaryote	gold
9	if an object is a source of something for something else then that something else can obtain that something from that object	nongold
10	an animal is a kind of eukaryote	nongold
11	take in means absorb	nongold
12	transferring is similar to giving	nongold
13	provide is similar to give; make	nongold
14	a kingdom is a kind of taxonomic rank	nongold
15	fungi are part of the biological kingdom Fungi	gold
16	Fungi is a kind of biological kingdom	nongold
17	eukaryotes are a part of the biological domain Eukaryota	nongold
18	if something is passed down to something else then that something else receives that something	nongold
19	if something gains something from something else then that something else is a source of that something	nongold
20	a fungus is a kind of living thing	nongold
21	a food contains nutrients for living things	nongold
22	a fungus is a kind of organism	gold
23	a plant; living thing requires nutrients to grow	nongold
24	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
25	diffusion is a kind of  process	nongold
26	transfer is a kind of process	nongold
27	absorption is a kind of event	nongold
28	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
29	nutrients are a kind of substance	nongold
30	an organism is a living thing	nongold
31	a cell absorbs nutrients	nongold
32	biological kingdoms are made of organisms	nongold
33	collecting is similar to absorbing	nongold
34	to be used for something means to be required by that something	nongold
35	a plant is a kind of organism	nongold
36	gaining is similar to increasing	nongold
37	fungi absorb nutrients from decaying tissue	gold
38	Plantae is a kind of biological kingdom	nongold
39	a plant is a kind of living thing	nongold
40	concentration means amount	nongold
41	if something transfers something else then that something is a source of something else	nongold
42	if something absorbs something else then that something will contain that something else	nongold
43	absorbing is a kind of function	nongold
44	living things eat their food source	nongold
45	organisms mean life	nongold
46	animals are a part of the biological kingdom Animalia	nongold
47	to provide something means to be the source of that something	nongold
48	plants are part of the bilogical kingdom Plantae	nongold
49	taking is the opposite of giving; leaving	nongold
50	nutrients are a kind of resource	nongold
51	convert is similar to transfer	nongold
52	biotic means living	nongold
53	requiring something means needing that something	nongold
54	In the food chain process fungi have the role of decomposer	nongold
55	an animal; living thing requires nutrients for survival	nongold
56	a plant; living thing requires food for survival	nongold
57	a plant is a member of a plant species	nongold
58	classifying is when one sorts something by kind; type	nongold
59	to belong to a class means to be a kind of something	nongold
60	nutrients are a kind of matter	nongold
61	nutrients are a kind of material	nongold
62	the amount of something is similar to the availability of something	nongold
63	cellular respiration is a kind of process	nongold
64	to depend on; to rely on; to need means to require	nongold
65	an animal is a kind of living thing	nongold
66	life means living things	nongold
67	an animal is a kind of organism	nongold
68	species means a group of like organisms	nongold
69	high is similar to increase	nongold
70	food contains carbohydrates	nongold
71	getting something increases the amount of that something	nongold
72	a nutrient is a kind of object	nongold
73	transferring is similar to adding	nongold
74	cellular respiration is cellular digestion	nongold
75	conversion is a kind of process	nongold
76	if something contains something , then something is able to provide something	nongold
77	catching something is synonymous with obtaining that something	nongold
78	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
79	producing is a kind of process	nongold
80	In the food chain process an animal has the role of  consumer which eats producers;other animals for food	nongold
81	a source of something emits; produces; generates; provides that something	nongold
82	evaporation is a kind of process	nongold
83	to produce means to provide	nongold
84	to distinguish means to tell the difference between	nongold
85	nitrogen is a kind of nutrient for plant growth	nongold
86	an animal is a member of an animal species	nongold
87	a process usually requires all of the stages in that process	nongold
88	bacteria is a kind of living thing	nongold
89	a kind of something is classified as that something	nongold
90	to provide means to supply	nongold
91	a decomposer is usually a bacterium; fungus	nongold
92	a mushroom is a kind of fungus	nongold
93	deplete is similar to decrease	nongold
94	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
95	growth is a kind of process	nongold
96	food is a kind of substance	nongold
97	unique  is the opposite of diverse	nongold
98	a living thing is a kind of object	nongold
99	a part of a process means a stage in a process	nongold
