Question	The water in a pond gets colder one night. Which tool is best to observe its temperature change?	question
Answer	thermometer	answer
0	a pond is a kind of body of water	nongold
1	a pond is a kind of environment	nongold
2	a thermometer is a kind of instrument for measuring temperature	gold
3	a thermometer is used to measure temperature	gold
4	colder; cooler means lower in temperature	nongold
5	heat means temperature increases	nongold
6	temperature is a measure of heat energy	nongold
7	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
8	cold means low in temperature	nongold
9	instrument means tool	gold
10	a pond is smaller; shallower than a lake	nongold
11	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
12	cooler means colder	nongold
13	warmer means greater; higher in temperature; warmth	nongold
14	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
15	temperature rise means become warmer	nongold
16	something in a cold place becomes cold	nongold
17	become cold means get cold	nongold
18	device means tool	nongold
19	cold is a kind of weather	nongold
20	freezing means cold temperatures	nongold
21	water is a kind of liquid at room temperature	nongold
22	temperature drop means become colder	nongold
23	temperature  rise means temperature increase	nongold
24	measuring is a kind of observing	gold
25	a tool is a kind of object	nongold
26	observe means see	nongold
27	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
28	ice is colder than water in temperature	nongold
29	increase means more	nongold
30	freezing is a kind of phase change	nongold
31	temperature is a property of weather	nongold
32	heat means heat energy	nongold
33	the night has cooler temperatures than the day	nongold
34	an increase is the opposite of a decrease	nongold
35	temperature drop means temperature decrease	nongold
36	to lower means to decrease	nongold
37	cool means cold	nongold
38	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
39	as temperature during the day increases , the temperature in an environment will increase	nongold
40	cooling means temperature decreases	nongold
41	an increase is a kind of change	nongold
42	to reduce means to decrease	nongold
43	a decrease is a kind of change	nongold
44	look at means observe	nongold
45	winter has cold temperatures;weather	nongold
46	high is similar to increase	nongold
47	a body of water is a kind of environment	nongold
48	an instrument is a piece of equipment	nongold
49	winter means environmental; outdoor temperature decreases	nongold
50	if the environmental temperature; air temperature is too cold then an animal; a living thing in that environment may become cold	nongold
51	determining often requires measuring; observing	nongold
52	heating means adding heat	nongold
53	warm up means increase temperature	nongold
54	ice is cold in temperature	nongold
55	an aquatic animal is a kind of animal	nongold
56	variable means able to change	nongold
57	low is similar to decrease	nongold
58	water is a kind of object	nongold
59	water is a kind of substance	nongold
60	if an object is placed in a substance; in a location that is colder then that object will cool to the same temperature of that substance; of that location	nongold
61	instrument means device	nongold
62	amount of water in a body of water increases by storms; rain; glaciers melting; snow melting; ice melting	nongold
63	best means most positive	nongold
64	water is a part of an environment	nongold
65	cold temperatures usually have a negative impact on organisms	nongold
66	temperature is a kind of condition	nongold
67	an animal usually requires a warm body temperature for survival	nongold
68	if a living thing becomes too cold then that living thing will die	nongold
69	temperature changing can cause phase changes	nongold
70	to limit means to decrease	nongold
71	heat has a great impact on weather	nongold
72	to slow; to slow down decreases speed	nongold
73	if an object is touching a warmer object , then the  cooler  object will increase in temperature until two objects reach the same temperature	nongold
74	a body of water is a source of water	nongold
75	a lake is a kind of body of water	nongold
76	getting information sometimes requires observing; observation	nongold
77	hot means high in heat energy; temperature	nongold
78	detecting is similar to observing	nongold
79	edge of a pond is a kind of surface	nongold
80	an object moving from a cool place to a warm place causes the object's temperature to increase	nongold
81	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
82	less is similar to decrease	nongold
83	to change means to become different	nongold
84	keeping cool means not increasing temperature	nongold
85	a source of something increases the amount of that something	nongold
86	extreme means very high in value	nongold
87	freezing point means temperature at which a liquid freezes; below which a liquid freezes	nongold
88	if something absorbs; requires more heat than it gives off in an reaction , then something will be cold in temperature	nongold
89	a living thing is a kind of object	nongold
90	to add means to increase	nongold
91	a pond is a kind of habitat	nongold
92	a device is a kind of object	nongold
93	climate is the usual kind of weather in a location over a period of time	nongold
94	dry means low in amount of water; wetness; moisture	nongold
95	temperature drop means cooling	nongold
96	answering questions requires information	nongold
97	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
98	to vary means to change	nongold
99	faster means an increase; higher in speed	nongold
