Question	The temperature of water in a glass changes from 5°C to -1°C. How will the water most likely change?	question
Answer	It will freeze.	answer
0	freezing point means temperature at which a liquid freezes; below which a liquid freezes	nongold
1	cooling;colder means removing;reducing;decreasing heat;temperature	gold
2	liquid water cooling causes that liquid water to freeze	gold
3	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	gold
4	frozen means solid	nongold
5	cooling means temperature decreases	nongold
6	freezing means cold temperatures	nongold
7	freezing is a kind of phase change	nongold
8	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	gold
9	water is a kind of liquid at room temperature	gold
10	glass is a kind of solid at room temperature	nongold
11	temperature is a measure of heat energy	gold
12	cycles of freezing and thawing water cause ice wedging	nongold
13	heat means temperature increases	nongold
14	to reduce means to decrease	nongold
15	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	gold
16	ice is a kind of solid	nongold
17	to lower means to decrease	nongold
18	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
19	water is a kind of substance	gold
20	a glass contains water	nongold
21	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
22	glass is a kind of open container	nongold
23	to add means to increase	nongold
24	a phase change is a kind of physical change	nongold
25	heat means heat energy	nongold
26	freezing causes a solid to form	nongold
27	ice is cold in temperature	nongold
28	cold means low in temperature	nongold
29	a liquid is a kind of substance	nongold
30	ice is colder than water in temperature	nongold
31	adding heat means increasing temperature	nongold
32	an increase is a kind of change	nongold
33	a decrease is a kind of change	nongold
34	to limit means to decrease	nongold
35	the freezing point of water; melting point of water is 32F; 0C; 273K	gold
36	glass is a kind of object	nongold
37	a solid is a kind of substance	nongold
38	colder; cooler means lower in temperature	nongold
39	ice is a kind of object	nongold
40	glass is a kind of material	nongold
41	heating means adding heat	nongold
42	boiling is when liquids are heated above their boiling point	nongold
43	an increase is the opposite of a decrease	nongold
44	ability to undergo a phase change is a property of a substance; material	nongold
45	increase means more	nongold
46	temperature changing can cause phase changes	nongold
47	affected means changed	nongold
48	variable means able to change	nongold
49	high is similar to increase	nongold
50	if an object is placed in a substance; in a location that is colder then that object will cool to the same temperature of that substance; of that location	nongold
51	a human is a kind of animal	nongold
52	melting point means temperature at which a solid melts; above which a solid melts	nongold
53	heating is the opposite of cooling	nongold
54	liquid is a kind of state of matter	nongold
55	water is a kind of object	nongold
56	solid is a kind of state of matter	nongold
57	water is a kind of matter	nongold
58	cool means cold	nongold
59	a container is a kind of object	nongold
60	the boiling point of water is 212F; 100C; 373K	nongold
61	objects are made of materials; substances; matter	nongold
62	temperature  rise means temperature increase	nongold
63	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
64	a container contains objects; material; substances	nongold
65	to change means to cause a change	nongold
66	boiling point is the highest temperature a liquid can reach	nongold
67	material means substance	nongold
68	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
69	reducing is a kind of change	nongold
70	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
71	keeping cool means not increasing temperature	nongold
72	boiling point means temperature at which a liquid boils; above which a liquid boils	nongold
73	something in a cold place becomes cold	nongold
74	water is a part of an environment	nongold
75	boiling is a kind of phase change	nongold
76	a freezer is used for cooling things	nongold
77	ice is a kind of food	nongold
78	if something absorbs; requires more heat than it gives off in an reaction , then something will be cold in temperature	nongold
79	low is similar to decrease	nongold
80	when water freezes , that water expands	nongold
81	if a living thing becomes too cold then that living thing will die	nongold
82	adding something is a kind of change	nongold
83	a source of something emits; produces; generates; provides that something	nongold
84	temperature drop means cooling	nongold
85	boiling means the volume of a liquid decreases	nongold
86	extreme means very high in value	nongold
87	to slow; to slow down decreases speed	nongold
88	temperature drop means temperature decrease	nongold
89	water expanding when it freezes is a physical property of water	nongold
90	cooler means colder	nongold
91	often is similar to likely	nongold
92	an event is a kind of action	nongold
93	if an object is touching a warmer object , then the  cooler  object will increase in temperature until two objects reach the same temperature	nongold
94	sleet is a kind of ice	nongold
95	warm up means increase temperature	nongold
96	glass is a kind of medium	nongold
97	state of matter at room temperature is a kind of physical property	nongold
98	moisture means liquid; liquid water	nongold
99	phase means state	nongold
