Question	What is one factor that contributes to seasons occurring in New York State?	question
Answer	the tilt of Earth on its axis	answer
0	Earth's tilt on its rotating axis causes seasons to change; to occur	gold
1	New York; New York State is a state located in the United States of America	nongold
2	the Earth being tilted on its rotating axis causes seasons	nongold
3	the Earth revolving around the Sun causes the seasons to change; to occur on its axis	nongold
4	Earth orbiting the Sun causes seasons to change	nongold
5	each season occurs once per year	nongold
6	a new season occurs four times per year	nongold
7	a factor impacts something	nongold
8	a new season occurs once per 3.0 months	nongold
9	the Earth rotates on its axis	nongold
10	seasons cause change to the environment	nongold
11	Autumn is a kind of season	nongold
12	winter is a kind of season	nongold
13	new means different from the former one	nongold
14	different seasons occur during different times of the year	nongold
15	annual means once per year	nongold
16	phase means state	nongold
17	to cause something means to contribute to that something happening	gold
18	summer is a kind of season	nongold
19	New York is closer to the North Pole than Florida	nongold
20	Earth is a kind of planet	nongold
21	an increase is a kind of change	nongold
22	spring is a kind of season	nongold
23	state means form	nongold
24	season is a major yearly temperature change	nongold
25	increase means more	nongold
26	yearly means every year	nongold
27	to contribute means to add	nongold
28	weather changes from seasons to seasons	nongold
29	a Rotation of the Earth on Earth's axis; itself takes 1; one day	nongold
30	change is a kind of impact	nongold
31	to happen means to occur	nongold
32	a state is a kind of place	nongold
33	a component of something means a part of that something	nongold
34	high is similar to increase	nongold
35	every summer  is a kind of period of time	nongold
36	to cause means to have an effect	nongold
37	to contribute is similar to produce	nongold
38	to change means to have an effect	nongold
39	years are a kind of unit for measuring time	nongold
40	setting is a kind of motion	nongold
41	a source of something increases the amount of that something	nongold
42	winter is a part of the year	nongold
43	a component means a part of	nongold
44	to add means to increase	nongold
45	an increase is the opposite of a decrease	nongold
46	a source of something emits; produces; generates; provides that something	nongold
47	a motion is a kind of event; action	nongold
48	event is similar to occurrence	nongold
49	spring follows winter	nongold
50	causing means influencing	nongold
51	old is the opposite of new	nongold
52	to depend on; to rely on; to need means to require	nongold
53	a decrease is a kind of change	nongold
54	if the component of something changed , then the whole thing will change	nongold
55	summer follows spring	nongold
56	fall is a kind of season	nongold
57	Yorkshire is a county located in England	nongold
58	variable means able to change	nongold
59	to impact means to affect	nongold
60	a process is a kind of event	nongold
61	causing is a kind of affecting	nongold
62	yogurt is a kind of food	nongold
63	a property is similar to a factor	nongold
64	if something is made of something else , then that something else will be the component of that something	nongold
65	if something causes a process then that something is required for that process	nongold
66	an event is a kind of action	nongold
67	a change is a kind of event	nongold
68	revolving is a kind of motion	nongold
69	state of matter means physical state	nongold
70	impact means effect	nongold
71	to be a source of something means to cause that something	nongold
72	if something requires something else then that something requires a source of that something else	nongold
73	change is a kind of process	nongold
74	the tilt of Earth's axis causes certain latitudes of Earth to be heated at a greater rate	nongold
75	to lower means to decrease	nongold
76	to change means to cause a change	nongold
77	physical state means state of matter	nongold
78	if something emits something else then that something increases the amount of that something else	nongold
79	affected means changed	nongold
80	events occur at a specific place; at a specific time; with a specific frequency	nongold
81	if something is required for a process then that something positively impacts that process	nongold
82	fall means autumn	nongold
83	having an impact on something means altering that something	nongold
84	rising is a kind of motion	nongold
85	to cause means to result in	nongold
86	if something causes something else then that something else depends on that something	nongold
87	if something causes an increase in something else then that something produces that something else	nongold
88	winter is the opposite of summer	nongold
89	something that happens is a kind of event	nongold
90	a type is synonymous with a kind	nongold
91	to be used for something means to be required by that something	nongold
92	the intensity of sunlight is a kind of seasonal weather pattern	nongold
93	rotation is a kind of motion	nongold
94	a cycle is a kind of process	nongold
95	to turn means to change	nongold
96	New Mexico is a state located in the United States of America	nongold
97	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
98	to cause is similar to bring	nongold
99	where something  comes from is a source of that something	nongold
