Question	Which statement describes the location of our Sun in the universe?	question
Answer	Our Sun is the center of a solar system in the Milky Way galaxy.	answer
0	the Milky Way is a kind of galaxy	nongold
1	Earth is located in the Milky Way Galaxy	nongold
2	the Milky Way is a kind of spiral galaxy	nongold
3	the Sun is located near the edge of the Milky Way Galaxy	gold
4	our Sun is located at the center of our solar system	gold
5	the Milky Way galaxy appears as a glowing band across the night sky	nongold
6	a planet is a kind of location	nongold
7	a galaxy is a kind of celestial body; celestial object	nongold
8	a galaxy is a kind of celestial body	nongold
9	the solar system is a kind of system	nongold
10	place is synonymous with location	nongold
11	a galaxy is made of stars	nongold
12	a planet is a kind of place	nongold
13	a galaxy is a kind of very large system of stars	nongold
14	the Sun is a kind of star	nongold
15	located means situated	nongold
16	the location of an object can be used to describe that object	nongold
17	area is similar to location	nongold
18	a region is a kind of location	nongold
19	the properties of something are used for describing that something	nongold
20	place means space	nongold
21	a star is a kind of celestial object; celestial body	nongold
22	galaxies are located  millions of light years from Earth	nongold
23	the solar system contains eight planets	nongold
24	a galaxy is a kind of structure	nongold
25	a state is a kind of place	nongold
26	the sun is a kind of yellow dwarf	nongold
27	a hemisphere is a kind of place	nongold
28	a galaxy is made of a group of objects in space	nongold
29	a planet is a kind of celestial object; body	nongold
30	place means area	nongold
31	place; location is synonymous with position	nongold
32	an environment is a kind of place	nongold
33	a galaxy is held together by gravity	nongold
34	location is a kind of information	nongold
35	milk is a kind of liquid at room temperature	nongold
36	Earth is a kind of planet	nongold
37	contains means located in	nongold
38	if something is located in some place , then the presence of that something can be found in that location	nongold
39	a galaxy contains dust; stars; planets	nongold
40	the sun is a source of light; light energy called sunlight	nongold
41	measuring is used for describing an object	nongold
42	nebulae are located outside the solar system	nongold
43	region means place	nongold
44	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
45	a source of something emits; produces; generates; provides that something	nongold
46	if something is located  in somewhere , then something can be found in somewhere	nongold
47	a continent is a kind of location	nongold
48	moons; comets; planets are part of the solar system	nongold
49	a city is a kind of location	nongold
50	if something required by something else is in a place then that something else may be in that place	nongold
51	a star produces light and heat	nongold
52	a typical galaxy contains billions of stars	nongold
53	sunlight is a kind of light	nongold
54	the sun is average in temperature  for a star in our galaxy	nongold
55	planets in the solar system orbit the Sun	nongold
56	the solar system contains the moon	nongold
57	to create means to make	nongold
58	sunlight means solar energy	nongold
59	location is a kind of relationship	nongold
60	the sun is a source of radiation; heat called sunlight	nongold
61	to produce means to create	nongold
62	the sun is the source of solar energy called sunlight	nongold
63	stars are located light years apart from each other	nongold
64	information is used to describe something	nongold
65	milk is a kind of food	nongold
66	milk is a kind of food	nongold
67	galaxies are usually thousands of light years in diameter	nongold
68	sunlight is a kind of solar energy	nongold
69	to form means to create	nongold
70	the United States of America is a kind of location	nongold
71	an increase is a kind of change	nongold
72	no longer means used to be	nongold
73	galaxies often contain hundreds of billions of stars	nongold
74	a landform is a kind of place	nongold
75	a landform is a kind of place	nongold
76	to be made of means to consist of	nongold
77	a halo is a part of a galaxy	nongold
78	can be means able to be	nongold
79	to generate means to create	nongold
80	astronomy is the study of celestial (objects, bodies)	nongold
81	creating means making	nongold
82	the sun is average in size for a star in our galaxy	nongold
83	system means a set of objects	nongold
84	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
85	nucleus is synonymous with core; center	nongold
86	distant means far away	nongold
87	the Earth revolves around the sun	nongold
88	an event is a kind of action	nongold
89	Mars is a kind of planet	nongold
90	the sun sets in the west	nongold
91	solar energy is a kind of light	nongold
92	to make means to form	nongold
93	to generate means to form	nongold
94	a spiral galaxy is a kind of galaxy	nongold
95	the sun rises in the east	nongold
96	the Sun is the  star that is closest to Earth	nongold
97	solar radiation means solar energy	nongold
98	a elliptical galaxy is a kind of galaxy	nongold
99	spot means location	nongold
