Question	Claudia's teacher places a photograph of an organism on the board. He asks Claudia to determine if the organism is a plant or an animal. The answer to which question will best help Claudia determine if the organism is a plant or an animal?	question
Answer	Does the organism make its own food?	answer
0	a producer produces its own food	gold
1	In the food chain process an animal has the role of  consumer which eats producers;other animals for food	gold
2	make means produce	gold
3	green plants are a kind of producer	gold
4	a producer is a kind of living thing	nongold
5	a plant is a kind of living thing	nongold
6	an organism is a living thing	nongold
7	an animal is a kind of living thing	nongold
8	food is what an animal eats	nongold
9	a plant is a kind of organism	gold
10	an animal is a kind of organism	nongold
11	if an organism makes food for itself then that organism does not need to eat other organisms	nongold
12	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
13	a plant; living thing requires food for survival	nongold
14	a living thing is a kind of object	nongold
15	an animal is a kind of consumer	gold
16	living things eat their food source	nongold
17	provide is similar to give; make	nongold
18	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
19	helping something has a  positive impact on that something	nongold
20	to be used  for something means to help to do that something	nongold
21	an insect is a kind of animal	nongold
22	an animal is a member of an animal species	nongold
23	an animal; living thing requires nutrients for survival	nongold
24	a consumer is a kind of organism	nongold
25	a consumer can not produce its own food	gold
26	a food contains nutrients for living things	nongold
27	organisms mean life	nongold
28	a human is a kind of animal	nongold
29	a board is a kind of object	nongold
30	determining often requires measuring; observing	nongold
31	a plant is a member of a plant species	nongold
32	if a living thing requires something then that something has a positive impact on that living thing	nongold
33	In the food chain process a  green plant has the role of  producer	nongold
34	to eat means to consume food	nongold
35	life means living things	nongold
36	to help means to aid	nongold
37	food is a kind of object	nongold
38	producer is a kind of role in the food chain process; in an ecosystem	nongold
39	a vegetable is a kind of food	nongold
40	producing is a kind of process	nongold
41	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
42	production is similar to making	nongold
43	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
44	human is a kind of organism	nongold
45	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
46	a vegetable is a kind of plant	nongold
47	to cause means to make	nongold
48	a student is a kind of human	nongold
49	determining is similar to learning	nongold
50	helping means something can be done; completed more easily; better	nongold
51	a source of something emits; produces; generates; provides that something	nongold
52	a classroom is a kind of a room	nongold
53	a product is a kind of object	nongold
54	an animal needs to eat food for nutrients	nongold
55	to produce means to provide	nongold
56	best means most positive	nongold
57	diet means what an animal eats	nongold
58	food is a kind of substance	nongold
59	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
60	eating an animal; a plant means killing that animal; that plant	nongold
61	making something requires resources	nongold
62	a bacterium is a kind of organism	nongold
63	emit means produce	nongold
64	products are formed; are produced; are created	nongold
65	if a plant dies then that plant will not produce food	nongold
66	organisms are a part of an environment	nongold
67	a classroom is a kind of  area	nongold
68	a food web is made of organisms that consume other organisms; that produce their own food	nongold
69	harming something has a  negative impact on; effect on that something	nongold
70	determining the type of an organism requires having information about that organism	nongold
71	person is synonymous with human	nongold
72	image means visual depiction of an object	nongold
73	prey is a kind of food for predators	nongold
74	to be used for something means to be required by that something	nongold
75	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
76	answering questions requires information	nongold
77	both means two	nongold
78	a predator eats other animals for food	nongold
79	if an organism produces a substance then that organism has a gene that controls the production of that substance	nongold
80	a bird is a kind of living thing	nongold
81	a role in the ecosystem is a role in the food chain process	nongold
82	to create means to make	nongold
83	providing something means making;delivering something	nongold
84	carnivores; omnivores; herbivores are a kind of animal	nongold
85	if something is a raw material in a process then that something is required for that process	nongold
86	identifying is similar to determining	nongold
87	if something is made of something; a material then that something contains that something; that material	nongold
88	food is a source of energy for animals; plants	nongold
89	a part of a process means a stage in a process	nongold
90	producers pass materials they use through the food chain	nongold
91	a plant; living thing requires nutrients to grow	nongold
92	an ecosystem contains nonliving things	nongold
93	if an organism can do something , then that organism is able to do that something	nongold
94	a producer is a source of sugar; food energy in an ecosystem	nongold
95	a bird is a kind of animal	nongold
96	predators eat prey	nongold
97	plants are a part of the environment	nongold
98	feeling is when an living thing senses through touch	nongold
99	to make something easier means to help	nongold
